research_period,direction,weekday,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,BEAR,MONDAY,419,406,212,194,3,10,52.216748768472904,49.88066825775656,1.2506353128169654,1.2042314353182422,0.9673518742442528,0.878421908394608,108,31
DISCOVERY,BEAR,TUESDAY,420,414,202,212,1,5,48.792270531400966,45.95238095238095,1.2433641356216927,1.3737879250714313,0.9380658847294667,1.009569209631017,108,33
DISCOVERY,BEAR,WEDNESDAY,476,464,242,222,1,11,52.1551724137931,46.00840336134454,1.3048733342213865,1.1666972689784803,0.9224517540427877,0.8331373960918755,111,33
DISCOVERY,BEAR,THURSDAY,420,413,208,205,4,3,50.36319612590799,43.333333333333336,1.5020394540454505,1.2621258272484495,0.9918341506995305,0.915289945165227,110,29
DISCOVERY,BEAR,FRIDAY,386,375,163,212,2,9,43.46666666666667,41.968911917098445,1.2235751266053017,1.3583468659607436,0.7562337228791194,0.976998747965329,108,32
DISCOVERY,BULL,MONDAY,432,422,240,182,1,9,56.872037914691944,53.7037037037037,1.2490851433143562,1.065188287760714,0.9170021111009677,0.833512823145218,107,31
DISCOVERY,BULL,TUESDAY,460,448,230,218,0,12,51.339285714285715,44.78260869565217,1.3274290225804348,1.1306162288697263,0.8594565233916724,0.8488415507404756,110,33
DISCOVERY,BULL,WEDNESDAY,406,396,219,177,1,9,55.303030303030305,48.275862068965516,1.3668440178444798,1.1539327443715321,0.9713272533151268,0.7690803070125862,107,33
DISCOVERY,BULL,THURSDAY,374,368,182,186,1,5,49.45652173913044,46.25668449197861,1.1594432731655935,1.4808874439396844,0.9050892713811982,1.0506629666442593,107,29
DISCOVERY,BULL,FRIDAY,380,372,182,190,0,8,48.924731182795696,41.8421052631579,1.2411488683866638,1.2970397193236445,0.9007001628814045,0.8116727600752844,104,32
VALIDATION,BEAR,MONDAY,337,330,164,166,6,1,49.696969696969695,50.14836795252226,1.5463808081049573,1.6731631966546936,1.015660407899003,1.208150175555004,109,30
VALIDATION,BEAR,TUESDAY,438,431,226,205,4,3,52.43619489559165,51.36986301369863,1.62286084889456,1.4585379819959474,1.1655531854468806,1.1176854908149136,111,33
VALIDATION,BEAR,WEDNESDAY,446,437,219,218,4,5,50.11441647597254,47.53363228699551,1.8211967974268441,1.498505818967752,1.301427881496441,0.990935467099344,109,33
VALIDATION,BEAR,THURSDAY,436,422,213,209,9,5,50.4739336492891,43.57798165137615,1.6446607710519716,1.7920408386926538,1.1617028464403405,1.268317857312916,108,33
VALIDATION,BEAR,FRIDAY,359,357,172,185,1,1,48.17927170868347,47.353760445682454,1.4902094780117672,1.3369344135607855,1.1583664496490997,1.0774465327284497,107,30
VALIDATION,BULL,MONDAY,406,395,199,196,9,2,50.379746835443036,47.04433497536946,1.717082171680497,1.4264439626540868,1.150766704689317,0.9942972764023681,110,30
VALIDATION,BULL,TUESDAY,438,428,210,218,6,4,49.06542056074766,48.858447488584474,1.7033490033291405,1.648425751184753,1.163999508210276,1.2131756335538544,111,33
VALIDATION,BULL,WEDNESDAY,411,399,202,197,10,2,50.6265664160401,47.201946472019465,1.5448012308248191,1.5028333334623214,1.170731707317067,1.1472362727771304,110,33
VALIDATION,BULL,THURSDAY,466,457,216,241,6,3,47.264770240700216,43.347639484978544,1.6434277651999094,1.5906825565983265,1.056357990062247,1.1750938299988103,112,33
VALIDATION,BULL,FRIDAY,397,384,177,207,12,1,46.09375,48.36272040302267,1.9227933921152693,1.5632988598572355,1.3995640702076497,1.0785140473125945,106,30
