sensitivity,period_type,period,weekday,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,validation_subperiod,VALIDATION_NEWER,MONDAY,379,369,186,183,8,2,50.40650406504065,51.187335092348285,1.683546416421774,1.7109528311446984,1.1212773591675635,1.1347087378640803,108,15
BASE,validation_subperiod,VALIDATION_NEWER,TUESDAY,466,456,224,232,5,5,49.12280701754386,51.502145922746784,1.763182220281168,1.5479833034969783,1.1986209720927388,1.1586002015821408,110,17
BASE,validation_subperiod,VALIDATION_NEWER,WEDNESDAY,455,441,218,223,8,6,49.43310657596372,47.032967032967036,1.7739351987093182,1.5757435445215284,1.3156113803091452,1.0419292496428947,111,17
BASE,validation_subperiod,VALIDATION_NEWER,THURSDAY,457,442,222,220,10,5,50.2262443438914,44.85776805251641,1.7315393695232242,1.7994175208879584,1.1357769747031434,1.2253018040421302,112,17
BASE,validation_subperiod,VALIDATION_NEWER,FRIDAY,336,332,157,175,3,1,47.28915662650602,50.595238095238095,1.874655707230125,1.536804171440656,1.31767898097659,1.0667907295341,106,14
BASE,validation_subperiod,VALIDATION_OLDER,MONDAY,364,356,177,179,7,1,49.71910112359551,45.604395604395606,1.5939604456313194,1.35862945908338,1.0673082066094983,1.0380772231307471,107,15
BASE,validation_subperiod,VALIDATION_OLDER,TUESDAY,410,403,212,191,5,2,52.60545905707196,48.53658536585366,1.5493585381047719,1.5597314529355,1.1440622488447483,1.1768574339012825,111,16
BASE,validation_subperiod,VALIDATION_OLDER,WEDNESDAY,402,395,203,192,6,1,51.392405063291136,47.76119402985075,1.5921058758921225,1.415509409341632,1.1051080914434017,1.0966686489508124,112,16
BASE,validation_subperiod,VALIDATION_OLDER,THURSDAY,445,437,207,230,5,3,47.36842105263158,42.02247191011236,1.554148186268998,1.5736046516831914,1.0849909584086825,1.1845426888471826,111,16
BASE,validation_subperiod,VALIDATION_OLDER,FRIDAY,420,409,192,217,10,1,46.9437652811736,45.714285714285715,1.591547289634915,1.3910069053037715,1.2804178071108363,1.0842125716509696,109,16
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,MONDAY,825,811,440,371,4,10,54.254007398273735,50.666666666666664,1.2636270741870987,1.1489980963108726,0.9592118907708379,0.8723747980613918,109,31
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,TUESDAY,853,840,419,421,1,12,49.88095238095238,45.1348182883939,1.3015698158532938,1.2618732369122643,0.9041161075422377,0.9361810161530858,108,33
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,WEDNESDAY,848,831,446,385,2,15,53.67027677496991,46.344339622641506,1.343171056670463,1.1782820288819085,0.9622148588200838,0.8066998162206331,109,33
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,THURSDAY,772,760,376,384,5,7,49.473684210526315,45.46632124352332,1.3418574880790999,1.3819583030851585,0.9485217249124984,0.9899583416489044,109,29
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,FRIDAY,742,729,336,393,2,11,46.09053497942387,42.1832884097035,1.2507581761143127,1.3183889535186355,0.8559452678545949,0.9133968125511723,109,32
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,MONDAY,719,703,348,355,15,1,49.502133712660026,47.56606397774687,1.653485029422964,1.559156930741659,1.1185045250777004,1.1035122982829073,109,30
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,TUESDAY,832,820,420,400,10,2,51.21951219512195,50.12019230769231,1.6901858262635703,1.5825554982623216,1.2006502923930102,1.1877226604097215,109,33
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,WEDNESDAY,820,803,404,399,14,3,50.31133250311333,47.68292682926829,1.707537922355758,1.5261188126470626,1.2244258390754885,1.103095224971801,109,33
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,THURSDAY,863,844,416,428,15,4,49.28909952606635,43.80069524913094,1.683412250889335,1.691108086670862,1.1424017003188192,1.1984483020176473,109,33
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,FRIDAY,711,697,327,370,13,1,46.91535150645624,46.835443037974684,1.7429049817393756,1.4788561955269244,1.309667413406859,1.0978743284279442,109,30
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,MONDAY,364,356,179,177,8,0,50.28089887640449,50.54945054945055,1.7092079093160437,1.7280928558030813,1.1309462503190173,1.161645949755106,105,15
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,TUESDAY,440,433,213,220,5,2,49.19168591224018,50.68181818181818,1.8040220151265798,1.5714043830696094,1.2343394371872787,1.1796528011318066,107,17
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,WEDNESDAY,431,420,206,214,8,3,49.04761904761905,46.635730858468676,1.7926034157494584,1.6155317221917112,1.32090004752619,1.1176971951030492,108,17
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,THURSDAY,435,422,216,206,10,3,51.18483412322275,45.05747126436781,1.7968875300542644,1.799493071234122,1.183479851700756,1.2253018040421302,109,17
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,FRIDAY,318,314,147,167,3,1,46.81528662420382,49.056603773584904,1.9094020139720467,1.5473001727767481,1.327913454590111,1.0823266670186182,103,14
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,MONDAY,355,347,169,178,7,1,48.70317002881844,44.50704225352113,1.5963494568002001,1.3859381230730459,1.056081573197375,1.05833327705099,104,15
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,TUESDAY,392,387,207,180,5,0,53.48837209302326,49.48979591836735,1.5624105122336618,1.595072056131692,1.1605082990858446,1.1912295751834059,108,16
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,WEDNESDAY,389,383,198,185,6,0,51.697127937336816,48.84318766066838,1.613287979803869,1.427052067110447,1.156571428571429,1.100864748007031,109,16
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,THURSDAY,428,422,200,222,5,1,47.39336492890995,42.52336448598131,1.5680810676259136,1.580950450490913,1.0957819637201673,1.1973659142124045,108,16
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,FRIDAY,393,383,180,203,10,0,46.99738903394256,45.038167938931295,1.6081821922991983,1.4234740459965323,1.286802133811132,1.1242167342425349,106,16
