weekday,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
MONDAY,ORCL,26,26,14,12,0,0,53.84615384615385,61.53846153846154,2.1078745341590457,1.807800050843278,1.5478467639320106,1.2020890507644562,1,26
MONDAY,MU,24,24,14,10,0,0,58.333333333333336,54.166666666666664,2.686702487502798,2.0298289979414785,1.9358484533634521,1.7637348299377187,1,24
MONDAY,LULU,23,23,11,12,0,0,47.82608695652174,56.52173913043478,1.972223511180442,1.1706735654972449,1.7596534836216953,0.8450835745634523,1,23
MONDAY,AMD,22,22,13,9,0,0,59.09090909090909,63.63636363636363,1.8953088247698098,1.7709342158570889,1.2374708500103169,1.3157735944679267,1,22
MONDAY,CMG,22,21,14,7,1,0,66.66666666666667,50.0,1.8921207445928756,0.8326004127063107,1.787954839136463,0.8880658259911833,1,22
MONDAY,LLY,22,22,10,12,0,0,45.45454545454545,50.0,1.0722874227755053,1.5334710580549058,0.9966110472866165,1.024919980248467,1,22
MONDAY,AMZN,21,21,11,10,0,0,52.38095238095238,28.571428571428573,1.0113527048043547,0.8299974930153367,0.9442493322958527,0.735342250540052,1,21
MONDAY,C,21,21,14,7,0,0,66.66666666666667,38.095238095238095,1.1802540790572333,1.2573934924953782,0.8427193906490611,0.923811500934192,1,21
MONDAY,INTC,21,21,13,8,0,0,61.904761904761905,66.66666666666667,1.7520379500596295,2.292382091548358,1.3600891861761415,1.6393442622950738,1,21
MONDAY,NVDA,21,21,12,9,0,0,57.142857142857146,57.142857142857146,1.4446096922944074,1.286838662280427,1.0762331838565111,0.9461322683402316,1,21
MONDAY,SPY,21,11,10,1,0,10,90.9090909090909,80.95238095238095,0.5566169447393937,0.20984149060970328,0.4569987252854553,0.2283246870243101,1,21
MONDAY,BMY,20,19,8,11,1,0,42.10526315789474,30.0,0.7733760402574715,1.1278118923033313,0.7204692999765794,0.8726566127706317,1,20
MONDAY,XOM,20,19,9,10,0,1,47.36842105263158,45.0,0.9005838234444413,0.8983333188405173,0.7466062530263599,0.6089116256510143,1,20
MONDAY,APP,19,17,11,6,2,0,64.70588235294117,57.89473684210526,3.3825005960802117,2.1819443776837266,3.1353495650908068,1.0522368821916412,1,19
MONDAY,BA,19,19,8,11,0,0,42.10526315789474,26.31578947368421,1.1147280655434009,1.0437264740199141,0.9159881569207946,0.6920281366530578,1,19
