weekday,total_n,symbol_n,top1_n,top1_share_pct,top5_n,top5_share_pct,top10_n,top10_share_pct
MONDAY,1594,112,26,1.631116687578419,117,7.340025094102886,223,13.989962358845672
TUESDAY,1756,112,28,1.5945330296127562,131,7.460136674259681,249,14.17995444191344
WEDNESDAY,1739,112,27,1.5526164462334675,133,7.648073605520414,249,14.318573893041979
THURSDAY,1696,112,27,1.5919811320754718,124,7.311320754716981,237,13.974056603773585
FRIDAY,1522,112,25,1.6425755584756898,117,7.687253613666229,217,14.257555847568987
