dimension,value,state,n,ff_pct,group_baseline_n,group_baseline_ff_pct,lift_pp
DIRECTION,BEAR,UPGRADE,87,66.66666666666667,441,54.42176870748299,12.244897959183682
DIRECTION,BEAR,BASE,177,56.49717514124294,441,54.42176870748299,2.0754064337599516
DIRECTION,BEAR,CONFLICT,45,53.333333333333336,441,54.42176870748299,-1.088435374149654
DIRECTION,BEAR,DOWNGRADE,132,43.93939393939394,441,54.42176870748299,-10.482374768089052
DIRECTION,BULL,UPGRADE,50,68.0,312,60.57692307692308,7.42307692307692
DIRECTION,BULL,BASE,137,63.503649635036496,312,60.57692307692308,2.9267265581134154
DIRECTION,BULL,CONFLICT,29,55.172413793103445,312,60.57692307692308,-5.404509283819635
DIRECTION,BULL,DOWNGRADE,96,54.166666666666664,312,60.57692307692308,-6.410256410256416
QUARTER,2025Q2,UPGRADE,5,100.0,40,67.5,32.5
QUARTER,2025Q2,BASE,16,68.75,40,67.5,1.25
QUARTER,2025Q2,CONFLICT,3,33.333333333333336,40,67.5,-34.166666666666664
QUARTER,2025Q2,DOWNGRADE,16,62.5,40,67.5,-5.0
QUARTER,2025Q3,UPGRADE,23,39.130434782608695,152,44.078947368421055,-4.9485125858123595
QUARTER,2025Q3,BASE,62,53.225806451612904,152,44.078947368421055,9.146859083191849
QUARTER,2025Q3,CONFLICT,13,53.84615384615385,152,44.078947368421055,9.767206477732792
QUARTER,2025Q3,DOWNGRADE,54,33.333333333333336,152,44.078947368421055,-10.74561403508772
QUARTER,2025Q4,UPGRADE,29,75.86206896551724,137,62.043795620437955,13.818273345079284
QUARTER,2025Q4,BASE,59,66.10169491525424,137,62.043795620437955,4.057899294816288
QUARTER,2025Q4,CONFLICT,15,60.0,137,62.043795620437955,-2.0437956204379546
QUARTER,2025Q4,DOWNGRADE,34,44.11764705882353,137,62.043795620437955,-17.926148561614426
QUARTER,2026Q1,UPGRADE,28,67.85714285714286,175,61.142857142857146,6.714285714285715
QUARTER,2026Q1,BASE,73,58.9041095890411,175,61.142857142857146,-2.2387475538160473
QUARTER,2026Q1,CONFLICT,17,52.94117647058823,175,61.142857142857146,-8.201680672268914
QUARTER,2026Q1,DOWNGRADE,57,63.1578947368421,175,61.142857142857146,2.0150375939849567
QUARTER,2026Q2,UPGRADE,29,68.96551724137932,160,56.25,12.715517241379317
QUARTER,2026Q2,BASE,70,55.714285714285715,160,56.25,-0.5357142857142847
QUARTER,2026Q2,CONFLICT,18,55.55555555555556,160,56.25,-0.6944444444444429
QUARTER,2026Q2,DOWNGRADE,43,48.83720930232558,160,56.25,-7.412790697674417
QUARTER,2026Q3,UPGRADE,23,73.91304347826087,89,59.550561797752806,14.362481680508068
QUARTER,2026Q3,BASE,34,64.70588235294117,89,59.550561797752806,5.155320555188368
QUARTER,2026Q3,CONFLICT,8,50.0,89,59.550561797752806,-9.550561797752806
QUARTER,2026Q3,DOWNGRADE,24,41.666666666666664,89,59.550561797752806,-17.883895131086142
RESEARCH_PERIOD,DISCOVERY,UPGRADE,60,65.0,364,56.043956043956044,8.956043956043956
RESEARCH_PERIOD,DISCOVERY,BASE,147,60.54421768707483,364,56.043956043956044,4.500261643118783
RESEARCH_PERIOD,DISCOVERY,CONFLICT,34,58.8235294117647,364,56.043956043956044,2.779573367808659
RESEARCH_PERIOD,DISCOVERY,DOWNGRADE,123,45.52845528455285,364,56.043956043956044,-10.515500759403196
RESEARCH_PERIOD,VALIDATION,UPGRADE,77,68.83116883116882,389,57.840616966580974,10.99055186458785
RESEARCH_PERIOD,VALIDATION,BASE,167,58.68263473053892,389,57.840616966580974,0.8420177639579478
RESEARCH_PERIOD,VALIDATION,CONFLICT,40,50.0,389,57.840616966580974,-7.840616966580974
RESEARCH_PERIOD,VALIDATION,DOWNGRADE,105,51.42857142857143,389,57.840616966580974,-6.412045538009544
