period,state,n,favorable_n,ff_pct,period_baseline_n,period_baseline_ff_pct,lift_vs_baseline_pp
ALL,UPGRADE,137,92,67.15328467153284,753,56.97211155378486,10.181173117747981
ALL,BASE,314,187,59.554140127388536,753,56.97211155378486,2.5820285736036723
ALL,CONFLICT,74,40,54.054054054054056,753,56.97211155378486,-2.918057499730807
ALL,DOWNGRADE,228,110,48.24561403508772,753,56.97211155378486,-8.726497518697144
DISCOVERY,UPGRADE,60,39,65.0,364,56.043956043956044,8.956043956043956
DISCOVERY,BASE,147,89,60.54421768707483,364,56.043956043956044,4.500261643118783
DISCOVERY,CONFLICT,34,20,58.8235294117647,364,56.043956043956044,2.779573367808659
DISCOVERY,DOWNGRADE,123,56,45.52845528455285,364,56.043956043956044,-10.515500759403196
VALIDATION,UPGRADE,77,53,68.83116883116882,389,57.840616966580974,10.99055186458785
VALIDATION,BASE,167,98,58.68263473053892,389,57.840616966580974,0.8420177639579478
VALIDATION,CONFLICT,40,20,50.0,389,57.840616966580974,-7.840616966580974
VALIDATION,DOWNGRADE,105,54,51.42857142857143,389,57.840616966580974,-6.412045538009544
