symbol
AAPL
ABBV
ABNB
ADBE
AMAT
AMD
AMGN
AMZN
ANET
APP
ARM
ASML
AVGO
AXON
AXP
BA
BAC
BKNG
BLK
BMY
C
CAT
CEG
CMCSA
CME
CMG
COIN
COP
COST
CRM
CRWD
CSCO
CVS
CVX
DASH
DDOG
DE
DELL
DIS
EOG
ETN
FDX
GE
GILD
GOOG
GS
HAL
HD
HON
HOOD
IBM
INTC
ISRG
IWM
JNJ
JPM
KLAC
LLY
LMT
LOW
LRCX
LULU
MA
MCD
META
MNDY
MRK
MRNA
MRVL
MS
MSFT
MU
NEE
NFLX
NKE
NOW
NVDA
ORCL
OXY
PANW
PEP
PFE
PLTR
PYPL
QCOM
QQQ
RBLX
REGN
RTX
SBUX
SCHW
SHOP
SLB
SNOW
SPY
T
TEAM
TGT
TMO
TMUS
