time,open,high,low,close,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_host_seconds,EXP_ltf_bars_in_host,DIAG_first_1m_time_seen,DIAG_last_1m_time_seen,DIAG_1m_bars_processed,DIAG_1m_intrabar_count,1M breakout found,Volume,Volume MA
1787328720,215.83,215.91,215.7,215.91,,,,,,,,,,1780925400000,1787328780000,20444,2,0,29230,34253
1787328840,215.89,215.9,215.6,215.67,,,,,,,,,,1780925400000,1787328900000,20446,2,0,22459,31973.45
1787328960,215.66,215.8,215.66,215.76,,,,,,,,,,1780925400000,1787329020000,20448,2,0,23661,31268.95
1787329080,215.77,215.78,215.44,215.535,,,,,,,,,,1780925400000,1787329140000,20450,2,0,31110,30348.25
1787329200,215.53,215.96,215.44,215.54,,,,,,,,,,1780925400000,1787329260000,20452,2,0,50631,28376.05
1787329320,215.53,215.7,215.515,215.68,,,,,,,,,,1780925400000,1787329380000,20454,2,0,17802,27430.15
1787329440,215.66,215.68,215.51,215.62,,,,,,,,,,1780925400000,1787329500000,20456,2,0,13292,25757.6
1787329560,215.61,215.74,215.53,215.72,,,,,,,,,,1780925400000,1787329620000,20458,2,0,24511,25678.05
1787329680,215.74,215.8,215.67,215.69,,,,,,,,,,1780925400000,1787329740000,20460,2,0,17499,24582.2
1787329800,215.67,215.75,215.53,215.57,,,,,,,,,,1780925400000,1787329860000,20462,2,0,16307,23714.3
1787329920,215.57,215.68,215.53,215.67,,,,,,,,,,1780925400000,1787329980000,20464,2,0,18729,23606.75
1787330040,215.66,215.7,215.49,215.54,,,,,,,,,,1780925400000,1787330100000,20466,2,0,42316,23911.75
1787330160,215.535,215.68,215.53,215.65,,,,,,,,,,1780925400000,1787330220000,20468,2,0,11535,23403.2
1787330280,215.64,215.69,215.57,215.62,,,,,,,,,,1780925400000,1787330340000,20470,2,0,10232,22488.9
1787330400,215.62,215.72,215.59,215.68,,,,,,,,,,1780925400000,1787330460000,20472,2,0,11257,21591.6
1787330520,215.69,215.81,215.67,215.78,,,,,,,,,,1780925400000,1787330580000,20474,2,0,22870,21906.05
1787330640,215.76,215.81,215.58,215.68,,,,,,,,,,1780925400000,1787330700000,20476,2,0,26046,22528.3
1787330760,215.68,215.725,215.54,215.56,,,,,,,,,,1780925400000,1787330820000,20478,2,0,11144,22148.85
1787330880,215.57,215.57,215.44,215.5,,,,,,,,,,1780925400000,1787330940000,20480,2,0,16137,21728.6
1787331000,215.51,215.51,215.31,215.31,,,,,,,,,,1780925400000,1787331060000,20482,2,0,24013,22039.05
1787331120,215.315,215.37,215.28,215.33,,,,,,,,,,1780925400000,1787331180000,20484,2,0,10080,21081.55
1787331240,215.33,215.36,215.06,215.07,,,,,,,,,,1780925400000,1787331300000,20486,2,0,43306,22123.9
1787331360,215.07,215.16,215.02,215.16,,,,,,,,,,1780925400000,1787331420000,20488,2,0,32327,22557.2
1787331480,215.15,215.29,215.13,215.27,,,,,,,,,,1780925400000,1787331540000,20490,2,0,20047,22004.05
1787331600,215.28,215.325,215.21,215.31,,,,,,,,,,1780925400000,1787331660000,20492,2,0,29886,20966.8
1787331720,215.3,215.46,215.23,215.41,,,,,,,,,,1780925400000,1787331780000,20494,2,0,34060,21779.7
1787331840,215.43,215.48,215.37,215.46,,,,,,,,,,1780925400000,1787331900000,20496,2,0,16551,21942.65
1787331960,215.46,215.57,215.33,215.48,,,,,,,,,,1780925400000,1787332020000,20498,2,0,32165,22325.35
1787332080,215.48,215.6,215.475,215.51,,,,,,,,,,1780925400000,1787332140000,20500,2,0,15082,22204.5
1787332200,215.5,215.55,215.46,215.53,,,,,,,,,,1780925400000,1787332260000,20502,2,0,13023,22040.3
1787332320,215.535,215.56,215.41,215.41,,,,,,,,,,1780925400000,1787332380000,20504,2,0,12698,21738.75
1787332440,215.42,215.48,215.21,215.23,,,,,,,,,,1780925400000,1787332500000,20506,2,0,16858,20465.85
1787332560,215.23,215.23,215.07,215.07,,,,,,,,,,1780925400000,1787332620000,20508,2,0,31635,21470.85
1787332680,215.08,215.23,215.07,215.21,,,,,,,,,,1780925400000,1787332740000,20510,2,0,18148,21866.65
1787332800,215.2,215.2,214.795,214.83,,,,,,,,,,1780925400000,1787332860000,20512,2,0,94392,26023.4
1787332920,214.825,214.91,214.78,214.855,,,,,,,,,,1780925400000,1787332980000,20514,2,0,27114,26235.6
1787333040,214.855,214.855,214.64,214.69,,,,,,,,,,1780925400000,1787333100000,20516,2,0,42130,27039.8
