time,open,high,low,close,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_host_seconds,EXP_ltf_bars_in_host,DIAG_first_1m_time_seen,DIAG_last_1m_time_seen,DIAG_1m_bars_processed,DIAG_1m_intrabar_count,1M breakout found,Volume,Volume MA
1786986000,227.05,227.16,226.845,226.86,,,,,,,,,,1771338600000,1786986240000,48965,5,0,40320,69894.15
1786986300,226.87,226.88,226.63,226.7,,,,,,,,,,1771338600000,1786986540000,48970,5,0,63451,68974.75
1786986600,226.7,226.71,226.14,226.16,,,,,,,,,,1771338600000,1786986840000,48975,5,0,81920,68439.25
1786986900,226.14,226.45,226.055,226.06,,,,,,,,,,1771338600000,1786987140000,48980,5,0,54447,66541.05
1786987200,226.06,226.25,225.83,226.08,,,,,,,,,,1771338600000,1786987440000,48985,5,0,95619,66371.4
1786987500,226.08,226.08,225.86,225.92,,,,,,,,,,1771338600000,1786987740000,48990,5,0,46056,63934.8
1786987800,225.92,226.2,225.9,226.075,,,,,,,,,,1771338600000,1786988040000,48995,5,0,48456,59811.15
1786988100,226.095,226.22,225.97,226.04,,,,,,,,,,1771338600000,1786988340000,49000,5,0,39216,57261.05
1786988400,226.04,226.28,225.99,226.23,,,,,,,,,,1771338600000,1786988640000,49005,5,0,36094,53789
1786988700,226.22,226.245,225.92,226.13,,,,,,,,,,1771338600000,1786988940000,49010,5,0,37541,52357.45
1786989000,226.15,226.16,226,226.12,,,,,,,,,,1771338600000,1786989240000,49015,5,0,24564,48999.35
1786989300,226.14,226.15,225.78,225.83,,,,,,,,,,1771338600000,1786989540000,49020,5,0,47757,48679.85
1786989600,225.83,225.895,225.69,225.76,,,,,,,,,,1771338600000,1786989840000,49025,5,0,48648,48288.4
1786989900,225.75,225.78,225.47,225.53,,,,,,,,,,1771338600000,1786990140000,49030,5,0,71948,48804.9
1786990200,225.52,225.76,225.445,225.7,,,,,,,,,,1771338600000,1786990440000,49035,5,0,69465,49323.9
1786990500,225.7,225.78,225.48,225.53,,,,,,,,,,1771338600000,1786990740000,49040,5,0,54305,50553.05
1786990800,225.55,225.7,225.45,225.49,,,,,,,,,,1771338600000,1786991040000,49045,5,0,45781,50865
1786991100,225.515,225.67,225.39,225.54,,,,,,,,,,1771338600000,1786991340000,49050,5,0,55177,51033.55
1786991400,225.54,225.62,225.435,225.435,,,,,,,,,,1771338600000,1786991640000,49055,5,0,32762,51195.65
1786991700,225.45,225.58,225.42,225.56,,,,,,,,,,1771338600000,1786991940000,49060,5,0,34805,51416.6
1786992000,225.56,225.73,225.54,225.71,,,,,,,,,,1771338600000,1786992240000,49065,5,0,42533,51527.25
1786992300,225.71,225.82,225.67,225.73,,,,,,,,,,1771338600000,1786992540000,49070,5,0,34536,50081.5
1786992600,225.74,225.92,225.73,225.885,,,,,,,,,,1771338600000,1786992840000,49075,5,0,48991,48435.05
1786992900,225.89,225.9,225.58,225.6,,,,,,,,,,1771338600000,1786993140000,49080,5,0,40027,47714.05
1786993200,225.615,225.62,225.5,225.51,,,,,,,,,,1771338600000,1786993440000,49085,5,0,50575,45461.85
1786993500,225.5,225.66,225.35,225.51,,,,,,,,,,1771338600000,1786993740000,49090,5,0,60516,46184.85
1786993800,225.52,225.72,225.46,225.46,,,,,,,,,,1771338600000,1786994040000,49095,5,0,39145,45719.3
1786994100,225.46,225.77,225.37,225.63,,,,,,,,,,1771338600000,1786994340000,49100,5,0,54839,46500.45
1786994400,225.63,225.71,225.44,225.67,,,,,,,,,,1771338600000,1786994640000,49105,5,0,37233,46557.4
1786994700,225.68,225.795,225.48,225.49,,,,,,,,,,1771338600000,1786994940000,49110,5,0,58457,47603.2
1786995000,225.5,225.83,225.49,225.82,,,,,,,,,,1771338600000,1786995240000,49115,5,0,60690,49409.5
1786995300,225.82,226.01,225.81,225.885,,,,,,,,,,1771338600000,1786995540000,49120,5,0,59733,50008.3
1786995600,225.89,225.92,225.37,225.55,,,,,,,,,,1771338600000,1786995840000,49125,5,0,69206,51036.2
