time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328400,319.75,320.12,319.75,320.03,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,2304,4620.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328700,320.09,320.5,320.09,320.45,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,1305,4604.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,320.5,320.82,320.4,320.4,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,827,4521.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,320.32,320.32,319.85,320.17,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,705,4338.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,320.22,320.34,319.99,320.13,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,1980,4157.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,320.13,320.26,319.98,320.26,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,528,4012.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,320.29,320.29,319.76,319.82,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,665,3653,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,319.95,320.1,319.75,320.1,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,1245,3334.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,320.06,320.27,319.89,320.27,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,1333,3235,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,320.34,320.35,319.7,320.12,0,0,,,0,0,0,,320.27,321.48,318.37,318.5,1635,3.1100000000000136,319.45,318.42,320.5,318.15,320.265,997,2.3500000000000227,319.52134055217834,0.6241410902427852,0.8626059871950165,0.6971446734120887,0.2949518087855203,9.49060667049557,0.2890102827763479,0.2949518087855203,2.730000000000018,,,323.76,318.99,323.76,320.78,3280,324,323.08,749,325.9,316.58,323.88,0,0,,,,,,,,,,,,,,,,,,808,2951.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
