time,open,high,low,close,ORB High,ORB Low,Retest Upper,Retest Lower,Volume,Volume MA
1787595540,374.76,374.87,374.75,374.87,383.58,377.66,,,27,254.85
1787595600,374.76,374.77,374.73,374.77,383.58,377.66,,,348,251.75
1787595660,374.84,374.89,374.84,374.89,383.58,377.66,,,47,245.55
1787595720,374.89,374.96,374.81,374.93,383.58,377.66,,,598,259.85
1787595840,375.01,375.1,374.95,374.96,383.58,377.66,,,380,263.75
1787595960,375.06,375.06,375.06,375.06,383.58,377.66,,,53,260.95
1787596020,375.22,375.25,375.15,375.15,383.58,377.66,,,17,239.55
1787596080,375.24,375.32,375.23,375.32,383.58,377.66,,,133,237.3
1787596140,375.32,375.44,375.24,375.44,383.58,377.66,,,369,178.15
1787596200,375.48,375.65,375.47,375.65,383.58,377.66,,,208,180.45
1787596260,375.47,375.47,375.33,375.33,383.58,377.66,,,59,178.15
1787596320,375.25,375.25,375.18,375.18,383.58,377.66,,,169,170.6
1787596380,375.31,375.51,375.31,375.32,383.58,377.66,,,333,184.5
1787596440,375.38,375.43,375.38,375.43,383.58,377.66,,,163,191.3
1787596500,375.195,375.34,375.195,375.34,383.58,377.66,,,135,193.1
1787596620,375.58,375.64,375.54,375.54,383.58,377.66,,,87,178.15
1787596680,375.77,375.77,375.61,375.64,383.58,377.66,,,51,169.6
1787596740,375.5,375.52,375.39,375.39,383.58,377.66,,,254,180.25
1787596800,375.395,375.395,375.395,375.395,383.58,377.66,,,1,177.65
1787596860,375.405,375.405,375.3,375.315,383.58,377.66,,,163,179.75
1787596920,375.36,375.43,375.36,375.42,383.58,377.66,,,294,193.1
1787597040,375.35,375.36,375.29,375.36,383.58,377.66,,,158,183.6
1787597100,375.42,375.43,375.36,375.43,383.58,377.66,,,228,192.65
1787597160,375.64,375.64,375.64,375.64,383.58,377.66,,,22,163.85
1787597220,375.81,375.81,375.8,375.8,383.58,377.66,,,7,145.2
1787597280,375.71,375.78,375.71,375.78,383.58,377.66,,,185,151.8
1787597340,375.87,376.01,375.85,376.01,383.58,377.66,,,74,154.65
1787597400,376.07,376.09,376.01,376.01,383.58,377.66,,,103,153.15
1787597460,376,376,375.99,375.99,383.58,377.66,,,82,138.8
1787597520,376,376,376,376,383.58,377.66,,,684,162.6
1787597580,376.02,376.02,375.92,375.98,383.58,377.66,,,161,167.7
1787597640,375.96,375.97,375.87,375.87,383.58,377.66,,,124,165.45
1787597700,375.91,375.95,375.89,375.89,383.58,377.66,,,248,161.2
1787597760,375.87,376.04,375.87,376.04,383.58,377.66,,,211,163.6
1787597820,376.06,376.09,375.92,375.94,383.58,377.66,,,264,170.05
1787597880,375.93,375.94,375.93,375.94,383.58,377.66,,,101,170.75
1787597940,375.88,375.92,375.84,375.92,383.58,377.66,,,172,176.8
1787598000,375.83,375.83,375.68,375.68,383.58,377.66,,,600,194.1
1787598060,375.74,375.82,375.68,375.82,383.58,377.66,,,266,207.35
1787598180,375.85,375.85,375.85,375.85,383.58,377.66,,,1,199.25
1787598240,375.78,375.8,375.69,375.78,383.58,377.66,,,435,206.3
1787598300,375.79,375.79,375.79,375.79,383.58,377.66,,,1,198.45
1787598360,375.8,375.91,375.8,375.91,383.58,377.66,,,306,202.35
1787598420,375.96,375.98,375.96,375.98,383.58,377.66,,,42,203.35
1787598480,376.06,376.085,375.96,376.06,383.58,377.66,,,173,211.65
1787598540,376.07,376.12,376.07,376.12,383.58,377.66,,,15,203.15
1787598600,376.15,376.15,376.1,376.15,383.58,377.66,,,291,214
1787598660,376.15,376.22,376.06,376.06,383.58,377.66,,,516,234.65
1787598720,376.07,376.09,376.07,376.09,383.58,377.66,,,192,240.15
1787598780,376.13,376.13,376.13,376.13,383.58,377.66,,,10,206.45
1787598840,376.03,376.03,375.71,375.72,383.58,377.66,,,343,215.55
1787598900,375.69,375.69,375.31,375.31,383.58,377.66,,,733,246
1787598960,375.32,375.9,375.32,375.9,383.58,377.66,,,560,261.6
1787599020,375.91,375.93,375.87,375.87,383.58,377.66,,,23,252.2
1787599080,375.97,376.05,375.97,376,383.58,377.66,,,518,264.9
1787599140,375.95,375.97,375.76,375.76,383.58,377.66,,,65,263.1
1787599200,375.74,375.74,375.7,375.7,383.58,377.66,,,10,255
1787599260,375.75,375.89,375.75,375.89,383.58,377.66,,,330,241.5
1787599320,375.89,375.89,375.67,375.67,383.58,377.66,,,508,253.6
1787599380,375.65,375.67,375.47,375.49,383.58,377.66,,,372,272.15
1787599440,375.4,375.4,375.16,375.16,383.58,377.66,,,684,284.6
1787599500,375.18,375.24,375.12,375.16,383.58,377.66,,,473,308.2
1787599560,375.15,375.25,375.1,375.155,383.58,377.66,,,197,302.75
1787599620,375.07,375.07,374.99,374.99,383.58,377.66,,,97,305.5
1787599680,375.02,375.04,374.95,374.99,383.58,377.66,,,221,307.9
1787599740,374.96,375.01,374.9,374.95,383.58,377.66,,,673,340.8
1787599800,374.88,374.88,374.61,374.835,383.58,377.66,,,737,363.1
1787599860,374.93,375,374.83,374.87,383.58,377.66,,,117,343.15
1787599920,374.89,374.89,374.73,374.73,383.58,377.66,,,97,338.4
1787599980,374.78,374.91,374.73,374.89,383.58,377.66,,,666,371.2
1787600040,374.92,374.95,374.92,374.95,383.58,377.66,,,86,358.35
1787600100,374.96,375.04,374.85,375.04,383.58,377.66,,,581,350.75
1787600160,375,375.21,375,375.21,383.58,377.66,,,397,342.6
1787600220,375.31,375.56,375.31,375.44,383.58,377.66,,,228,352.85
1787600280,375.53,375.58,375.46,375.49,383.58,377.66,,,505,352.2
1787600340,375.43,375.43,375.17,375.31,383.58,377.66,,,820,389.95
1787600400,375.31,375.43,375.055,375.09,383.58,377.66,,,892,434.05
1787600460,375.01,375.05,374.9,375.05,383.58,377.66,,,878,461.45
1787600520,375.06,375.17,375.06,375.08,383.58,377.66,,,319,452
1787600580,375.11,375.11,375.03,375.1,383.58,377.66,,,230,444.9
1787600640,374.95,374.95,374.77,374.77,383.58,377.66,,,209,421.15
1787600700,374.64,374.71,374.63,374.71,383.58,377.66,,,594,427.2
1787600760,374.65,374.65,374.57,374.64,383.58,377.66,,,303,432.5
1787600820,374.565,374.71,374.52,374.63,383.58,377.66,,,832,469.25
1787600880,374.61,374.61,374.5,374.53,383.58,377.66,,,289,472.65
1787600940,374.57,374.78,374.56,374.78,383.58,377.66,,,1075,492.75
1787601000,374.82,374.97,374.64,374.83,383.58,377.66,,,768,494.3
