quarter,gap_premarket_structure_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q2,GAP_ALIGNED_PM_OPPOSING,78,78,47,31,0,0,60.256410256410255,56.41025641025641,1.2803758671738201,0.9505813249016101,0.9964010069215369,0.6224824051860243,53,22
2025Q2,GAP_AND_PM_ALIGNED,195,191,108,83,0,4,56.544502617801044,52.82051282051282,1.4547715633121645,1.137821008353421,1.04942722102059,0.8858006683286413,97,23
2025Q2,GAP_AND_PM_OPPOSING,202,197,100,97,0,5,50.76142131979695,50.99009900990099,1.0564308130432734,1.0796392967531794,0.8318507297285328,0.8653215087544444,92,24
2025Q2,GAP_OPPOSING_PM_ALIGNED,144,142,75,67,0,2,52.816901408450704,50.69444444444444,1.1429805475844175,1.3850151286660646,0.8106769744964254,1.0427438315051467,71,24
2025Q2,MIXED_FLAT,23,23,11,12,0,0,47.82608695652174,34.78260869565217,0.7541601365255185,1.2353611336321257,0.525393914442902,0.9094277480444535,21,16
2025Q2,UNKNOWN,47,47,17,30,0,0,36.170212765957444,40.42553191489362,0.7649963711018472,1.3477729400082337,0.3503230868411455,1.2739171704051615,41,15
2025Q3,GAP_ALIGNED_PM_OPPOSING,196,194,105,89,0,2,54.123711340206185,43.87755102040816,1.3233275050744517,1.0175224840196788,0.9463695826085314,0.7682790974157823,93,58
2025Q3,GAP_AND_PM_ALIGNED,620,608,288,320,6,6,47.36842105263158,41.61290322580645,1.2316390782531927,1.3487241591293817,0.8910685822044073,0.9745894550515133,106,64
2025Q3,GAP_AND_PM_OPPOSING,502,489,223,266,0,13,45.603271983640084,44.02390438247012,1.111535576739623,1.2491069366655672,0.8591305586444766,0.8866028681905639,108,64
2025Q3,GAP_OPPOSING_PM_ALIGNED,193,188,87,101,1,4,46.276595744680854,43.005181347150256,0.9996443876767404,1.1890811180593277,0.7396369337276016,0.854657631232931,88,62
2025Q3,MIXED_FLAT,81,79,27,52,2,0,34.177215189873415,35.80246913580247,0.9512491964955496,1.1800388845906122,0.570978539082496,0.8911767961917489,49,45
