quarter,gap_premarket_structure_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q3,UNKNOWN,33,32,13,19,0,1,40.625,24.242424242424242,0.6926796270705239,1.055765090935373,0.542832058196424,0.8656124570820739,16,27
2025Q4,GAP_ALIGNED_PM_OPPOSING,241,231,122,109,1,9,52.81385281385281,44.81327800829875,1.3506988182543704,1.324657123228642,0.9371854736251505,0.7942692722695053,101,63
2025Q4,GAP_AND_PM_ALIGNED,599,589,309,280,2,8,52.46179966044143,45.90984974958264,1.43375659803716,1.3883887471771126,1.0522788203753497,0.9722142322959362,111,64
2025Q4,GAP_AND_PM_OPPOSING,546,527,276,251,2,17,52.3719165085389,52.93040293040293,1.4026725432846336,1.2262146089009178,0.9818074698204087,0.788664996545187,109,64
2025Q4,GAP_OPPOSING_PM_ALIGNED,239,229,120,109,0,10,52.40174672489083,44.76987447698745,1.3509729574376346,1.183359949039874,0.9159881569207946,0.9045541070631541,96,61
2025Q4,MIXED_FLAT,50,50,28,22,0,0,56.0,42.0,1.1807448345672822,1.1092977105235624,1.0417707614055907,0.76078968464664,39,35
2025Q4,UNKNOWN,27,27,13,14,0,0,48.148148148148145,40.74074074074074,1.1796416099966995,1.1662504830054898,0.8336398185607539,0.730218855218861,15,23
2026Q1,GAP_ALIGNED_PM_OPPOSING,173,169,95,74,4,0,56.21301775147929,46.820809248554916,1.5115819297963324,1.5430581372260943,1.0595261028703609,1.119485701618272,87,55
2026Q1,GAP_AND_PM_ALIGNED,671,659,342,317,9,3,51.89681335356601,45.45454545454545,1.7179213899564387,1.4675210140043655,1.2743007650821627,1.1156086484351815,111,61
2026Q1,GAP_AND_PM_OPPOSING,484,477,241,236,6,1,50.524109014675055,47.93388429752066,1.5942695526224984,1.474229914161967,1.1714349996566744,1.1083928745251432,110,61
2026Q1,GAP_OPPOSING_PM_ALIGNED,193,189,107,82,4,0,56.613756613756614,50.77720207253886,1.7875709974737222,1.2714149018824594,1.2049305202899283,0.9070589217313857,95,54
2026Q1,MIXED_FLAT,41,40,22,18,1,0,55.0,56.09756097560975,1.3405032758499755,1.3026224634128116,0.9113924050632898,0.9865684060382721,33,25
2026Q1,UNKNOWN,7,7,3,4,0,0,42.857142857142854,42.857142857142854,1.6668309515291713,1.4269786126043082,1.749751260850181,1.5352701356583223,4,7
2026Q2,GAP_ALIGNED_PM_OPPOSING,182,181,90,91,1,0,49.72375690607735,44.505494505494504,1.961112287577816,1.3745015034777786,1.176993414515913,1.0290832567893946,90,56
2026Q2,GAP_AND_PM_ALIGNED,657,640,331,309,13,4,51.71875,50.076103500761036,1.82664757628455,1.5618902966455959,1.303109423213864,1.0687507345164005,110,62
2026Q2,GAP_AND_PM_OPPOSING,566,554,272,282,5,7,49.09747292418773,48.23321554770318,1.6741882604244955,1.7125125857415893,1.1302572698013518,1.1875436149478966,112,62
2026Q2,GAP_OPPOSING_PM_ALIGNED,188,184,88,96,3,1,47.82608695652174,40.95744680851064,1.6899908473898324,1.532223060944854,1.2197691185582598,1.1713584079166859,86,56
2026Q2,MIXED_FLAT,25,25,12,13,0,0,48.0,52.0,1.2021471541187987,1.1116072109636295,0.9166347384116202,1.0628659046556985,20,18
2026Q2,UNKNOWN,9,9,6,3,0,0,66.66666666666667,55.55555555555556,1.6171411339526895,0.8978712077858473,1.2203922574851098,0.3260409666741338,6,9
2026Q3,GAP_ALIGNED_PM_OPPOSING,93,89,38,51,4,0,42.69662921348315,41.935483870967744,1.690943842510028,1.8068837729763987,1.1710333198013927,1.1761127446010453,64,34
2026Q3,GAP_AND_PM_ALIGNED,395,386,179,207,8,1,46.373056994818654,47.34177215189873,1.5988916399533235,1.6979800328785069,1.1641673243883255,1.2293942034897727,104,41
2026Q3,GAP_AND_PM_OPPOSING,472,456,225,231,7,9,49.3421052631579,48.516949152542374,1.6131882191764986,1.4207666002751946,1.1602622321487535,1.0132109024420415,106,41
2026Q3,GAP_OPPOSING_PM_ALIGNED,109,106,44,62,2,1,41.509433962264154,53.211009174311926,1.7391362892424134,1.807253063122465,1.0063038574981258,1.1976852330267707,64,35
2026Q3,MIXED_FLAT,20,20,13,7,0,0,65.0,50.0,1.2392749270880414,1.0353124542125263,0.7163882678395859,0.8813374898696589,17,16
2026Q3,UNKNOWN,6,6,1,5,0,0,16.666666666666668,16.666666666666668,0.47271394973066233,1.8633740895532513,0.19206064286382388,1.6595093408679291,4,5
