research_period,premarket_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,premarket_feature,context_feature
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,CONSENSUS_ALIGNED,227,222,108,114,0,5,48.648648648648646,39.647577092511014,1.2856788867942126,1.1929187247189363,0.7724337698388701,0.8350202429149826,96,96,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,CONSENSUS_OPPOSING,313,301,154,147,1,11,51.16279069767442,46.00638977635783,1.1600351595604297,1.2356681074070142,0.8041701009110861,0.9481169344219106,100,110,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,MIXED,15,15,6,9,0,0,40.0,46.666666666666664,1.3810301535604275,1.4907928432920274,1.5052160953800333,1.0166716925860446,14,5,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,UNKNOWN,40,40,29,11,0,0,72.5,77.5,1.3592019456583715,1.1408006407336582,1.0082708573759067,0.9249935219612524,35,5,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,MIXED_FLAT,CONSENSUS_ALIGNED,75,75,35,40,0,0,46.666666666666664,34.666666666666664,0.9107466328251106,1.0879873216011497,0.696594427244581,0.8328803392568388,53,56,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,MIXED_FLAT,CONSENSUS_OPPOSING,80,78,31,47,2,0,39.743589743589745,38.75,1.0439293313522509,1.3786655368234233,0.5768979494515003,1.0193359196795218,49,61,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,MIXED_FLAT,MIXED,3,3,2,1,0,0,66.66666666666667,33.333333333333336,1.7489517257016622,1.2734503589099815,1.0668762004539922,1.2379954601012604,3,1,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,MIXED_FLAT,UNKNOWN,4,4,3,1,0,0,75.0,75.0,1.0863307853003492,0.6092617813760254,1.1442435961983648,0.40748735716344797,4,3,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,CONSENSUS_ALIGNED,37,37,17,20,0,0,45.945945945945944,29.72972972972973,0.9782168807480437,1.1465678359730842,0.7252100236949744,0.9220827857935876,14,34,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,CONSENSUS_OPPOSING,33,32,11,21,0,1,34.375,42.42424242424242,0.8732089021146556,1.2184539483392351,0.4873006497341971,0.878421908394608,17,32,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,MIXED,2,2,1,1,0,0,50.0,50.0,1.1150720806550811,0.7366558860200574,1.1150720806550811,0.7366558860200574,2,2,gap_premarket_structure_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,UNKNOWN,36,36,15,21,0,0,41.666666666666664,36.111111111111114,0.7395901441480803,1.2788676032980482,0.3574736029350609,1.151482117663515,35,5,gap_premarket_structure_state,market_prior_5d_consensus
