candidate_id,source_hint,artifact,hint_match,matched_columns
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_level_confluence_v1\a47_entry_area_confluence_features_v1.parquet,False,pm_directional_level | pd_directional_level
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_opening_location_geometry_v1\a42_opening_location_features_v1.parquet,False,pm_dir_level | pd_dir_level | a42_open_to_pm_level_dir_pct | a42_open_to_pd_level_dir_pct
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_postsignal_paths_v1\ae2_postsignal_path_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_preferred_level_timing_v1\a38_preferred_level_timing_events_v1.parquet,False,pm_directional_level | pd_directional_level | c1_pm_beyond | c1_pd_beyond | c2_pm_beyond_calc | c2_pd_beyond_calc
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_premarket_robustness_v1\ae2_premarket_robustness_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_prior_day_structure_v1\a44_prior_day_structure_features_v1.parquet,False,pdh | pdl | a44_prior_close_to_pd_extreme_dir_pct
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_prior_day_vs_premarket_transition_v1\a45_overnight_transition_features_v1.parquet,False,a45_ahclose_to_pmclose_dir_pct | a45_rthclose_to_pmclose_dir_pct | a45_pm_minus_ah_stage_dir_pp
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_session_level_geometry_v1\a37_session_level_geometry_events_v1.parquet,True,pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_ah_spacing_pct | pm_pd_spacing_pct | ah_pd_spacing_pct | mean_pairwise_spacing_pct | closest_pair_spacing_pct | c2_beyond_pm_pct | c2_beyond_pd_pct
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_session_levels_v1\ae2_session_level_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_warning_context_v1\ae2_warning_context_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_warning_exit_utility_v1\ae2_warning_exit_utility_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_N1_PM_PD_SPACING_Q4,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_warning_timing_v1\ae2_warning_timing_features_v1.parquet,False,pmh | pml | pdh | pdl | pm_directional_level | pd_directional_level | pm_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | pd_proximity_state | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_level_confluence_v1\a47_entry_area_confluence_features_v1.parquet,False,pm_directional_level | ah_directional_level | pd_directional_level
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_opening_location_geometry_v1\a42_opening_location_features_v1.parquet,False,pm_dir_level | ah_dir_level | pd_dir_level | a42_open_to_pm_level_dir_pct | a42_open_to_ah_level_dir_pct | a42_open_to_pd_level_dir_pct
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_postsignal_paths_v1\ae2_postsignal_path_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_preferred_level_timing_v1\a38_preferred_level_timing_events_v1.parquet,False,pm_directional_level | ah_directional_level | pd_directional_level | c1_pm_beyond | c1_ah_beyond | c1_pd_beyond | c2_pm_beyond_calc | c2_ah_beyond_calc | c2_pd_beyond_calc
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_premarket_context_v1\ae2_premarket_context_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_premarket_robustness_v1\ae2_premarket_robustness_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_prior_day_structure_v1\a44_prior_day_structure_features_v1.parquet,False,pdh | pdl | a44_prior_close_to_pd_extreme_dir_pct
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_prior_day_vs_premarket_transition_v1\a45_overnight_transition_features_v1.parquet,False,prior_ah_close | a45_rthclose_to_ahclose_dir_pct | a45_ahclose_to_pmclose_dir_pct | a45_rthclose_to_pmclose_dir_pct | a45_pm_minus_ah_stage_dir_pp
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_session_level_geometry_v1\a37_session_level_geometry_events_v1.parquet,True,pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_ah_spacing_pct | pm_pd_spacing_pct | ah_pd_spacing_pct | directional_level_order_inner_to_outer | c2_beyond_pm_pct | c2_beyond_ah_pct | c2_beyond_pd_pct
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_session_levels_v1\ae2_session_level_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_warning_context_v1\ae2_warning_context_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_warning_exit_utility_v1\ae2_warning_exit_utility_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A37_G_P2_PD_AH_PM_ORDERING,ae2_session_level_geometry_v1,data\second1m_alt_entry_research_v1\ae2_warning_timing_v1\ae2_warning_timing_features_v1.parquet,False,pmh | pml | pdh | pdl | ahh | ahl | prior_ah_close | prior_ah_bar_n | pm_directional_level | ah_directional_level | pd_directional_level | pm_directional_distance_pct | ah_directional_distance_pct | pd_directional_distance_pct | pm_level_structure_state | pm_c1_cross | pm_c2_cross | pm_c2_closed_beyond | ah_level_structure_state | ah_c1_cross | ah_c2_cross | ah_c2_closed_beyond | pd_level_structure_state | pd_c1_cross | pd_c2_cross | pd_c2_closed_beyond | pm_proximity_state | ah_proximity_state | pd_proximity_state | nearest_ahead_level_distance_pct | nearest_ahead_level | pd_failed_break_candidate | pmctx_prior_rth_close
A38_T_P1_PM_REMAINS_FOR_C2,ae2_preferred_level_timing_v1,data\second1m_alt_entry_research_v1\ae2_c2_predictors_v1\ae2_c2_predictor_features_v1.parquet,False,c1_open | c1_high | c1_low | c1_close | c1_volume | c1_vwap | c2_open | c2_high | c2_low | c2_close | c2_volume | c2_vwap | c1_direction_aligned | c1_vwap_close_ok | c2_direction_aligned | c2_vwap_close_ok | c2_no_touch_ok | c2_vwap_touch_or_cross | c1_body_to_range_pct | c2_body_to_range_pct | c1_favorable_clv_pct | c2_favorable_clv_pct | c1_favorable_wick_pct | c2_favorable_wick_pct | c1_adverse_wick_pct | c2_adverse_wick_pct | c1_favorable_body_return_pct | c2_favorable_body_return_pct | c1_favorable_vwap_distance_pct | c2_favorable_vwap_distance_pct | c2_vwap_penetration_pct | c1_to_c2_close_progress_pct | c2_to_c1_volume_ratio | c1_range_pct | c2_range_pct | c1_body_to_range_pct__bucket | c2_body_to_range_pct__bucket | c1_favorable_clv_pct__bucket | c2_favorable_clv_pct__bucket | c1_favorable_wick_pct__bucket | c2_favorable_wick_pct__bucket | c1_adverse_wick_pct__bucket | c2_adverse_wick_pct__bucket | c1_favorable_body_return_pct__bucket | c2_favorable_body_return_pct__bucket | c1_favorable_vwap_distance_pct__bucket | c2_favorable_vwap_distance_pct__bucket | c2_vwap_penetration_pct__bucket | c1_to_c2_close_progress_pct__bucket | c2_to_c1_volume_ratio__bucket | c1_range_pct__bucket | c2_range_pct__bucket
