research_period,vwap_distance_change_pp__frozen_quintile,binary_n_persisted,favorable_n_persisted,adverse_n_persisted,ff_pct_persisted,binary_n_reproduced,favorable_n_reproduced,adverse_n_reproduced,ff_pct_reproduced,binary_n_delta,favorable_n_delta,adverse_n_delta,ff_pct_delta
DISCOVERY,1.0,99,57,42,57.57575757575758,48,29,19,60.416666666666664,-51,-28,-23,2.8409090909090864
DISCOVERY,2.0,37,19,18,51.35135135135136,37,19,18,51.351351351351354,0,0,0,-7.105427357601002e-15
DISCOVERY,3.0,48,29,19,60.41666666666666,63,41,22,65.07936507936508,15,12,3,4.662698412698418
DISCOVERY,4.0,117,58,59,49.57264957264957,99,57,42,57.57575757575758,-18,-1,-17,8.00310800310801
DISCOVERY,5.0,63,41,22,65.07936507936508,117,58,59,49.572649572649574,54,17,37,-15.506715506715501
VALIDATION,1.0,102,55,47,53.92156862745098,50,36,14,72.0,-52,-19,-33,18.07843137254902
VALIDATION,2.0,50,30,20,60.0,50,30,20,60.0,0,0,0,0.0
VALIDATION,3.0,50,36,14,72.0,59,31,28,52.54237288135593,9,-5,14,-19.45762711864407
VALIDATION,4.0,128,73,55,57.03125,102,55,47,53.92156862745098,-26,-18,-8,-3.1096813725490193
VALIDATION,5.0,59,31,28,52.54237288135593,128,73,55,57.03125,69,42,27,4.488877118644069
