symbol,trade_date,direction,research_period,quarter,c1_cleared_pattern,pm_pd_spacing_pct,directional_level_order_inner_to_outer,A37_G_N1_PM_PD_SPACING_Q4,A37_G_P2_PD_AH_PM_ORDERING,A38_T_P1_PM_REMAINS_FOR_C2,A38_T_N1_PD_REMAINS_FOR_C2,a42_priorclose_to_outer_consumed_ratio,A42_N2_OPEN_CONSUMED_RATIO_Q2
AMD,2026-07-21,BULL,VALIDATION,2026Q3,PM+AH+PD,0.8139922794643248,AH>PD>PM,True,False,False,False,0.9695148132245583,False
AMD,2026-07-30,BULL,VALIDATION,2026Q3,PM+AH+PD,0.9750576764027251,AH>PD>PM,True,False,False,False,0.9470899470899474,False
AMGN,2026-04-21,BEAR,VALIDATION,2026Q2,AH+PD,0.6075194864740957,PD>AH>PM,True,True,True,False,-0.06651376146790743,False
AMGN,2026-04-24,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.14085316817530222,AH>PD>PM,False,False,False,False,0.7257617728531841,False
AMGN,2026-07-24,BULL,VALIDATION,2026Q3,AH+PD,0.5203723076097738,AH>PD>PM,True,False,True,False,0.5413043478260996,False
AMGN,2026-07-28,BULL,VALIDATION,2026Q3,PM+AH+PD,0.31862937135992775,AH>PD>PM,False,False,False,False,0.9662618083670717,False
AMGN,2026-08-14,BEAR,VALIDATION,2026Q3,PM+AH+PD,0.5571299366897667,AH>PD>PM,True,False,False,False,0.9334862385321178,False
AMZN,2025-08-07,BULL,DISCOVERY,2025Q3,NONE,0.04490345756623005,AH>PD>PM,False,False,False,False,-3.166666666666791,False
AMZN,2025-09-22,BEAR,DISCOVERY,2025Q3,PM+AH+PD,0.2608695652174012,AH>PM>PD,False,False,False,False,0.5473684210526257,False
AMZN,2025-10-30,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.5415043254308878,PD>PM>AH,True,False,False,False,0.7305122494432059,False
AMZN,2025-12-29,BEAR,DISCOVERY,2025Q4,PM+AH,0.06477700580614683,AH>PM>PD,False,False,False,True,0.42424242424242814,True
AMZN,2026-01-06,BULL,DISCOVERY,2026Q1,PM+AH,0.0726759720411207,AH>PM>PD,False,False,False,True,-1.00000000000003,False
AMZN,2026-01-14,BEAR,VALIDATION,2026Q1,AH,0.020813820376734883,AH>PD>PM,False,False,False,False,0.6058091286307024,False
ANET,2025-06-11,BEAR,DISCOVERY,2025Q2,AH,0.10845986984815001,AH>PD>PM,False,False,False,False,0.6383647798742186,False
ANET,2025-08-07,BULL,DISCOVERY,2025Q3,AH,0.33627875362215065,AH>PD>PM,False,False,False,False,0.18584070796460955,True
ANET,2025-09-29,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.4146510020732511,AH>PD>PM,False,False,False,False,0.9682539682539634,False
ANET,2026-01-05,BULL,DISCOVERY,2026Q1,PM+AH+PD,1.400948558920093,AH>PD>PM,False,False,False,False,1.0750000000000033,False
ANET,2026-01-08,BEAR,DISCOVERY,2026Q1,PM+AH,0.27945971122497565,AH>PM>PD,False,False,False,True,0.49305555555555214,True
ANET,2026-08-12,BULL,VALIDATION,2026Q3,PM+AH+PD,3.0104971281441935,AH>PD>PM,False,False,False,False,1.064738292011019,False
APP,2025-07-22,BEAR,DISCOVERY,2025Q3,PM+AH,1.3843411945123854,AH>PM>PD,False,False,False,True,0.4243542435424333,True
APP,2025-09-04,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.020007202592938006,AH>PM>PD,False,False,False,False,0.8390357698289276,False
APP,2025-11-10,BULL,DISCOVERY,2025Q4,PM+AH+PD,0.6622672822658544,AH>PD>PM,True,False,False,False,0.8975636766334488,False
APP,2025-12-01,BEAR,DISCOVERY,2025Q4,AH,0.1027925304094608,AH>PM>PD,False,False,False,False,0.7058457711442783,False
APP,2025-12-19,BULL,DISCOVERY,2025Q4,AH,0.052533312509318204,AH>PD>PM,False,False,False,False,0.7522053721875324,False
APP,2026-02-23,BEAR,VALIDATION,2026Q1,PM+AH+PD,3.312614169946177,AH>PD>PM,False,False,False,False,0.9686431014823255,False
APP,2026-04-29,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.7896221094190639,PM>AH>PD,True,False,False,False,0.041168658698532076,False
APP,2026-05-21,BULL,VALIDATION,2026Q2,PM+AH+PD,0.16512420610475081,PM>AH>PD,False,False,False,False,-2.579080789154548,False
APP,2026-06-03,BEAR,VALIDATION,2026Q2,PM+AH+PD,0.0,AH>PM>PD,False,False,False,False,0.7370242214532912,False
APP,2026-08-11,BEAR,VALIDATION,2026Q3,PM+AH+PD,2.7323467356985724,PD>AH>PM,False,True,False,False,0.9978746014877748,False
ARM,2025-08-14,BEAR,DISCOVERY,2025Q3,AH+PD,1.6112933124197852,PD>AH>PM,False,True,True,False,0.5265306122449026,True
ARM,2025-08-26,BULL,DISCOVERY,2025Q3,PM+AH,0.4325883201153528,AH>PM>PD,False,False,False,True,0.45544554455445335,True
ARM,2025-09-08,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.10799524820908289,AH>PD>PM,False,False,False,False,0.6829268292683012,False
ARM,2025-11-25,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.6870750256252657,AH>PD>PM,True,False,False,False,0.882661766636044,False
ARM,2025-12-23,BEAR,DISCOVERY,2025Q4,PM+AH+PD,0.20434454266803248,AH>PD>PM,False,False,False,False,0.6626506024096365,False
ARM,2026-01-28,BEAR,VALIDATION,2026Q1,NONE,0.004376846482105659,AH>PM>PD,False,False,False,False,-0.08510638297872683,False
ARM,2026-02-06,BULL,VALIDATION,2026Q1,PM+AH,1.9382386546807795,AH>PM>PD,False,False,False,True,0.43483412322275083,True
ARM,2026-05-15,BEAR,VALIDATION,2026Q2,PM+AH,0.5611934714492901,AH>PM>PD,True,False,False,True,0.8981390793339862,False
ARM,2026-06-12,BULL,VALIDATION,2026Q2,AH+PD,3.4975699442726174,PD>AH>PM,False,True,True,False,0.7382091592617919,False
ARM,2026-07-13,BEAR,VALIDATION,2026Q3,PM+AH+PD,2.75868667378928,AH>PD>PM,False,False,False,False,0.846903270702854,False
ASML,2025-07-16,BEAR,DISCOVERY,2025Q3,AH+PD,8.076871474115299,AH>PD>PM,False,False,True,False,0.9528619528619526,False
ASML,2025-09-08,BULL,DISCOVERY,2025Q3,PM+AH+PD,0.8614304831957452,PD>AH>PM,True,True,False,False,0.9716859716859682,False
ASML,2026-03-13,BULL,VALIDATION,2026Q1,AH,0.09694760820045027,AH>PM>PD,False,False,False,False,0.7635933806146556,False
ASML,2026-05-15,BEAR,VALIDATION,2026Q2,AH+PD,3.5998020369357384,AH>PD>PM,False,False,True,False,0.9511175009802639,False
ASML,2026-05-22,BULL,VALIDATION,2026Q2,AH+PD,1.184114985757103,AH>PD>PM,False,False,True,False,0.9715447154471573,False
ASML,2026-08-03,BEAR,VALIDATION,2026Q3,PM+AH+PD,1.2523225566703846,PD>AH>PM,False,True,False,False,0.78784169726642,False
AVGO,2025-09-04,BULL,DISCOVERY,2025Q3,AH+PD,0.7200130911471082,AH>PD>PM,True,False,True,False,0.6267605633802867,False
