hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,total_n,symbol_n,top1_share_pct,top5_share_pct,top10_share_pct
H2B,session_level_clear_state,NONE_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,624,110,2.5641025641025643,10.737179487179487,19.55128205128205
H2B,session_level_clear_state,ALL_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,548,109,2.0072992700729926,9.854014598540147,18.248175182481752
H2B,session_level_clear_state,ONE_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,334,106,2.395209580838323,11.676646706586826,20.95808383233533
H2B,session_level_clear_state,TWO_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,NEGATIVE_REPLICATING,598,112,2.1739130434782608,8.528428093645484,15.551839464882944
H3A,premarket_rvol_20d_discovery_state,LOW,c2_break_count_state,ONE_C2_LEVEL_BREAK,NEGATIVE_REPLICATING,138,69,4.3478260869565215,16.666666666666668,28.26086956521739
H3A,premarket_rvol_20d_discovery_state,HIGH,c2_break_count_state,NO_C2_LEVEL_BREAK,POSITIVE_REPLICATING,597,108,2.512562814070352,10.050251256281408,17.08542713567839
H3B,premarket_rvol_20d_discovery_state,MODERATE,relevant_level_cluster_state,TIGHT_CLUSTER,POSITIVE_REPLICATING,369,100,7.8590785907859075,19.78319783197832,30.62330623306233
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,MODERATE_CLUSTER,NEGATIVE_REPLICATING,389,107,2.3136246786632393,10.282776349614396,19.02313624678663
H3B,premarket_rvol_20d_discovery_state,HIGH,relevant_level_cluster_state,MODERATE_CLUSTER,POSITIVE_REPLICATING,356,103,2.5280898876404496,11.235955056179776,20.224719101123597
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,TIGHT_CLUSTER,NEGATIVE_REPLICATING,136,78,3.676470588235294,15.441176470588236,27.941176470588236
H4A,exhaustion_state,NONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,366,99,2.459016393442623,11.202185792349727,20.76502732240437
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,ONE_OF_3_CLEARED,NEGATIVE_REPLICATING,196,80,4.591836734693878,19.387755102040817,32.6530612244898
H4A,exhaustion_state,ONE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,215,94,3.255813953488372,15.348837209302326,25.11627906976744
H4A,exhaustion_state,ONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,141,76,4.25531914893617,17.02127659574468,29.078014184397162
H4A,exhaustion_state,NONE,session_level_clear_state,ONE_OF_3_CLEARED,POSITIVE_REPLICATING,394,102,3.8071065989847717,14.467005076142131,24.873096446700508
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,325,88,3.3846153846153846,15.384615384615385,28.615384615384617
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,243,95,2.880658436213992,11.522633744855968,21.39917695473251
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,210,91,2.857142857142857,13.333333333333334,24.761904761904763
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,467,109,2.355460385438972,10.278372591006423,18.201284796573876
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,181,93,2.7624309392265194,13.812154696132596,24.861878453038674
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,451,107,2.4390243902439024,10.643015521064301,19.068736141906875
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,205,93,2.4390243902439024,11.707317073170731,21.463414634146343
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,452,108,2.6548672566371683,11.061946902654867,20.353982300884955
H5A,relative_multi_horizon_state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,539,112,3.1539888682745825,11.50278293135436,20.222634508348794
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,411,100,3.1630170316301705,13.62530413625304,23.600973236009732
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,257,98,3.11284046692607,12.84046692607004,22.56809338521401
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,377,108,2.9177718832891246,10.875331564986737,19.363395225464192
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,666,110,2.7027027027027026,10.96096096096096,20.27027027027027
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,623,108,3.5313001605136436,13.001605136436597,22.31139646869984
H5B,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,778,112,2.570694087403599,10.668380462724937,18.251928020565554
