hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BEAR,224,220,122,98,4,0,55.45454545454545,2.007236774467883,1.6441483734450377,1.6381115172495981,1.1682818018507355,91,63
H1A,session_level_clear_state,ALL_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,POSITIVE_REPLICATING,BULL,172,169,103,66,1,2,60.946745562130175,1.809227125416974,1.2617614651613773,1.358887835012371,0.8076253198113987,86,54
H1A,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,BEAR,289,282,131,151,2,5,46.45390070921986,1.6035069318904565,1.41108926671808,1.1024670299954262,1.0129024478475865,100,60
H1A,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,BULL,303,291,127,164,9,3,43.6426116838488,1.453443308420077,1.7824594072493718,0.9573396036278138,1.249024199843873,107,74
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,BEAR,223,220,109,111,3,0,49.54545454545455,1.508173542951057,1.4313807745251221,1.06213489113117,1.1328333385633906,100,61
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,BULL,319,312,131,181,6,1,41.98717948717949,1.7195165293682693,1.5323977372703272,1.1183849658989213,1.1566820276497678,106,78
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,BEAR,191,187,92,95,3,1,49.19786096256684,1.6763942825338003,1.7082493795034794,1.110733310665311,1.1427343399611318,98,68
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,BULL,150,144,66,78,5,1,45.833333333333336,1.9631939030573207,1.5780878350328975,1.4649329558274635,1.135708730485132,79,57
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,BEAR,178,174,96,78,4,0,55.172413793103445,1.9003517545102906,1.749538596533842,1.6001425199993689,1.204027126558775,84,50
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,BULL,114,111,68,43,1,2,61.26126126126126,1.8663190521737119,1.1917404942432883,1.303948675835441,0.7622423587961901,75,38
