hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,185,181,84,97,4,0,46.408839779005525,1.1846394024078495,1.5694707003754673,0.9383465164156428,1.256983240223457,98,44
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,102,101,47,54,1,0,46.53465346534654,1.7820634090903114,1.4369751329303597,1.2445907755392402,1.0573775706962136,63,24
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,70,68,35,33,2,0,51.470588235294116,1.395957047272843,1.4304903382629488,1.1051080914434017,1.0125472541256237,52,21
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,60,60,33,27,0,0,55.0,1.723266973163493,1.4346843354909715,1.395628671917609,1.1445863883530347,49,22
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,80,80,49,31,0,0,61.25,1.9991232629070042,1.2455053519284784,1.493465983065183,0.8525403521502852,55,20
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,199,194,88,106,5,0,45.36082474226804,1.6636913391632542,1.5742929538097623,1.0557157473723422,1.1634426689094453,94,56
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,213,210,84,126,2,1,40.0,1.471002694183504,1.4944678508120017,1.0308135668366292,1.173754714527251,98,48
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,VALIDATION_NEWER,109,105,55,50,3,1,52.38095238095238,1.872492441294654,1.7127220811414423,1.2882103078223428,1.0155868136642614,72,47
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,VALIDATION_OLDER,161,156,68,88,4,1,43.58974358974359,1.498619111983803,1.514121999996844,1.008591707134851,1.214437367303615,87,49
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,257,249,132,117,2,6,53.01204819277108,1.7281270923264138,1.632557744360355,1.3064673383165364,1.1176971951030492,95,52
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,234,231,117,114,1,2,50.64935064935065,1.6067823246925164,1.4403523396700693,1.2023876766655925,1.0845863345825908,89,47
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,116,114,55,59,2,0,48.24561403508772,1.7444972888375008,1.455731991834589,1.2966035670230123,0.9355135238542898,70,51
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,132,129,70,59,2,1,54.263565891472865,1.7234947471457172,1.3069811946385836,1.357923256744468,0.9563464213008945,75,56
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,161,156,80,76,5,0,51.282051282051285,2.0734286232548707,1.64422982862171,1.1962315920561775,1.0997534610278683,87,68
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,168,165,73,92,2,1,44.24242424242424,1.4470877761562047,1.5825473987605672,0.9148157580350307,1.2460051421132872,87,68
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,233,223,102,121,4,6,45.73991031390135,1.6640941141087167,1.6933979563951922,1.2224282693794704,1.2003926518019994,83,74
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,168,165,74,91,2,1,44.84848484848485,1.4048977758627808,1.615517560162326,1.015134861495778,1.1280639613746481,91,62
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,135,130,65,65,4,1,50.0,1.6829279431152426,1.8407914166730075,1.2457799451146083,1.0575371930453548,76,64
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,145,142,75,67,3,0,52.816901408450704,1.650143978589623,1.3407146664057321,1.2049305202899283,1.1047187469214796,79,61
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,VALIDATION_NEWER,188,185,92,93,3,0,49.729729729729726,1.7817979040532157,1.9354543708770775,1.3211669050399673,1.2912079414644022,87,71
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,VALIDATION_OLDER,219,215,119,96,3,1,55.348837209302324,1.7596004208430256,1.4533241570813746,1.2331086477334303,1.1156086484351815,94,64
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,VALIDATION_NEWER,170,165,75,90,5,0,45.45454545454545,1.7081759457875545,1.8296136720510972,1.2349778932315192,1.3073494726977746,83,69
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,VALIDATION_OLDER,155,153,88,65,2,0,57.51633986928105,1.6638512203523104,1.5643793892319962,1.2638755353552844,1.1462616973739665,84,64
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,VALIDATION_NEWER,255,250,132,118,2,3,52.8,1.8458464616209147,1.5178891645957282,1.2029240307208267,1.0268453285444668,95,73
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,VALIDATION_OLDER,224,222,108,114,2,0,48.648648648648646,1.3998205701221396,1.5016374310530334,0.9576546548583438,1.1749452126856528,91,73
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,MIXED,NEGATIVE_REPLICATING,VALIDATION_NEWER,113,108,46,62,2,3,42.592592592592595,1.5380337735813945,1.8013654878714793,1.1287187920466368,1.2924276452392018,63,60
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,MIXED,NEGATIVE_REPLICATING,VALIDATION_OLDER,95,94,30,64,1,0,31.914893617021278,1.4443199435893306,1.640715603555483,1.086244940159712,1.1143062544931617,65,52
H2B,session_level_clear_state,NONE_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,362,348,163,185,5,9,46.839080459770116,1.8194070030871323,1.6622724887003133,1.2205308854181025,1.1227945224419429,101,78
H2B,session_level_clear_state,NONE_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,262,256,123,133,4,2,48.046875,1.508670888655841,1.486200637533794,1.1302148510018926,1.0759789672302684,103,71
H2B,session_level_clear_state,ALL_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,VALIDATION_NEWER,239,233,119,114,6,0,51.072961373390555,1.8881616843128963,1.7356175291779983,1.575132221757874,1.2406086242818204,94,73
H2B,session_level_clear_state,ALL_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,VALIDATION_OLDER,309,304,172,132,4,1,56.578947368421055,1.7334658027418155,1.5007482949732713,1.2454152742684863,1.1278195488721803,105,77
H2B,session_level_clear_state,ONE_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_NEWER,152,148,78,70,3,1,52.7027027027027,1.8061589028896907,1.6099742797246561,1.141382957531572,1.1062968144640353,78,61
H2B,session_level_clear_state,ONE_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,VALIDATION_OLDER,182,180,70,110,1,1,38.888888888888886,1.4749727026847532,1.5369023613899888,1.0693439429547205,1.1144017123575956,90,68
H2B,session_level_clear_state,TWO_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,NEGATIVE_REPLICATING,VALIDATION_NEWER,294,290,149,141,4,0,51.37931034482759,1.6048618774444754,1.5602193527139265,1.0879482284279103,1.203861923420676,107,77
H2B,session_level_clear_state,TWO_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,NEGATIVE_REPLICATING,VALIDATION_OLDER,304,296,136,160,6,2,45.945945945945944,1.633954126451062,1.4359015613266468,1.1559121872497033,1.1332882853638302,108,75
H3A,premarket_rvol_20d_discovery_state,LOW,c2_break_count_state,ONE_C2_LEVEL_BREAK,NEGATIVE_REPLICATING,VALIDATION_NEWER,72,72,34,38,0,0,47.22222222222222,1.9744329123044413,1.4181979783217205,1.3550579809714112,1.0664610633556229,51,42
H3A,premarket_rvol_20d_discovery_state,LOW,c2_break_count_state,ONE_C2_LEVEL_BREAK,NEGATIVE_REPLICATING,VALIDATION_OLDER,66,66,26,40,0,0,39.39393939393939,1.1651914975777782,1.5906965532876547,0.8154287191390145,1.2456367757377789,43,38
H3A,premarket_rvol_20d_discovery_state,HIGH,c2_break_count_state,NO_C2_LEVEL_BREAK,POSITIVE_REPLICATING,VALIDATION_NEWER,244,231,118,113,10,3,51.082251082251084,1.952049867930116,1.7777024792951346,1.5048853339301738,1.100317404234971,98,73
H3A,premarket_rvol_20d_discovery_state,HIGH,c2_break_count_state,NO_C2_LEVEL_BREAK,POSITIVE_REPLICATING,VALIDATION_OLDER,353,337,163,174,16,0,48.367952522255194,1.877562282133859,1.655625400376591,1.4206830000536137,1.249024199843873,105,74
H3B,premarket_rvol_20d_discovery_state,MODERATE,relevant_level_cluster_state,TIGHT_CLUSTER,POSITIVE_REPLICATING,VALIDATION_NEWER,189,182,78,104,0,7,42.857142857142854,1.0821309130945234,1.1840271782315208,0.6659447753113256,0.8811785763458634,81,73
H3B,premarket_rvol_20d_discovery_state,MODERATE,relevant_level_cluster_state,TIGHT_CLUSTER,POSITIVE_REPLICATING,VALIDATION_OLDER,180,178,101,77,0,2,56.741573033707866,1.2017622884500803,0.9927260221937723,0.9310009472348703,0.7141191221422354,76,69
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,MODERATE_CLUSTER,NEGATIVE_REPLICATING,VALIDATION_NEWER,201,200,99,101,0,1,49.5,1.5667047332175976,1.4368928359034727,1.1005569261223531,0.9879626302551221,93,70
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,MODERATE_CLUSTER,NEGATIVE_REPLICATING,VALIDATION_OLDER,188,186,79,107,0,2,42.473118279569896,1.2705253980946094,1.3552814745268986,0.9891963161749695,1.0470399388449465,93,60
H3B,premarket_rvol_20d_discovery_state,HIGH,relevant_level_cluster_state,MODERATE_CLUSTER,POSITIVE_REPLICATING,VALIDATION_NEWER,147,144,76,68,2,1,52.77777777777778,1.3945079708789476,1.3541891670896729,1.0274427845362115,0.8992929223587381,75,65
