hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,sensitivity,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,BASE,248,243,125,118,4,1,51.440329218106996,1.7333185166467124,1.376558180423812,1.324783943168323,0.9510282428020665,93,107
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,245,241,125,116,4,0,51.86721991701245,1.7509202281137335,1.383359406446487,1.3571388347989508,0.9515435103476524,91,107
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,BASE,329,321,153,168,7,1,47.66355140186916,1.7535949992044881,1.612732417628786,1.1005569261223531,1.133739239974804,104,136
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,318,311,148,163,7,0,47.58842443729903,1.7648418557336372,1.644406984600346,1.112128876003982,1.1661425138946728,101,134
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,BASE,401,388,176,212,6,7,45.36082474226804,1.555503129506928,1.660769760467208,1.141866748228582,1.1590375586854553,106,136
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,375,366,167,199,6,3,45.62841530054645,1.6040415892467372,1.7070627882678682,1.1746453900709088,1.205439934061407,103,135
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,BASE,280,272,140,132,7,1,51.470588235294116,1.6659505329144753,1.5818230995703113,1.2298735279938848,1.0825606110667834,101,125
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,271,264,134,130,7,0,50.75757575757576,1.6754888462517146,1.6043288783299778,1.2290062981105678,1.0978743284279442,98,124
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,BASE,407,400,211,189,6,1,52.75,1.7698538037509266,1.676028039620913,1.2741389607803972,1.2167563008806686,110,135
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,399,392,208,184,6,1,53.06122448979592,1.788311111383043,1.6811306920386602,1.2892451569806327,1.217651536119566,107,135
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,BASE,325,318,163,155,7,0,51.257861635220124,1.687036461349207,1.7031173217835258,1.2564408197049264,1.1963737243634163,102,133
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,322,315,162,153,7,0,51.42857142857143,1.6990665995383762,1.7029966383793038,1.2800859158257838,1.19737332255797,100,133
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,BASE,479,472,240,232,4,3,50.847457627118644,1.6372665040097965,1.5102891889932992,1.1185045250777004,1.0883648613630517,105,146
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,438,434,222,212,4,0,51.1520737327189,1.6866510793337344,1.5286601574805057,1.142925904119232,1.1095911915960386,102,144
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,MIXED,NEGATIVE_REPLICATING,BASE,208,202,76,126,3,3,37.62376237623762,1.4952317839215576,1.727991742631,1.1111152501205974,1.2046589396262137,89,112
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,MIXED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,197,192,74,118,3,2,38.541666666666664,1.5457089325208446,1.7535727356158262,1.1344064300750527,1.2679310159565815,86,111
H2B,session_level_clear_state,NONE_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,BASE,624,604,286,318,9,11,47.35099337748344,1.6889376729893786,1.588344884524627,1.1724275087195801,1.101344281924085,110,149
H2B,session_level_clear_state,NONE_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,584,571,270,301,9,4,47.285464098073554,1.7473611118651107,1.6157701466858008,1.2205308854181025,1.1385707465312542,107,149
H2B,session_level_clear_state,ALL_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,BASE,548,537,291,246,10,1,54.18994413407821,1.8009335321131446,1.6031821398180337,1.3952539333367384,1.174953285974651,109,150
H2B,session_level_clear_state,ALL_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,540,529,288,241,10,1,54.44234404536862,1.8147345417680043,1.6071909212869484,1.398589064875456,1.1869927960993616,106,150
H2B,session_level_clear_state,ONE_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,BASE,334,328,148,180,4,2,45.1219512195122,1.6256921710414913,1.5701566475782205,1.1271543360796838,1.1144017123575956,106,129
H2B,session_level_clear_state,ONE_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,315,310,135,175,4,1,43.54838709677419,1.6284706275067686,1.623777670911757,1.1304603865648726,1.1631366016182845,103,126
H2B,session_level_clear_state,TWO_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,NEGATIVE_REPLICATING,BASE,598,586,285,301,10,2,48.63481228668942,1.6196512481769205,1.4970210106040052,1.1174525617612228,1.138470510572441,112,152
H2B,session_level_clear_state,TWO_OF_3_CLEARED,directional_stock_vs_market_avg_5d_pct__state,RELATIVE_OPPOSING,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,578,567,277,290,10,1,48.85361552028219,1.627614134887866,1.50416485990748,1.141119784936322,1.1484023204038143,109,151
H3A,premarket_rvol_20d_discovery_state,LOW,c2_break_count_state,ONE_C2_LEVEL_BREAK,NEGATIVE_REPLICATING,BASE,138,138,60,78,0,0,43.47826086956522,1.5874044096090805,1.5006972967836887,1.0610388780734348,1.147555396173765,69,80
H3A,premarket_rvol_20d_discovery_state,LOW,c2_break_count_state,ONE_C2_LEVEL_BREAK,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,138,138,60,78,0,0,43.47826086956522,1.5874044096090805,1.5006972967836887,1.0610388780734348,1.147555396173765,69,80
H3A,premarket_rvol_20d_discovery_state,HIGH,c2_break_count_state,NO_C2_LEVEL_BREAK,POSITIVE_REPLICATING,BASE,597,568,281,287,26,3,49.471830985915496,1.9080061195447244,1.7055195498843374,1.44109797941289,1.1930669982900644,108,147
H3A,premarket_rvol_20d_discovery_state,HIGH,c2_break_count_state,NO_C2_LEVEL_BREAK,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,594,565,281,284,26,3,49.73451327433628,1.9143591759949088,1.7104408956907329,1.4486661413200048,1.1965053877988585,107,147
H3B,premarket_rvol_20d_discovery_state,MODERATE,relevant_level_cluster_state,TIGHT_CLUSTER,POSITIVE_REPLICATING,BASE,369,360,179,181,0,9,49.72222222222222,1.1404876815606486,1.090709541139936,0.7969201154956662,0.8061009465832585,100,142
H3B,premarket_rvol_20d_discovery_state,MODERATE,relevant_level_cluster_state,TIGHT_CLUSTER,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,320,319,160,159,0,1,50.156739811912225,1.2222620198716494,1.1553198150739248,0.8782462983953405,0.8991434964366516,97,138
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,MODERATE_CLUSTER,NEGATIVE_REPLICATING,BASE,389,386,178,208,0,3,46.1139896373057,1.42356407768258,1.3974508412021978,1.027311450764223,1.0163603502100886,107,130
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,MODERATE_CLUSTER,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,387,385,177,208,0,2,45.97402597402598,1.4283832815285424,1.4033993380360015,1.0321734327533862,1.025298554368327,106,130
H3B,premarket_rvol_20d_discovery_state,HIGH,relevant_level_cluster_state,MODERATE_CLUSTER,POSITIVE_REPLICATING,BASE,356,351,176,175,4,1,50.142450142450144,1.4236482855280062,1.3320174130075013,1.0224737035204479,0.9813424929591712,103,130
H3B,premarket_rvol_20d_discovery_state,HIGH,relevant_level_cluster_state,MODERATE_CLUSTER,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,353,348,176,172,4,1,50.57471264367816,1.4302223422684004,1.3371244186686018,1.0431017516236982,0.9875032771126413,102,130
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,TIGHT_CLUSTER,NEGATIVE_REPLICATING,BASE,136,134,61,73,0,2,45.52238805970149,1.1665740478218547,1.2668604268818153,0.9876113665986381,1.0126683555569158,78,78
H3B,premarket_rvol_20d_discovery_state,LOW,relevant_level_cluster_state,TIGHT_CLUSTER,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,132,132,60,72,0,0,45.45454545454545,1.1920779375011599,1.2959326642878923,1.0062454429045307,1.025584990393436,76,78
H4A,exhaustion_state,NONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,BASE,366,361,189,172,5,0,52.35457063711911,1.4646683199923083,1.2535269174571304,1.1128092018522875,0.9424818535628172,99,133
H4A,exhaustion_state,NONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,355,350,185,165,5,0,52.857142857142854,1.4919752216211435,1.2532409512322649,1.1490060186029594,0.94492440604752,96,133
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,ONE_OF_3_CLEARED,NEGATIVE_REPLICATING,BASE,196,186,81,105,10,0,43.54838709677419,2.2507898733744676,2.0437715163917467,1.5942280488401483,1.470843670936303,80,107
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,ONE_OF_3_CLEARED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,196,186,81,105,10,0,43.54838709677419,2.2507898733744676,2.0437715163917467,1.5942280488401483,1.470843670936303,80,107
H4A,exhaustion_state,ONE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,BASE,215,208,92,116,4,3,44.23076923076923,1.535569358893294,1.4490639445829188,1.118967529347171,1.1958424915247847,94,116
H4A,exhaustion_state,ONE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,208,202,90,112,4,2,44.554455445544555,1.565274893095629,1.4719942011470435,1.127787460371076,1.2170228753928163,91,113
H4A,exhaustion_state,ONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,BASE,141,139,78,61,0,2,56.115107913669064,1.7933041934606686,1.5123350792960857,1.226842634203695,0.8528830920809928,76,86
H4A,exhaustion_state,ONE,session_level_clear_state,ALL_3_CLEARED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,139,138,78,60,0,1,56.52173913043478,1.8134930137027176,1.5225498214720021,1.2390973279800648,0.8528830920809928,74,86
H4A,exhaustion_state,NONE,session_level_clear_state,ONE_OF_3_CLEARED,POSITIVE_REPLICATING,BASE,394,388,195,193,1,5,50.25773195876289,1.3277226876437322,1.413875991499338,0.9477467163492819,1.0159735819371751,102,141
H4A,exhaustion_state,NONE,session_level_clear_state,ONE_OF_3_CLEARED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,359,356,176,180,1,2,49.438202247191015,1.3290174834979924,1.4617548500882593,0.9523809523809657,1.0978743284279442,99,140
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,BASE,325,317,150,167,8,0,47.3186119873817,2.2908407093082133,2.071890238971329,1.6525423728813584,1.5208333333333268,88,121
H4A,exhaustion_state,MULTIPLE,session_level_clear_state,NONE_CLEARED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,317,309,145,164,8,0,46.92556634304207,2.3005896651034594,2.073709392094876,1.6525423728813584,1.50885900421033,87,121
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,BASE,243,239,126,113,4,0,52.71966527196653,1.4570600931920514,1.4252724349683812,1.0785348400216217,1.0086973189256487,95,47
H5A,relative_multi_horizon_state,RELATIVE_OPPOSING,market_3idx_prior_5d_state,MAJORITY_ALIGNED,POSITIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,233,229,121,108,4,0,52.838427947598255,1.4838739650751864,1.4252070907658743,1.0908281389136127,1.0508104707513006,92,47
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,BASE,210,208,90,118,2,0,43.26923076923077,1.4801392694766808,1.721084458471129,0.926730928868744,1.2274465991098742,91,48
H5A,relative_multi_horizon_state,MIXED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,EXCLUDE_SPY_QQQ_TQQQ,197,195,88,107,2,0,45.12820512820513,1.5121696516777428,1.7566485777659384,1.0447951945811174,1.2983890358259176,88,48
