hypothesis_id,feature_a,state_a,feature_b,state_b,effect_type,quarter,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
H1A,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2026Q2,243,237,109,128,3,3,45.9915611814346,1.6305392577639677,1.771477856712416,0.9678795236064137,1.1958424915247847,96,58
H1A,session_level_clear_state,NONE_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2026Q3,174,166,68,98,3,5,40.963855421686745,1.6433361321135487,1.4052674737653894,1.1287740677144982,0.9864652572373322,79,36
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2025Q2,60,59,33,26,0,1,55.932203389830505,1.2210143781355671,1.120972196404169,0.9177295261265175,0.7441266350245953,44,17
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2025Q3,251,249,116,133,1,1,46.5863453815261,1.156989166747425,1.1458351941019993,0.8504593587425563,0.8320054033754536,96,62
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2025Q4,216,211,104,107,0,5,49.28909952606635,1.2575468269887933,1.3481338329877437,0.8461827934039303,0.9060342929435075,94,48
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2026Q1,193,191,88,103,2,0,46.07329842931937,1.4454510538120484,1.4529212291665996,1.1165201576235242,1.10244025157233,93,47
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2026Q2,230,227,101,126,2,1,44.49339207048458,1.788154798978219,1.5291732569310503,1.099298726618223,1.1445012184651229,101,61
H1A,session_level_clear_state,TWO_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_ALIGNED,NEGATIVE_REPLICATING,2026Q3,133,128,61,67,5,0,47.65625,1.616794604090729,1.4461701695795512,1.0591756850103666,1.1634426689094453,79,36
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,2025Q2,61,60,27,33,0,1,45.0,0.9711098136257792,1.3180831332091019,0.7091493774876327,0.8835154615205827,53,18
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,2025Q3,161,159,80,79,0,2,50.314465408805034,1.3188273963864543,1.2236696256424033,0.8653974171215627,0.7811359322528995,83,59
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,2025Q4,179,175,87,88,1,3,49.714285714285715,1.2094642233113777,1.4497820398794972,0.8785654110001252,0.9702254694005809,81,55
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,2026Q1,137,132,65,67,4,1,49.24242424242424,1.8355254300915589,1.4925434918474438,1.4282956958116095,1.1845426888471826,78,46
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,2026Q2,153,149,72,77,3,1,48.32214765100671,1.7264129596074844,1.5834763735284683,1.1899515204936075,1.025298554368327,86,52
H1A,session_level_clear_state,ONE_OF_3_CLEARED,market_prior_5d_consensus,CONSENSUS_OPPOSING,NEGATIVE_REPLICATING,2026Q3,67,66,33,33,1,0,50.0,1.902695098324478,1.9682487265542716,1.1287187920466368,1.210038693670196,50,32
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2025Q2,39,38,26,12,0,1,68.42105263157895,1.6922186277985656,1.1731179895221666,1.1611798583547412,0.885653063212235,34,14
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2025Q3,121,118,54,64,3,0,45.76271186440678,1.1019920122139915,1.465166289278343,0.8065871282137405,1.1576248381610017,75,42
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2025Q4,119,115,70,45,2,2,60.869565217391305,1.4194802168141367,1.50881585490138,1.081556737730494,0.9838722749007293,73,37
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2026Q1,135,132,79,53,1,2,59.84848484848485,1.835235557546772,1.265918337916128,1.3995075806660597,0.9400393010781145,75,33
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2026Q2,125,121,67,54,4,0,55.37190082644628,1.914482251528877,1.3839051179436088,1.675311620426214,0.9978081939825124,69,36
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2026Q3,63,63,39,24,0,0,61.904761904761905,1.8932691480161832,2.3683340841452245,1.246836036373859,1.2293942034897727,50,23
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2025Q2,54,54,24,30,0,0,44.44444444444444,1.0813466778426282,1.18794935153884,0.6969644301820812,0.8360669055652401,41,16
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2025Q3,135,130,55,75,0,5,42.30769230769231,0.9838939613242844,1.1519889212537135,0.7520430502866119,0.8287495416208255,78,42
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2025Q4,213,203,98,105,0,10,48.275862068965516,1.5177305515501862,1.155313017024721,1.0044313146233272,0.7893586173566728,99,49
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2026Q1,167,163,79,84,4,0,48.466257668711656,1.282757213900118,1.556277781329785,0.9609364366407982,1.2539012444675084,90,34
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2026Q2,188,183,83,100,2,3,45.3551912568306,1.6604201336849038,1.9010830243960692,0.9591684656169155,1.284334394690692,90,44
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2026Q3,131,124,51,73,2,5,41.12903225806452,1.6453871951762427,1.3742953736809416,1.04621213733796,0.95416734627304,69,26
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,2025Q2,9,9,2,7,0,0,22.22222222222222,1.044349644103679,1.308716660467484,0.4664800746368044,1.1480362537764344,9,1
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,2025Q3,41,40,17,23,0,1,42.5,0.8943417955901898,1.5198485030706144,0.8602150537634307,0.9355222512197398,36,12
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,2025Q4,41,41,23,18,0,0,56.09756097560975,1.7436986924978564,1.6792656601909253,1.1400817995909969,0.9918200408997944,32,11
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,2026Q1,45,44,22,22,1,0,50.0,1.356809820043438,1.5074906018505145,1.1067755552009741,1.0762751520823548,39,16
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,2026Q2,66,65,35,30,1,0,53.84615384615385,1.8512840137220676,1.2417052281391479,1.0749000063075118,0.8248743217984504,51,15
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,MAJORITY_ALIGNED,NEGATIVE_REPLICATING,2026Q3,64,63,27,36,1,0,42.857142857142854,1.5952042490873333,1.5651195123033024,1.3019188912578528,1.1495725006589979,46,15
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,2025Q2,2,2,1,1,0,0,50.0,2.059173835263144,0.48801621807429924,2.059173835263144,0.48801621807429924,2,1
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,2025Q3,38,34,13,21,3,1,38.23529411764706,1.2594176032859639,1.4474212993089668,1.1447863708639767,1.1976085754455457,32,11
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,2025Q4,42,41,26,15,0,1,63.41463414634146,1.3814524776281185,1.5107087039379334,1.0187868229935173,1.0722493754555589,35,11
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,2026Q1,66,66,42,24,0,0,63.63636363636363,2.341188629090348,1.1315415979956005,1.7162095480294919,0.7012963090503834,50,17
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,2026Q2,41,41,23,18,0,0,56.09756097560975,1.5880735626626394,1.5338673275920724,1.1529592621060691,1.1529717440727523,34,12
H1B,session_level_clear_state,ALL_3_CLEARED,market_3idx_prior_5d_state,MAJORITY_OPPOSING,POSITIVE_REPLICATING,2026Q3,37,37,21,16,0,0,56.75675675675676,1.7548195162168974,1.365365617520164,1.3935867947503657,1.2397225077081184,34,14
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2025Q2,55,54,31,23,0,1,57.407407407407405,1.1654658760087242,1.103284339036755,0.8954347506972709,0.7253232418795309,41,16
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2025Q3,196,194,84,110,1,1,43.29896907216495,1.1333623040409362,1.162693565911239,0.8365194532894342,0.8358435142690812,85,49
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2025Q4,183,180,87,93,0,3,48.333333333333336,1.223639028562048,1.285016471987633,0.8281155322157214,0.9366201229673019,91,43
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2026Q1,148,146,68,78,2,0,46.57534246575342,1.3734360207099376,1.524948912790227,1.056001828767683,1.1150545569129033,88,35
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2026Q2,178,177,75,102,0,1,42.3728813559322,1.8173825729893138,1.5269432850808369,1.1318327451859593,1.166846753283296,94,47
H1B,session_level_clear_state,TWO_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_ALIGNED,NEGATIVE_REPLICATING,2026Q3,98,93,39,54,5,0,41.935483870967744,1.3976450059499634,1.5160617710426831,0.7681706535707714,1.2003230927629824,69,26
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,2025Q2,59,58,25,33,0,1,43.10344827586207,0.9515968918661917,1.301903290743217,0.7081723850640024,0.8423586040914595,52,17
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,2025Q3,121,120,62,58,0,1,51.666666666666664,1.371687944097818,1.213308433772792,0.8653974171215627,0.7704918032786867,75,46
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,2025Q4,160,156,75,81,1,3,48.07692307692308,1.1492145637669733,1.4233013297041668,0.8668751807766508,0.924575864279245,74,49
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,2026Q1,116,111,52,59,4,1,46.846846846846844,1.7621194142399623,1.4930889537775556,1.2559053257749406,1.207747148701051,70,36
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,2026Q2,120,117,60,57,2,1,51.282051282051285,1.5722974247021104,1.4549053038688016,1.103453037494084,0.9734237586468986,79,41
H1B,session_level_clear_state,ONE_OF_3_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,NEGATIVE_REPLICATING,2026Q3,46,45,20,25,1,0,44.44444444444444,1.5803581650761755,2.028312733044579,1.0625297686003825,1.2366451138977574,38,23
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2025Q2,90,86,42,44,0,4,48.83720930232558,0.8993604292781386,1.146997674294213,0.7378351774044845,0.9613804604690639,56,17
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2025Q3,181,177,79,98,0,4,44.632768361581924,1.0566714698202075,1.1638764015187313,0.8235587721487473,0.8654173764906373,90,43
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2025Q4,209,202,118,84,1,6,58.415841584158414,1.4156457750728721,1.2223501369170024,0.9673518742442528,0.7060108437024621,89,49
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2026Q1,164,162,89,73,1,1,54.93827160493827,1.7624791888908067,1.432843016699395,1.2795864375399097,1.0779223353000595,79,33
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2026Q2,195,189,94,95,2,4,49.735449735449734,1.694188880849269,1.788707602505945,1.2568923593273795,1.3675351998705274,86,46
H1B,session_level_clear_state,NONE_CLEARED,market_3idx_prior_5d_state,ALL_3_OPPOSING,POSITIVE_REPLICATING,2026Q3,142,139,74,65,0,3,53.23741007194245,1.6477741185889985,1.2518530821909821,1.2242370071397648,0.9118922955852115,81,23
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2025Q2,24,24,13,11,0,0,54.166666666666664,1.5864943611031679,1.3145081723246927,1.3284069794409437,0.959915156202642,21,11
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2025Q3,120,116,57,59,4,0,49.13793103448276,1.175695287381463,1.3178855927730315,0.8798104525175782,1.010190487008004,70,50
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2025Q4,84,81,52,29,1,2,64.19753086419753,1.3730714300475408,1.4511612824035676,1.113473693045178,1.007221775323842,53,46
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2026Q1,96,95,53,42,0,1,55.78947368421053,1.857118961726239,1.2479375902700571,1.4294279459251076,0.8453470107186053,64,44
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2026Q2,110,107,53,54,3,0,49.532710280373834,1.6456084867270524,1.3896870823397827,1.2287559124646323,0.9479935881520184,69,42
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2026Q3,56,55,29,26,1,0,52.72727272727273,1.7861534737116291,1.4424355371332278,1.1690610486993331,1.0023560759502015,44,25
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2025Q2,47,47,21,26,0,0,44.680851063829785,1.0521410406289484,1.2113769357370048,0.8652606181621466,1.0810266733769518,37,15
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2025Q3,118,116,50,66,1,1,43.10344827586207,1.2573953922899062,1.1714171011318084,0.8281850958827814,0.998210803875562,68,53
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2025Q4,175,172,84,88,0,3,48.83720930232558,1.2346346956195144,1.4080064900546034,0.8836003770028276,0.9760959094839711,83,58
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2026Q1,136,135,61,74,1,0,45.18518518518518,1.50868223145951,1.5671418381759585,1.056342112089677,1.133661948614718,79,53
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2026Q2,117,115,67,48,1,1,58.26086956521739,2.196569018896182,1.5617157870999496,1.205913934087723,1.0066793893129837,72,54
H2A,session_level_clear_state,TWO_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2026Q3,86,81,31,50,5,0,38.27160493827161,1.4680130291231033,1.7484024463607934,1.0562912740771861,1.3034583628937884,61,34
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2025Q2,32,32,18,14,0,0,56.25,1.0909154963207353,1.1288750685048512,0.6931769224544118,0.8034901442718123,28,14
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2025Q3,146,142,58,84,0,4,40.84507042253521,0.8936188208297298,1.3227721561431607,0.7387809260815131,0.9374033373915798,79,56
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2025Q4,198,194,97,97,0,4,50.0,1.4705051540159428,1.245316718677195,1.0187551271148787,0.8043050405633965,90,57
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2026Q1,133,131,62,69,2,0,47.32824427480916,1.3895862475547813,1.649974717772818,0.9623938536190842,1.191765980498386,80,48
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2026Q2,147,141,61,80,2,4,43.262411347517734,1.6995316620045557,2.0010822066083698,1.2132420577669762,1.270417422867519,78,54
H2A,session_level_clear_state,NONE_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,NEGATIVE_REPLICATING,2026Q3,133,128,58,70,2,3,45.3125,1.5639345048285596,1.2863212651079596,1.2186335014567349,1.0121923165401505,63,39
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2025Q2,40,40,17,23,0,0,42.5,1.116537522462171,1.205336516168882,0.8878108084415239,0.8138236203515365,37,16
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2025Q3,122,117,68,49,0,5,58.11965811965812,1.3121276994724316,1.1052198470313137,0.947809289934316,0.8015156785447481,66,58
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2025Q4,123,118,63,55,0,5,53.389830508474574,1.4057340191397696,1.3301593328118815,1.009432922316179,0.9272401433691667,72,57
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2026Q1,110,107,61,46,3,0,57.00934579439252,1.779852284563766,1.3527799429424272,1.4685271424630577,1.1009693855934646,66,47
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2026Q2,122,120,57,63,2,0,47.5,1.5262628422632833,1.5770025964370118,1.1879318508259566,1.05460984273809,73,51
H2A,session_level_clear_state,ONE_OF_3_CLEARED,relative_multi_horizon_state,RELATIVE_OPPOSING,POSITIVE_REPLICATING,2026Q3,59,56,31,25,2,1,55.357142857142854,1.8662907684474819,1.9350763117694922,1.1710333198013927,1.1330886096299766,45,31
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,2025Q2,41,40,25,15,0,1,62.5,1.7005153808351434,1.0158006521785508,1.1486894106349237,0.885653063212235,36,17
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,2025Q3,133,131,62,69,1,1,47.32824427480916,1.2052132224542944,1.4247395884367378,0.8859891853468945,0.9856649576226926,70,57
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,2025Q4,128,125,67,58,1,2,53.6,1.3647895529639686,1.1634010996686825,1.0835477972016205,0.7771783774082341,71,44
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,2026Q1,191,189,109,80,1,1,57.67195767195767,1.8784891070908112,1.4810885759708536,1.2738308968111438,1.1007295533085877,92,51
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,2026Q2,150,147,87,60,3,0,59.183673469387756,1.9028103389528723,1.607215700097419,1.4186142166825206,1.1562254977483373,82,54
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,RELATIVE_ALIGNED,POSITIVE_REPLICATING,2026Q3,91,89,36,53,2,0,40.449438202247194,1.518059949426423,2.1455351119991417,1.2235126417456184,1.5782397352363184,62,35
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,2025Q2,50,50,30,20,0,0,60.0,1.4100925952985717,1.2446059543856403,1.1946054207278878,0.8866675746849424,36,18
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,2025Q3,127,123,54,69,2,2,43.90243902439025,1.1192051101370784,1.58761119622777,0.9213767573526386,1.2494136896645707,69,54
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,2025Q4,124,122,72,50,0,2,59.01639344262295,1.709262030410179,1.3263961267473074,1.1313214867539982,0.9341653767422247,75,50
H2A,session_level_clear_state,ALL_3_CLEARED,relative_multi_horizon_state,MIXED,POSITIVE_REPLICATING,2026Q1,124,122,73,49,2,0,59.83606557377049,1.7363703643682085,1.5075946356455656,1.4118040329342219,1.147300311377784,74,50
