source_label,source,column,dtype
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,hist_c1_volume_median_60d_prior,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,hist_c2_volume_median_20d_prior,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,hist_c2_volume_median_60d_prior,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_volume_median_20d_prior,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_volume_median_60d_prior,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_vs_c1_volume_state,str
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_vs_c1_volume_ratio_discovery_state,str
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_vs_c1_volume_ratio_winsor,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pmh,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pml,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pre_last_close,float64
ENRICHED AE2 EVENTS,data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pre_bar_n,float64
