candidate,period_or_quarter,split_type,split_value,candidate_n,candidate_ff_pct,baseline_n,baseline_ff_pct,lift_pp
A38_P_PM_REMAINS,DISCOVERY,POOLED,ALL,61,60.65573770491803,364,56.043956043956044,4.611781660961988
A38_P_PM_REMAINS,DISCOVERY,DIRECTION,BEAR,37,59.45945945945946,221,53.39366515837104,6.065794301088417
A38_P_PM_REMAINS,DISCOVERY,DIRECTION,BULL,24,62.5,143,60.13986013986014,2.36013986013986
A38_P_PM_REMAINS,VALIDATION,POOLED,ALL,68,63.23529411764706,389,57.840616966580974,5.394677151066084
A38_P_PM_REMAINS,VALIDATION,DIRECTION,BEAR,47,63.829787234042556,220,55.45454545454545,8.375241779497102
A38_P_PM_REMAINS,VALIDATION,DIRECTION,BULL,21,61.904761904761905,169,60.946745562130175,0.9580163426317299
A38_N_PD_REMAINS,DISCOVERY,POOLED,ALL,59,49.152542372881356,364,56.043956043956044,-6.891413671074687
A38_N_PD_REMAINS,DISCOVERY,DIRECTION,BEAR,42,50.0,221,53.39366515837104,-3.393665158371043
A38_N_PD_REMAINS,DISCOVERY,DIRECTION,BULL,17,47.05882352941177,143,60.13986013986014,-13.081036610448372
A38_N_PD_REMAINS,VALIDATION,POOLED,ALL,43,51.16279069767442,389,57.840616966580974,-6.677826268906557
A38_N_PD_REMAINS,VALIDATION,DIRECTION,BEAR,18,44.44444444444444,220,55.45454545454545,-11.01010101010101
A38_N_PD_REMAINS,VALIDATION,DIRECTION,BULL,25,56.0,169,60.946745562130175,-4.946745562130175
A38_N_HEAVY_BURDEN,DISCOVERY,POOLED,ALL,14,42.857142857142854,364,56.043956043956044,-13.18681318681319
A38_N_HEAVY_BURDEN,DISCOVERY,DIRECTION,BEAR,9,33.333333333333336,221,53.39366515837104,-20.060331825037707
A38_N_HEAVY_BURDEN,DISCOVERY,DIRECTION,BULL,5,60.0,143,60.13986013986014,-0.13986013986014
A38_N_HEAVY_BURDEN,VALIDATION,POOLED,ALL,15,46.666666666666664,389,57.840616966580974,-11.17395029991431
A38_N_HEAVY_BURDEN,VALIDATION,DIRECTION,BEAR,11,45.45454545454545,220,55.45454545454545,-10.0
A38_N_HEAVY_BURDEN,VALIDATION,DIRECTION,BULL,4,50.0,169,60.946745562130175,-10.946745562130175
A38_P_PM_REMAINS,2025Q2,QUARTER,2025Q2,8,75.0,40,67.5,7.5
A38_P_PM_REMAINS,2025Q3,QUARTER,2025Q3,22,45.45454545454545,152,44.078947368421055,1.3755980861243984
A38_P_PM_REMAINS,2025Q4,QUARTER,2025Q4,28,64.28571428571429,137,62.043795620437955,2.241918665276337
A38_P_PM_REMAINS,2026Q1,QUARTER,2026Q1,26,57.69230769230769,175,61.142857142857146,-3.4505494505494525
A38_P_PM_REMAINS,2026Q2,QUARTER,2026Q2,30,73.33333333333333,160,56.25,17.08333333333333
A38_P_PM_REMAINS,2026Q3,QUARTER,2026Q3,15,60.0,89,59.550561797752806,0.4494382022471939
A38_N_PD_REMAINS,2025Q2,QUARTER,2025Q2,10,70.0,40,67.5,2.5
A38_N_PD_REMAINS,2025Q3,QUARTER,2025Q3,29,37.93103448275862,152,44.078947368421055,-6.147912885662436
A38_N_PD_REMAINS,2025Q4,QUARTER,2025Q4,12,41.666666666666664,137,62.043795620437955,-20.37712895377129
A38_N_PD_REMAINS,2026Q1,QUARTER,2026Q1,26,65.38461538461539,175,61.142857142857146,4.241758241758241
A38_N_PD_REMAINS,2026Q2,QUARTER,2026Q2,19,47.36842105263158,160,56.25,-8.881578947368418
A38_N_HEAVY_BURDEN,2025Q3,QUARTER,2025Q3,8,37.5,152,44.078947368421055,-6.578947368421055
