quarter,remaining_level_for_c2,binary_n,favorable_n,adverse_n,ff_pct
2025Q2,PD,10,7,3,70.0
2025Q2,PM,8,6,2,75.0
2025Q3,AH,4,1,3,25.0
2025Q3,PD,29,11,18,37.93103448275862
2025Q3,PM,22,10,12,45.45454545454545
2025Q4,PD,12,5,7,41.666666666666664
2025Q4,PM,28,18,10,64.28571428571429
2026Q1,PD,26,17,9,65.38461538461539
2026Q1,PM,26,15,11,57.69230769230769
2026Q2,AH,2,2,0,100.0
2026Q2,PD,19,9,10,47.36842105263158
2026Q2,PM,30,22,8,73.33333333333333
2026Q3,PD,6,2,4,33.333333333333336
2026Q3,PM,15,9,6,60.0
