research_period,market_state,stock_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,market_feature,stock_feature
DISCOVERY,ALIGNED,MULTIPLE,525,518,241,277,0,7,46.52509652509652,224,42.666666666666664,1.592720233455163,1.4881960795316986,1.0474090407938264,1.0810266733769518,100,119,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,ALIGNED,NONE,820,791,427,364,0,29,53.982300884955755,375,45.73170731707317,1.1073549052671456,1.0216112960691695,0.8401160414090304,0.7172938935818041,111,122,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,ALIGNED,ONE,291,289,140,149,0,2,48.44290657439446,131,45.017182130584196,1.2792354482181092,1.2263036439871884,0.8985441310281984,0.9039110190755153,105,108,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,MIXED,MULTIPLE,96,96,46,50,0,0,47.916666666666664,43,44.791666666666664,1.8162288709174514,1.567772846258083,1.4307485076163275,1.0107079436849387,57,17,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,MIXED,NONE,274,269,144,125,3,2,53.531598513011154,120,43.7956204379562,1.3536570099781846,1.2214650173839507,0.9649777485065743,0.9559787192018697,102,17,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,MIXED,ONE,79,78,37,41,1,0,47.43589743589744,31,39.24050632911393,1.444799808157618,1.5726706152772751,0.9495517479178782,1.0818752307124524,53,17,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,OPPOSING,MULTIPLE,235,230,107,123,1,4,46.52173913043478,105,44.680851063829785,1.3265979897868783,1.3980863055730501,1.007350939286688,1.0851590396434656,89,103,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,OPPOSING,NONE,1164,1131,592,539,7,26,52.343059239610966,561,48.1958762886598,1.2674355624262563,1.177879367425047,0.8922543626961732,0.8137782106109965,112,124,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,OPPOSING,ONE,271,267,129,138,2,2,48.31460674157304,121,44.64944649446495,1.2912987561965508,1.473400783444354,0.9040677169057033,1.0527754990429323,94,106,market_daily_regime_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,MULTIPLE,65,65,33,32,0,0,50.76923076923077,33,50.76923076923077,1.696498466966523,1.4028496911981743,1.2900071599291743,0.936511797616147,44,14,market_daily_regime_state,aligned_exhaustion_state
