family,feature,state,discovery_n,discovery_ff_pct,validation_n,validation_ff_pct,absolute_rate_change_pp,discovery_lift_vs_baseline_pp,validation_lift_vs_baseline_pp,same_lift_direction,replicated_positive_3pp,replicated_negative_3pp
DISCOVERY_QUINTILE,c2_beyond_pm_pct,Q2,73,61.64383561643836,50,68.0,6.356164383561641,5.599879572482315,10.159383033419019,True,True,False
DISCOVERY_QUINTILE,mean_pairwise_spacing_pct,Q2,73,60.273972602739725,68,67.6470588235294,7.373086220789681,4.2300165587836815,9.806441856948425,True,True,False
DISCOVERY_QUINTILE,level_cluster_span_pct_calc,Q2,73,61.64383561643836,68,66.17647058823529,4.532634971796931,5.599879572482315,8.335853621654309,True,True,False
LEVEL_ORDER,directional_level_order_inner_to_outer,PD>AH>PM,47,63.829787234042556,62,64.51612903225806,0.6863417982155084,7.785831190086512,6.675512065677083,True,True,False
DISCOVERY_QUINTILE,c2_beyond_ah_pct,Q2,73,60.273972602739725,47,61.702127659574465,1.4281550568347399,4.2300165587836815,3.861510692993484,True,True,False
DISCOVERY_QUINTILE,c2_beyond_outermost_pct,Q3,72,62.5,60,61.666666666666664,0.8333333333333357,6.456043956043956,3.826049700085683,True,True,False
DISCOVERY_QUINTILE,c2_beyond_outermost_pct,Q4,73,50.68493150684932,77,50.64935064935065,0.03558085749866535,-5.359024537106727,-7.19126631723033,True,False,True
DISCOVERY_QUINTILE,pm_pd_spacing_pct,Q4,73,49.31506849315068,85,50.588235294117645,1.2731668009669619,-6.728887550805361,-7.252381672463336,True,False,True
DISCOVERY_QUINTILE,c2_beyond_outermost_pct,Q2,73,57.534246575342465,84,61.904761904761905,4.37051532941944,1.490290531386421,4.064144938180924,True,False,False
DISCOVERY_QUINTILE,closest_pair_spacing_pct,Q5,73,60.273972602739725,105,59.04761904761905,1.2263535551206743,4.2300165587836815,1.2070020810380697,True,False,False
DISCOVERY_QUINTILE,ah_pd_spacing_pct,Q1,73,56.16438356164384,70,58.57142857142857,2.4070450097847313,0.12042751768779425,0.7308116048475881,True,False,False
DISCOVERY_QUINTILE,c2_beyond_outermost_pct,Q5,73,58.9041095890411,114,57.89473684210526,1.0093727469358384,2.860153545085055,0.05411987552427888,True,False,False
DISCOVERY_QUINTILE,closest_pair_spacing_pct,Q1,73,58.9041095890411,57,57.89473684210526,1.0093727469358384,2.860153545085055,0.05411987552427888,True,False,False
DISCOVERY_QUINTILE,c2_beyond_outermost_pct,Q1,73,50.68493150684932,54,57.407407407407405,6.722475900558088,-5.359024537106727,-0.4332095591735765,True,False,False
DISCOVERY_QUINTILE,pm_ah_spacing_pct,Q5,73,52.054794520547944,102,56.86274509803921,4.807950577491269,-3.9891615234081,-0.9778718685417687,True,False,False
DISCOVERY_QUINTILE,c2_beyond_pm_pct,Q5,73,52.054794520547944,88,56.81818181818182,4.7633872976338765,-3.9891615234081,-1.0224351483991612,True,False,False
DISCOVERY_QUINTILE,c2_beyond_ah_pct,Q5,73,54.794520547945204,108,56.48148148148148,1.6869609335362767,-1.2494354960108396,-1.3591354850995003,True,False,False
DISCOVERY_QUINTILE,mean_pairwise_spacing_pct,Q4,73,50.68493150684932,96,56.25,5.565068493150683,-5.359024537106727,-1.5906169665809813,True,False,False
LEVEL_ORDER,directional_level_order_inner_to_outer,AH>PM>PD,109,51.37614678899082,93,55.913978494623656,4.537831705632833,-4.667809254965221,-1.9266384719573253,True,False,False
DISCOVERY_QUINTILE,level_cluster_span_pct_calc,Q4,73,52.054794520547944,94,55.319148936170215,3.2643544156222717,-3.9891615234081,-2.521468030410766,True,False,False
CLOSEST_PAIR,closest_pair,PM_PD,141,56.02836879432624,148,54.054054054054056,1.9743147402721846,-0.015587249629803068,-3.786562912526925,True,False,False
DISCOVERY_QUINTILE,pm_pd_spacing_pct,Q3,72,55.55555555555556,76,69.73684210526316,14.181286549707607,-0.48840048840048667,11.896225138682183,False,False,False
CLOSEST_PAIR,closest_pair,PM_AH,83,50.602409638554214,71,66.19718309859155,15.594773460037338,-5.44154640540183,8.35656613201057,False,False,False
DISCOVERY_QUINTILE,pm_ah_spacing_pct,Q2,73,50.68493150684932,50,66.0,15.315068493150683,-5.359024537106727,8.159383033419019,False,False,False
DISCOVERY_QUINTILE,c2_beyond_ah_pct,Q1,73,53.42465753424658,47,65.95744680851064,12.532789274264061,-2.6192985097094663,8.116829841929658,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pd_pct,Q2,73,52.054794520547944,58,63.793103448275865,11.738308927727921,-3.9891615234081,5.9524864816948835,False,False,False
DISCOVERY_QUINTILE,ah_pd_spacing_pct,Q5,73,54.794520547945204,98,63.265306122448976,8.470785574503772,-1.2494354960108396,5.424689155867995,False,False,False
DISCOVERY_QUINTILE,closest_pair_spacing_pct,Q4,73,43.83561643835616,69,62.31884057971015,18.483224141353986,-12.208339605599882,4.478223613129167,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pm_pct,Q4,73,53.42465753424658,82,62.19512195121951,8.770464416972935,-2.6192985097094663,4.354504984638531,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pd_pct,Q1,73,50.68493150684932,65,61.53846153846154,10.853530031612223,-5.359024537106727,3.697844571880559,False,False,False
DISCOVERY_QUINTILE,level_cluster_span_pct_calc,Q5,73,53.42465753424658,104,61.53846153846154,8.113804004214963,-2.6192985097094663,3.697844571880559,False,False,False
LEVEL_ORDER,directional_level_order_inner_to_outer,PM>AH>PD,41,48.78048780487805,26,61.53846153846154,12.75797373358349,-7.263468239077994,3.697844571880559,False,False,False
DISCOVERY_QUINTILE,level_cluster_span_pct_calc,Q1,73,54.794520547945204,41,60.97560975609756,6.181089208152358,-1.2494354960108396,3.1349927895165806,False,False,False
DISCOVERY_QUINTILE,mean_pairwise_spacing_pct,Q1,73,54.794520547945204,41,60.97560975609756,6.181089208152358,-1.2494354960108396,3.1349927895165806,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pd_pct,Q5,73,52.054794520547944,110,60.90909090909091,8.854296388542963,-3.9891615234081,3.0684739425099252,False,False,False
DISCOVERY_QUINTILE,mean_pairwise_spacing_pct,Q5,73,54.794520547945204,104,60.57692307692308,5.782402528977876,-1.2494354960108396,2.736306110342099,False,False,False
DISCOVERY_QUINTILE,pm_pd_spacing_pct,Q5,73,52.054794520547944,101,60.396039603960396,8.341245083412453,-3.9891615234081,2.555422637379415,False,False,False
DISCOVERY_QUINTILE,pm_ah_spacing_pct,Q1,73,53.42465753424658,55,60.0,6.5753424657534225,-2.6192985097094663,2.1593830334190187,False,False,False
OUTERMOST_LEVEL,outermost_level,PD,140,50.714285714285715,115,58.26086956521739,7.546583850931675,-5.3296703296703285,0.4202525986364094,False,False,False
DISCOVERY_QUINTILE,c2_beyond_ah_pct,Q4,73,54.794520547945204,91,58.24175824175824,3.4472376938130367,-1.2494354960108396,0.4011412751772596,False,False,False
CLOSEST_PAIR,closest_pair,AH_PD,140,59.285714285714285,170,57.64705882352941,1.6386554621848717,3.241758241758241,-0.19355814305156827,False,False,False
DISCOVERY_QUINTILE,closest_pair_spacing_pct,Q3,72,59.72222222222222,84,57.142857142857146,2.5793650793650755,3.6782661782661776,-0.6977598237238354,False,False,False
OUTERMOST_LEVEL,outermost_level,PM,202,61.386138613861384,263,57.034220532319395,4.351918081541989,5.34218256990534,-0.8063964342615861,False,False,False
DISCOVERY_QUINTILE,ah_pd_spacing_pct,Q3,72,56.94444444444444,53,56.60377358490566,0.3406708595387826,0.9004884004883991,-1.236843381675321,False,False,False
DISCOVERY_QUINTILE,pm_ah_spacing_pct,Q3,72,65.27777777777777,77,55.84415584415584,9.433621933621929,9.233821733821728,-1.9964611224251385,False,False,False
DISCOVERY_QUINTILE,ah_pd_spacing_pct,Q2,73,56.16438356164384,74,55.4054054054054,0.7589781562384346,0.12042751768779425,-2.435211561175578,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pm_pct,Q1,73,56.16438356164384,65,55.38461538461539,0.7797681770284512,0.12042751768779425,-2.4560015819655945,False,False,False
DISCOVERY_QUINTILE,pm_ah_spacing_pct,Q4,73,58.9041095890411,105,55.23809523809524,3.666014350945858,2.860153545085055,-2.6025217284857405,False,False,False
LEVEL_ORDER,directional_level_order_inner_to_outer,AH>PD>PM,146,60.95890410958904,195,54.87179487179487,6.087109237794174,4.9149480656329985,-2.9688220947861126,False,False,False
DISCOVERY_QUINTILE,pm_pd_spacing_pct,Q2,73,63.013698630136986,68,54.411764705882355,8.60193392425463,6.969742586180942,-3.4288522606986263,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pd_pct,Q4,73,60.273972602739725,103,54.36893203883495,5.905040563904777,4.2300165587836815,-3.4716849277460327,False,False,False
DISCOVERY_QUINTILE,ah_pd_spacing_pct,Q4,73,56.16438356164384,94,54.255319148936174,1.9090644127076644,0.12042751768779425,-3.5852978176448076,False,False,False
DISCOVERY_QUINTILE,c2_beyond_ah_pct,Q3,72,56.94444444444444,96,53.125,3.819444444444443,0.9004884004883991,-4.715616966580981,False,False,False
DISCOVERY_QUINTILE,closest_pair_spacing_pct,Q2,73,57.534246575342465,74,52.7027027027027,4.831543872639763,1.490290531386421,-5.1379142638782795,False,False,False
DISCOVERY_QUINTILE,pm_pd_spacing_pct,Q1,73,60.273972602739725,59,52.54237288135593,7.731599721383795,4.2300165587836815,-5.2982440852250505,False,False,False
DISCOVERY_QUINTILE,c2_beyond_pm_pct,Q3,72,56.94444444444444,104,51.92307692307692,5.021367521367523,0.9004884004883991,-5.9175400435040615,False,False,False
