research_period,candidate_a,candidate_b,cell,binary_n,favorable_n,ff_pct,period_baseline_ff_pct,lift_vs_period_baseline_pp
DISCOVERY,N_OUTER_PEN_Q4,P_CLUSTER_Q2,B_ONLY,60,38,63.333333333333336,56.043956043956044,7.289377289377292
DISCOVERY,N_OUTER_PEN_Q4,P_CLUSTER_Q2,BOTH,13,7,53.84615384615385,56.043956043956044,-2.197802197802197
DISCOVERY,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,NEITHER,250,140,56.0,56.043956043956044,-0.0439560439560438
DISCOVERY,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,A_ONLY,67,34,50.74626865671642,56.043956043956044,-5.297687387239627
DISCOVERY,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,B_ONLY,41,27,65.85365853658537,56.043956043956044,9.809702492629327
DISCOVERY,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,BOTH,6,3,50.0,56.043956043956044,-6.043956043956044
DISCOVERY,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,NEITHER,290,159,54.827586206896555,56.043956043956044,-1.2163698370594886
DISCOVERY,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,A_ONLY,1,0,0.0,56.043956043956044,-56.043956043956044
DISCOVERY,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,B_ONLY,1,1,100.0,56.043956043956044,43.956043956043956
DISCOVERY,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,BOTH,72,44,61.111111111111114,56.043956043956044,5.0671550671550705
DISCOVERY,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,NEITHER,250,135,54.0,56.043956043956044,-2.043956043956044
DISCOVERY,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,A_ONLY,67,39,58.208955223880594,56.043956043956044,2.16499917992455
DISCOVERY,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,B_ONLY,41,25,60.97560975609756,56.043956043956044,4.931653712141518
DISCOVERY,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,BOTH,6,5,83.33333333333333,56.043956043956044,27.289377289377285
DISCOVERY,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,NEITHER,250,134,53.6,56.043956043956044,-2.4439560439560424
DISCOVERY,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,A_ONLY,67,40,59.701492537313435,56.043956043956044,3.657536493357391
DISCOVERY,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,B_ONLY,41,25,60.97560975609756,56.043956043956044,4.931653712141518
DISCOVERY,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,BOTH,6,5,83.33333333333333,56.043956043956044,27.289377289377285
VALIDATION,N_PM_PD_Q4,N_OUTER_PEN_Q4,NEITHER,246,154,62.60162601626016,57.840616966580974,4.761009049679188
VALIDATION,N_PM_PD_Q4,N_OUTER_PEN_Q4,A_ONLY,66,32,48.484848484848484,57.840616966580974,-9.35576848173249
VALIDATION,N_PM_PD_Q4,N_OUTER_PEN_Q4,B_ONLY,58,28,48.275862068965516,57.840616966580974,-9.564754897615458
VALIDATION,N_PM_PD_Q4,N_OUTER_PEN_Q4,BOTH,19,11,57.89473684210526,57.840616966580974,0.05411987552428599
VALIDATION,N_PM_PD_Q4,P_MEAN_SPACE_Q2,NEITHER,238,137,57.563025210084035,57.840616966580974,-0.277591756496939
VALIDATION,N_PM_PD_Q4,P_MEAN_SPACE_Q2,A_ONLY,83,42,50.602409638554214,57.840616966580974,-7.2382073280267605
VALIDATION,N_PM_PD_Q4,P_MEAN_SPACE_Q2,B_ONLY,66,45,68.18181818181819,57.840616966580974,10.341201215237213
VALIDATION,N_PM_PD_Q4,P_MEAN_SPACE_Q2,BOTH,2,1,50.0,57.840616966580974,-7.840616966580974
VALIDATION,N_PM_PD_Q4,P_CLUSTER_Q2,NEITHER,238,138,57.983193277310924,57.840616966580974,0.14257631072995025
VALIDATION,N_PM_PD_Q4,P_CLUSTER_Q2,A_ONLY,83,42,50.602409638554214,57.840616966580974,-7.2382073280267605
VALIDATION,N_PM_PD_Q4,P_CLUSTER_Q2,B_ONLY,66,44,66.66666666666667,57.840616966580974,8.826049700085697
VALIDATION,N_PM_PD_Q4,P_CLUSTER_Q2,BOTH,2,1,50.0,57.840616966580974,-7.840616966580974
VALIDATION,N_PM_PD_Q4,P_ORDER_PD_AH_PM,NEITHER,256,148,57.8125,57.840616966580974,-0.02811696658097418
VALIDATION,N_PM_PD_Q4,P_ORDER_PD_AH_PM,A_ONLY,71,37,52.11267605633803,57.840616966580974,-5.727940910242943
VALIDATION,N_PM_PD_Q4,P_ORDER_PD_AH_PM,B_ONLY,48,34,70.83333333333333,57.840616966580974,12.992716366752354
VALIDATION,N_PM_PD_Q4,P_ORDER_PD_AH_PM,BOTH,14,6,42.857142857142854,57.840616966580974,-14.98347410943812
VALIDATION,N_OUTER_PEN_Q4,P_MEAN_SPACE_Q2,NEITHER,258,149,57.751937984496124,57.840616966580974,-0.08867898208485059
VALIDATION,N_OUTER_PEN_Q4,P_MEAN_SPACE_Q2,A_ONLY,63,30,47.61904761904762,57.840616966580974,-10.221569347533354
VALIDATION,N_OUTER_PEN_Q4,P_MEAN_SPACE_Q2,B_ONLY,54,37,68.51851851851852,57.840616966580974,10.677901551937545
VALIDATION,N_OUTER_PEN_Q4,P_MEAN_SPACE_Q2,BOTH,14,9,64.28571428571429,57.840616966580974,6.445097319133318
VALIDATION,N_OUTER_PEN_Q4,P_CLUSTER_Q2,NEITHER,258,150,58.13953488372093,57.840616966580974,0.29891791713995275
VALIDATION,N_OUTER_PEN_Q4,P_CLUSTER_Q2,A_ONLY,63,30,47.61904761904762,57.840616966580974,-10.221569347533354
VALIDATION,N_OUTER_PEN_Q4,P_CLUSTER_Q2,B_ONLY,54,36,66.66666666666667,57.840616966580974,8.826049700085697
VALIDATION,N_OUTER_PEN_Q4,P_CLUSTER_Q2,BOTH,14,9,64.28571428571429,57.840616966580974,6.445097319133318
VALIDATION,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,NEITHER,260,153,58.84615384615385,57.840616966580974,1.0055368795728725
VALIDATION,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,A_ONLY,67,32,47.76119402985075,57.840616966580974,-10.079422936730225
VALIDATION,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,B_ONLY,52,33,63.46153846153846,57.840616966580974,5.620921494957486
VALIDATION,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,BOTH,10,7,70.0,57.840616966580974,12.159383033419026
VALIDATION,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,NEITHER,320,179,55.9375,57.840616966580974,-1.9031169665809742
VALIDATION,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,A_ONLY,1,1,100.0,57.840616966580974,42.159383033419026
