research_period,target_candidate,condition_candidate,condition_state,conditional_baseline_n,conditional_baseline_ff_pct,target_n,target_ff_pct,incremental_lift_pp
DISCOVERY,N_OUTER_PEN_Q4,P_ORDER_PD_AH_PM,CONDITION_PRESENT,47,63.829787234042556,6,50.0,-13.829787234042556
DISCOVERY,P_MEAN_SPACE_Q2,N_PM_PD_Q4,CONDITION_ABSENT,291,57.7319587628866,68,63.23529411764706,5.503335354760459
DISCOVERY,P_MEAN_SPACE_Q2,N_PM_PD_Q4,CONDITION_PRESENT,73,49.31506849315068,5,20.0,-29.315068493150683
DISCOVERY,P_MEAN_SPACE_Q2,N_OUTER_PEN_Q4,CONDITION_ABSENT,291,57.38831615120275,60,61.666666666666664,4.278350515463913
DISCOVERY,P_MEAN_SPACE_Q2,N_OUTER_PEN_Q4,CONDITION_PRESENT,73,50.68493150684932,13,53.84615384615385,3.16122233930453
DISCOVERY,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,CONDITION_ABSENT,291,54.63917525773196,1,0.0,-54.63917525773196
DISCOVERY,P_MEAN_SPACE_Q2,P_CLUSTER_Q2,CONDITION_PRESENT,73,61.64383561643836,72,61.111111111111114,-0.5327245053272449
DISCOVERY,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,CONDITION_ABSENT,317,54.889589905362776,67,58.208955223880594,3.319365318517818
DISCOVERY,P_MEAN_SPACE_Q2,P_ORDER_PD_AH_PM,CONDITION_PRESENT,47,63.829787234042556,6,83.33333333333333,19.503546099290773
DISCOVERY,P_CLUSTER_Q2,N_PM_PD_Q4,CONDITION_ABSENT,291,57.7319587628866,69,63.768115942028984,6.036157179142386
DISCOVERY,P_CLUSTER_Q2,N_PM_PD_Q4,CONDITION_PRESENT,73,49.31506849315068,4,25.0,-24.315068493150683
DISCOVERY,P_CLUSTER_Q2,N_OUTER_PEN_Q4,CONDITION_ABSENT,291,57.38831615120275,60,63.333333333333336,5.945017182130584
DISCOVERY,P_CLUSTER_Q2,N_OUTER_PEN_Q4,CONDITION_PRESENT,73,50.68493150684932,13,53.84615384615385,3.16122233930453
DISCOVERY,P_CLUSTER_Q2,P_MEAN_SPACE_Q2,CONDITION_ABSENT,291,54.982817869415804,1,100.0,45.017182130584196
DISCOVERY,P_CLUSTER_Q2,P_MEAN_SPACE_Q2,CONDITION_PRESENT,73,60.273972602739725,72,61.111111111111114,0.8371385083713889
DISCOVERY,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,CONDITION_ABSENT,317,54.889589905362776,67,59.701492537313435,4.811902631950659
DISCOVERY,P_CLUSTER_Q2,P_ORDER_PD_AH_PM,CONDITION_PRESENT,47,63.829787234042556,6,83.33333333333333,19.503546099290773
DISCOVERY,P_ORDER_PD_AH_PM,N_PM_PD_Q4,CONDITION_ABSENT,291,57.7319587628866,39,61.53846153846154,3.806502775574941
DISCOVERY,P_ORDER_PD_AH_PM,N_PM_PD_Q4,CONDITION_PRESENT,73,49.31506849315068,8,75.0,25.684931506849317
DISCOVERY,P_ORDER_PD_AH_PM,N_OUTER_PEN_Q4,CONDITION_ABSENT,291,57.38831615120275,41,65.85365853658537,8.46534238538262
DISCOVERY,P_ORDER_PD_AH_PM,N_OUTER_PEN_Q4,CONDITION_PRESENT,73,50.68493150684932,6,50.0,-0.6849315068493169
