research_period,direction,directional_level_order_inner_to_outer,binary_n,favorable_n,adverse_n,favorable_first_pct
DISCOVERY,BEAR,AH>PD>PM,81,45,36,55.55555555555556
DISCOVERY,BEAR,AH>PM>PD,66,32,34,48.484848484848484
DISCOVERY,BEAR,PD>AH>PM,25,16,9,64.0
DISCOVERY,BEAR,PD>PM>AH,5,2,3,40.0
DISCOVERY,BEAR,PM>AH>PD,35,18,17,51.42857142857143
DISCOVERY,BEAR,PM>PD>AH,9,5,4,55.55555555555556
DISCOVERY,BULL,AH>PD>PM,65,44,21,67.6923076923077
DISCOVERY,BULL,AH>PM>PD,43,24,19,55.81395348837209
DISCOVERY,BULL,PD>AH>PM,22,14,8,63.63636363636363
DISCOVERY,BULL,PD>PM>AH,4,2,2,50.0
DISCOVERY,BULL,PM>AH>PD,6,2,4,33.333333333333336
DISCOVERY,BULL,PM>PD>AH,3,0,3,0.0
VALIDATION,BEAR,AH>PD>PM,108,58,50,53.7037037037037
VALIDATION,BEAR,AH>PM>PD,48,24,24,50.0
VALIDATION,BEAR,PD>AH>PM,43,28,15,65.11627906976744
VALIDATION,BEAR,PD>PM>AH,3,2,1,66.66666666666667
VALIDATION,BEAR,PM>AH>PD,12,6,6,50.0
VALIDATION,BEAR,PM>PD>AH,6,4,2,66.66666666666667
VALIDATION,BULL,AH>PD>PM,87,49,38,56.32183908045977
VALIDATION,BULL,AH>PM>PD,45,28,17,62.22222222222222
VALIDATION,BULL,PD>AH>PM,19,12,7,63.1578947368421
VALIDATION,BULL,PD>PM>AH,2,2,0,100.0
VALIDATION,BULL,PM>AH>PD,14,10,4,71.42857142857143
VALIDATION,BULL,PM>PD>AH,2,2,0,100.0
