metric,research_period,direction,geometry_quintile,binary_n,favorable_n,adverse_n,favorable_first_pct
pm_ah_spacing_pct,VALIDATION,BULL,Q3,29,16,13,55.172413793103445
pm_ah_spacing_pct,VALIDATION,BULL,Q4,45,29,16,64.44444444444444
pm_ah_spacing_pct,VALIDATION,BULL,Q5,40,22,18,55.0
pm_pd_spacing_pct,DISCOVERY,BEAR,Q1,39,20,19,51.282051282051285
pm_pd_spacing_pct,DISCOVERY,BEAR,Q2,47,29,18,61.702127659574465
pm_pd_spacing_pct,DISCOVERY,BEAR,Q3,42,24,18,57.142857142857146
pm_pd_spacing_pct,DISCOVERY,BEAR,Q4,48,22,26,45.833333333333336
pm_pd_spacing_pct,DISCOVERY,BEAR,Q5,45,23,22,51.111111111111114
pm_pd_spacing_pct,DISCOVERY,BULL,Q1,34,24,10,70.58823529411765
pm_pd_spacing_pct,DISCOVERY,BULL,Q2,26,17,9,65.38461538461539
pm_pd_spacing_pct,DISCOVERY,BULL,Q3,30,16,14,53.333333333333336
pm_pd_spacing_pct,DISCOVERY,BULL,Q4,25,14,11,56.0
pm_pd_spacing_pct,DISCOVERY,BULL,Q5,28,15,13,53.57142857142857
pm_pd_spacing_pct,VALIDATION,BEAR,Q1,29,13,16,44.827586206896555
pm_pd_spacing_pct,VALIDATION,BEAR,Q2,42,22,20,52.38095238095238
pm_pd_spacing_pct,VALIDATION,BEAR,Q3,38,27,11,71.05263157894737
pm_pd_spacing_pct,VALIDATION,BEAR,Q4,48,23,25,47.916666666666664
pm_pd_spacing_pct,VALIDATION,BEAR,Q5,63,37,26,58.73015873015873
pm_pd_spacing_pct,VALIDATION,BULL,Q1,30,18,12,60.0
pm_pd_spacing_pct,VALIDATION,BULL,Q2,26,15,11,57.69230769230769
pm_pd_spacing_pct,VALIDATION,BULL,Q3,38,26,12,68.42105263157895
pm_pd_spacing_pct,VALIDATION,BULL,Q4,37,20,17,54.054054054054056
pm_pd_spacing_pct,VALIDATION,BULL,Q5,38,24,14,63.1578947368421
ah_pd_spacing_pct,DISCOVERY,BEAR,Q1,44,25,19,56.81818181818182
ah_pd_spacing_pct,DISCOVERY,BEAR,Q2,49,23,26,46.93877551020408
ah_pd_spacing_pct,DISCOVERY,BEAR,Q3,42,25,17,59.523809523809526
ah_pd_spacing_pct,DISCOVERY,BEAR,Q4,49,24,25,48.97959183673469
ah_pd_spacing_pct,DISCOVERY,BEAR,Q5,37,21,16,56.75675675675676
ah_pd_spacing_pct,DISCOVERY,BULL,Q1,29,16,13,55.172413793103445
ah_pd_spacing_pct,DISCOVERY,BULL,Q2,24,18,6,75.0
ah_pd_spacing_pct,DISCOVERY,BULL,Q3,30,16,14,53.333333333333336
ah_pd_spacing_pct,DISCOVERY,BULL,Q4,24,17,7,70.83333333333333
ah_pd_spacing_pct,DISCOVERY,BULL,Q5,36,19,17,52.77777777777778
ah_pd_spacing_pct,VALIDATION,BEAR,Q1,39,21,18,53.84615384615385
ah_pd_spacing_pct,VALIDATION,BEAR,Q2,46,25,21,54.34782608695652
ah_pd_spacing_pct,VALIDATION,BEAR,Q3,27,13,14,48.148148148148145
ah_pd_spacing_pct,VALIDATION,BEAR,Q4,55,27,28,49.09090909090909
ah_pd_spacing_pct,VALIDATION,BEAR,Q5,53,36,17,67.9245283018868
ah_pd_spacing_pct,VALIDATION,BULL,Q1,31,20,11,64.51612903225806
ah_pd_spacing_pct,VALIDATION,BULL,Q2,28,16,12,57.142857142857146
ah_pd_spacing_pct,VALIDATION,BULL,Q3,26,17,9,65.38461538461539
ah_pd_spacing_pct,VALIDATION,BULL,Q4,39,24,15,61.53846153846154
