research_period,direction,outcome,metric,n,mean,median,p25,p75,p10,p90
VALIDATION,BEAR,ADVERSE_FIRST,c2_beyond_outermost_pct,98,0.6068249299966295,0.5031512661234805,0.21160546087338195,0.7857978327605097,0.0954808552510722,1.3433742344646524
VALIDATION,BEAR,FAVORABLE_FIRST,level_cluster_span_pct_calc,122,1.6831002915989424,1.031800422537776,0.47094939991779394,2.212316491841438,0.30460446616669407,4.032888019630558
VALIDATION,BEAR,FAVORABLE_FIRST,pm_ah_spacing_pct,122,1.2068289410363082,0.8281323967063594,0.3857571454064457,1.6129741983267065,0.1607968155579393,3.0214617334125173
VALIDATION,BEAR,FAVORABLE_FIRST,pm_pd_spacing_pct,122,1.2079055736559992,0.47347082078831326,0.2366272532518847,1.2321528026604076,0.09981542575923542,3.586691906110449
VALIDATION,BEAR,FAVORABLE_FIRST,ah_pd_spacing_pct,122,0.865639905459872,0.4790051694842511,0.1805694604180615,1.1386145934536205,0.06751697684750978,1.710185847161406
VALIDATION,BEAR,FAVORABLE_FIRST,mean_pairwise_spacing_pct,122,1.0934581400507266,0.6813920516965657,0.3119029701511029,1.4549521507960799,0.20211011998999337,2.586419687389764
VALIDATION,BEAR,FAVORABLE_FIRST,closest_pair_spacing_pct,122,0.37368801697675164,0.19830731565786336,0.09230452624345924,0.4993926716888658,0.017189235323632156,0.9463729683829066
VALIDATION,BEAR,FAVORABLE_FIRST,c2_beyond_pm_pct,122,0.7419925529299034,0.5466275154494438,0.2906894712694702,0.9189361481763109,0.1398909709644336,1.5580867031883274
VALIDATION,BEAR,FAVORABLE_FIRST,c2_beyond_ah_pct,122,1.8627742722191667,1.4495654797304414,0.8048023844101221,2.4915791186498337,0.4717881352571063,3.9855105702774836
VALIDATION,BEAR,FAVORABLE_FIRST,c2_beyond_pd_pct,122,1.7429456392318026,1.0266843282597748,0.408482392518153,2.362571065638497,0.16150750121111007,4.51172862564569
VALIDATION,BEAR,FAVORABLE_FIRST,c2_beyond_outermost_pct,122,0.6367623485607399,0.4229532226375621,0.22376328033912318,0.8281161102621337,0.08731616669898301,1.362824059763025
VALIDATION,BULL,ADVERSE_FIRST,level_cluster_span_pct_calc,66,1.2844969020936226,0.9852698085069378,0.5516680226202051,1.5493623669337273,0.2875798251735163,2.1478212610840113
VALIDATION,BULL,ADVERSE_FIRST,pm_ah_spacing_pct,66,1.1526488672260378,0.7720620446394229,0.34299183239775544,1.432674558065651,0.12544826962794228,2.1883602345407196
VALIDATION,BULL,ADVERSE_FIRST,pm_pd_spacing_pct,66,0.7255865124959016,0.4575822576298883,0.1679889161924247,0.9510113901234409,0.04779974363753057,1.4389643368471323
VALIDATION,BULL,ADVERSE_FIRST,ah_pd_spacing_pct,66,0.7403150204708836,0.4967958675461136,0.20084661385339186,1.0922091307037824,0.0819178214394436,1.6750024190770294
VALIDATION,BULL,ADVERSE_FIRST,mean_pairwise_spacing_pct,66,0.8728501333976075,0.6641565761173422,0.3707656950641242,1.0474798980094961,0.19239859680467725,1.4589198373708436
VALIDATION,BULL,ADVERSE_FIRST,closest_pair_spacing_pct,66,0.2957083221764014,0.18313377306963663,0.06337827469344699,0.45324427261294,0.021584109209352303,0.6651025001480415
VALIDATION,BULL,ADVERSE_FIRST,c2_beyond_pm_pct,66,0.6642542401646601,0.5248342880028734,0.2925422063707661,0.9053230060735273,0.15730193123026925,1.3693847110412771
VALIDATION,BULL,ADVERSE_FIRST,c2_beyond_ah_pct,66,1.804373025244716,1.422522586699626,0.8928084775203626,1.9896917399340353,0.4958023648644727,3.241089263102226
VALIDATION,BULL,ADVERSE_FIRST,c2_beyond_pd_pct,66,1.0956534420856896,0.6979319806768469,0.2996564165997917,1.4186638447169053,0.10623613723461656,2.165227504224554
VALIDATION,BULL,ADVERSE_FIRST,c2_beyond_outermost_pct,66,0.5110668900721497,0.4066224270835139,0.16448725734745095,0.7690245006869101,0.047195636980601474,1.1154611910942025
VALIDATION,BULL,FAVORABLE_FIRST,level_cluster_span_pct_calc,103,1.1693145694054625,0.9665940835944518,0.4218885496410717,1.419893756899293,0.19019397930527776,2.3449123258867335
VALIDATION,BULL,FAVORABLE_FIRST,pm_ah_spacing_pct,103,0.9591860517817601,0.6897157161719618,0.2321994559385019,1.2690187462796387,0.061278382457883876,2.1064106323823566
VALIDATION,BULL,FAVORABLE_FIRST,pm_pd_spacing_pct,103,0.7699788639330397,0.4149782962946954,0.18164772410591468,0.9353225414982858,0.08061199296979508,1.9851425253273034
VALIDATION,BULL,FAVORABLE_FIRST,ah_pd_spacing_pct,103,0.6488394885183271,0.43143906334908766,0.17484234205446986,0.949866540746843,0.05170785275043186,1.4335019006844572
VALIDATION,BULL,FAVORABLE_FIRST,mean_pairwise_spacing_pct,103,0.7926681347443755,0.6481842960792065,0.28213916988548654,0.9629242925140775,0.12747377525034334,1.5926052367307764
VALIDATION,BULL,FAVORABLE_FIRST,closest_pair_spacing_pct,103,0.2849905025820325,0.17468073554753183,0.07541534008783005,0.3562411577200052,0.02247772193446647,0.6971493250486339
VALIDATION,BULL,FAVORABLE_FIRST,c2_beyond_pm_pct,103,0.7030101642323279,0.5967604433077645,0.29947666702706544,0.940223492193093,0.12748491926359853,1.4121993035181244
VALIDATION,BULL,FAVORABLE_FIRST,c2_beyond_ah_pct,103,1.6453532353619769,1.3807411646873602,0.8187884896695419,2.0697810862671195,0.4938271087163937,3.0515576388355865
VALIDATION,BULL,FAVORABLE_FIRST,c2_beyond_pd_pct,103,1.1368610855250054,0.7164904226513613,0.24606466862384657,1.5514419312163352,0.12665158160315215,2.4694353767016297
VALIDATION,BULL,FAVORABLE_FIRST,c2_beyond_outermost_pct,103,0.5268023805351388,0.3543721865721716,0.1504716573080267,0.7458689022746157,0.07735007323511844,1.2041608288057137
