research_period,direction,outcome,metric,n,mean,median,p25,p75,p10,p90
DISCOVERY,BEAR,ADVERSE_FIRST,level_cluster_span_pct_calc,103,1.0962363061963574,0.7411572275608203,0.3189699937765074,1.3807651459685288,0.21939639637803993,2.041121275531743
DISCOVERY,BEAR,ADVERSE_FIRST,pm_ah_spacing_pct,103,0.7607917767126884,0.39383079952544947,0.17723633516301324,1.1427242573217797,0.08712505858723227,1.7248695434414383
DISCOVERY,BEAR,ADVERSE_FIRST,pm_pd_spacing_pct,103,0.7578342621649329,0.42420321837712105,0.1325360509873616,0.800800718853798,0.03754964397430826,1.4348838003427276
DISCOVERY,BEAR,ADVERSE_FIRST,ah_pd_spacing_pct,103,0.6246783956578712,0.38888609686195663,0.16514762032759278,0.7174852379986,0.050764098487860475,1.1014294229767398
DISCOVERY,BEAR,ADVERSE_FIRST,mean_pairwise_spacing_pct,103,0.7144348115118306,0.4913802375930209,0.21166049526472994,0.9122154435182144,0.14543397804504896,1.319914131771445
DISCOVERY,BEAR,ADVERSE_FIRST,closest_pair_spacing_pct,103,0.2272742740417913,0.1324503311258203,0.05132857363321783,0.321611578988488,0.01634801144234777,0.5007227968621253
DISCOVERY,BEAR,ADVERSE_FIRST,c2_beyond_pm_pct,103,0.7323675765761986,0.5969667634720843,0.2965919737640821,0.9281083579124494,0.12370760549409665,1.598045944856341
DISCOVERY,BEAR,ADVERSE_FIRST,c2_beyond_ah_pct,103,1.3791698431200357,0.9787299630086177,0.5741648559122681,1.8154390046687063,0.3589903928083338,2.7341281860958433
DISCOVERY,BEAR,ADVERSE_FIRST,c2_beyond_pd_pct,103,1.0564603011212004,0.4963322309718632,0.2401572666775209,1.3833964471993254,0.08325195132694363,2.3368040267365187
DISCOVERY,BEAR,ADVERSE_FIRST,c2_beyond_outermost_pct,103,0.5161105032947237,0.36159346271705806,0.15064241416589685,0.6365747619312578,0.06195563299684626,1.3214670936307058
DISCOVERY,BEAR,FAVORABLE_FIRST,level_cluster_span_pct_calc,118,1.1766081358653184,0.7295435959215778,0.3802930260826048,1.3069415124084598,0.18585351736419845,1.971363586784214
DISCOVERY,BEAR,FAVORABLE_FIRST,pm_ah_spacing_pct,118,0.845771811453401,0.49457113547372866,0.18974207428207232,0.8622461496476068,0.045269842480300804,1.6996789186099148
DISCOVERY,BEAR,FAVORABLE_FIRST,pm_pd_spacing_pct,118,0.8411860946258437,0.37322148346474615,0.14072923783384902,0.7897800317855599,0.03646293254132982,1.4061718103487044
DISCOVERY,BEAR,FAVORABLE_FIRST,ah_pd_spacing_pct,118,0.6056006853409929,0.39519821919224735,0.12965433523465708,0.7173342687351223,0.05509690456206375,1.4255296709350125
DISCOVERY,BEAR,FAVORABLE_FIRST,mean_pairwise_spacing_pct,118,0.7641861971400792,0.48123524584129096,0.25284711002740323,0.8649297443287863,0.12372174915231507,1.2895695431183736
DISCOVERY,BEAR,FAVORABLE_FIRST,closest_pair_spacing_pct,118,0.23794341592115664,0.12730078324432806,0.04442907153410232,0.3492759693156934,0.010677040656956887,0.5172587728158518
DISCOVERY,BEAR,FAVORABLE_FIRST,c2_beyond_pm_pct,118,0.6702906897155122,0.49421184561161957,0.24738287910084367,0.8669889941792353,0.13256443809235074,1.4604031668804152
DISCOVERY,BEAR,FAVORABLE_FIRST,c2_beyond_ah_pct,118,1.4109599516681233,0.9415490600548748,0.5522917465564103,1.7706073756295404,0.3226449263872888,2.703947706680184
DISCOVERY,BEAR,FAVORABLE_FIRST,c2_beyond_pd_pct,118,1.093357610784273,0.5486722612814576,0.29322728199472625,1.100744912790702,0.08443238560974398,2.0790827754962815
DISCOVERY,BEAR,FAVORABLE_FIRST,c2_beyond_outermost_pct,118,0.4614210935845921,0.309306644153412,0.13407703682728478,0.6248581191620167,0.05241725147901111,1.0362998741258795
DISCOVERY,BULL,ADVERSE_FIRST,level_cluster_span_pct_calc,57,1.1897417114795374,1.0134607795566246,0.3709707587754841,1.7060701070530644,0.15917773283512926,2.437977121773244
DISCOVERY,BULL,ADVERSE_FIRST,pm_ah_spacing_pct,57,0.9875191753045531,0.6976596689287777,0.2233638597274961,1.5049968411379868,0.07795482790761918,2.133811165082513
DISCOVERY,BULL,ADVERSE_FIRST,pm_pd_spacing_pct,57,0.6784478784563073,0.40531982267258093,0.15182186234818387,0.7561251043354407,0.06791100048046424,1.6164202193617536
DISCOVERY,BULL,ADVERSE_FIRST,ah_pd_spacing_pct,57,0.7509060705209089,0.3437164339420058,0.13496820103675675,1.201560072571615,0.029327256561206615,1.9329468451616472
DISCOVERY,BULL,ADVERSE_FIRST,mean_pairwise_spacing_pct,57,0.8056243747605897,0.6795715823761198,0.2482308940395317,1.1486478369627169,0.1063629636461014,1.663250865585637
DISCOVERY,BULL,ADVERSE_FIRST,closest_pair_spacing_pct,57,0.26763533082243746,0.15182186234818387,0.06355258976803546,0.307714850904819,0.02200806252302735,0.5752000131426805
DISCOVERY,BULL,ADVERSE_FIRST,c2_beyond_pm_pct,57,0.6168710787378594,0.4714285714285671,0.23474178403755097,0.9538950715421324,0.11719655941382356,1.125401648485984
DISCOVERY,BULL,ADVERSE_FIRST,c2_beyond_ah_pct,57,1.5655415118684155,1.214285714285701,0.6924937203995896,2.219992854972319,0.09279817121974343,3.6192333644277364
DISCOVERY,BULL,ADVERSE_FIRST,c2_beyond_pd_pct,57,0.971228250460237,0.556682524010399,0.26648201770951285,1.2845454025290248,0.09089720169106474,2.4209174491753416
DISCOVERY,BULL,ADVERSE_FIRST,c2_beyond_outermost_pct,57,0.44292034956275583,0.2843782738092937,0.11627906976743319,0.6930752225607906,0.06477450426970677,1.0575616809991883
DISCOVERY,BULL,FAVORABLE_FIRST,level_cluster_span_pct_calc,86,1.0591820701600263,0.7081992370987706,0.3571492688213769,1.6071097308602451,0.15445745790245746,2.1006821429090983
DISCOVERY,BULL,FAVORABLE_FIRST,pm_ah_spacing_pct,86,0.9626220961033115,0.6841622922872637,0.23566396027082837,1.3607422098172919,0.07907036553170821,2.0942051450526002
DISCOVERY,BULL,FAVORABLE_FIRST,pm_pd_spacing_pct,86,0.5830336533934842,0.2650449836457336,0.09514987164209135,0.6587695467250113,0.03627929329046449,1.402979781917312
DISCOVERY,BULL,FAVORABLE_FIRST,ah_pd_spacing_pct,86,0.6145547859764083,0.3992118784214629,0.14510736566125726,0.8615778859104768,0.04739667564004103,1.4807455661500184
DISCOVERY,BULL,FAVORABLE_FIRST,mean_pairwise_spacing_pct,86,0.720070178491068,0.4758478149148211,0.2390062526910961,1.0840012361936169,0.10344540691675584,1.4301997263366006
DISCOVERY,BULL,FAVORABLE_FIRST,closest_pair_spacing_pct,86,0.27671427883469774,0.12495269375717294,0.045267764709208944,0.30082277020309733,0.01726339652928645,0.7726371715191431
DISCOVERY,BULL,FAVORABLE_FIRST,c2_beyond_pm_pct,86,0.5924269563914795,0.4354729555803294,0.2611038190882431,0.7872600818234876,0.09062613862564906,1.1498298858271583
DISCOVERY,BULL,FAVORABLE_FIRST,c2_beyond_ah_pct,86,1.5661091961537148,1.1200523791562889,0.6026034389919721,2.192931313764157,0.4660028763525337,3.1751568141891506
DISCOVERY,BULL,FAVORABLE_FIRST,c2_beyond_pd_pct,86,1.06973780220721,0.648814708827794,0.33761614058334666,1.3746635397888618,0.14759665865624605,2.140382892930026
DISCOVERY,BULL,FAVORABLE_FIRST,c2_beyond_outermost_pct,86,0.5306090267152263,0.40558168150592877,0.21673429093847507,0.72365873965759,0.07952659184148336,1.0518367845415044
VALIDATION,BEAR,ADVERSE_FIRST,level_cluster_span_pct_calc,98,1.5286081453923932,0.9810234689255105,0.6588156140426132,1.6972288344281503,0.33863885993345266,2.894706027752216
VALIDATION,BEAR,ADVERSE_FIRST,pm_ah_spacing_pct,98,1.3245310493418097,0.8494888360174226,0.44230381514766026,1.5097634159278253,0.12473755302273995,2.7157372040526617
VALIDATION,BEAR,ADVERSE_FIRST,pm_pd_spacing_pct,98,1.0026873298406123,0.55020207883273,0.14318889846244015,1.062755778784164,0.058100069022701296,2.2502083657827576
VALIDATION,BEAR,ADVERSE_FIRST,ah_pd_spacing_pct,98,0.6331062658837813,0.42477194189306966,0.13426207397683645,0.7897280561247825,0.06431927110893823,1.4023427026467248
VALIDATION,BEAR,ADVERSE_FIRST,mean_pairwise_spacing_pct,98,0.9867748816887344,0.6474321979599997,0.4341071528173758,1.1154634261284526,0.22397167644581437,1.8981395633939002
VALIDATION,BEAR,ADVERSE_FIRST,closest_pair_spacing_pct,98,0.2275728762322538,0.13539849288075959,0.06512986838363036,0.34025122989447176,0.017792931265952622,0.5630687462440158
VALIDATION,BEAR,ADVERSE_FIRST,c2_beyond_pm_pct,98,0.7232163148649109,0.6015919205751452,0.3513930946098448,0.9641950648629605,0.1380079857346206,1.4705867703739925
VALIDATION,BEAR,ADVERSE_FIRST,c2_beyond_ah_pct,98,1.9455035910118135,1.4496571774563594,0.9094599148362525,2.2935604202237365,0.5916638028826371,3.456464243060745
VALIDATION,BEAR,ADVERSE_FIRST,c2_beyond_pd_pct,98,1.4722277024977748,0.9367287285438841,0.4697331947474126,1.659681252432521,0.22271716909330386,3.054621077786678
