candidate,split_type,baseline_n,baseline_ff_pct,candidate_n,candidate_ff_pct,lift_pp,quarter,direction
P_COMPACT_GEOMETRY_Q2,QUARTER_DIRECTION,53,56.60377358490566,8,50.0,-6.60377358490566,2026Q3,BULL
P_ORDER_PD_AH_PM,QUARTER,152,44.078947368421055,18,44.44444444444444,0.365497076023388,2025Q3,
P_ORDER_PD_AH_PM,QUARTER,137,62.043795620437955,25,72.0,9.956204379562045,2025Q4,
P_ORDER_PD_AH_PM,QUARTER,175,61.142857142857146,23,69.56521739130434,8.422360248447198,2026Q1,
P_ORDER_PD_AH_PM,QUARTER,160,56.25,24,58.333333333333336,2.0833333333333357,2026Q2,
P_ORDER_PD_AH_PM,QUARTER,89,59.550561797752806,18,72.22222222222223,12.671660424469422,2026Q3,
P_ORDER_PD_AH_PM,DIRECTION,441,54.42176870748299,68,64.70588235294117,10.284113645458184,,BEAR
P_ORDER_PD_AH_PM,DIRECTION,312,60.57692307692308,41,63.41463414634146,2.8377110694183827,,BULL
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,101,40.59405940594059,9,33.333333333333336,-7.260726072607255,2025Q3,BEAR
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,51,50.98039215686274,9,55.55555555555556,4.5751633986928155,2025Q3,BULL
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,83,60.24096385542169,15,80.0,19.75903614457831,2025Q4,BEAR
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,54,64.81481481481481,10,60.0,-4.8148148148148096,2025Q4,BULL
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,74,55.4054054054054,11,54.54545454545455,-0.8599508599508567,2026Q1,BEAR
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,101,65.34653465346534,12,83.33333333333333,17.986798679867988,2026Q1,BULL
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,121,55.37190082644628,18,66.66666666666667,11.294765840220393,2026Q2,BEAR
P_ORDER_PD_AH_PM,QUARTER_DIRECTION,36,63.888888888888886,14,71.42857142857143,7.539682539682545,2026Q3,BEAR
