research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ALIGNED,2222,2176,1086,1090,5,41,49.908088235294116,1005,45.22952295229523,1.273333777522586,1.2515581690748765,0.8977963508963922,0.9215609002961525,112,159,ALL,directional_prior_ret_1d_pct
DISCOVERY,FLAT,8,7,5,2,0,1,71.42857142857143,6,75.0,1.2216369567501122,1.0014138595423703,1.0491147285071953,0.3926468842720512,7,8,ALL,directional_prior_ret_1d_pct
DISCOVERY,OPPOSING,1989,1942,1019,923,9,38,52.47167868177137,951,47.81297134238311,1.328484624780754,1.2322483994302402,0.9465445057945526,0.8433219178082146,112,159,ALL,directional_prior_ret_1d_pct
DISCOVERY,UNKNOWN,53,52,24,28,0,1,46.15384615384615,23,43.39622641509434,0.8396624892188257,1.2297156339555573,0.4607396211696415,0.9909591942008618,47,2,ALL,directional_prior_ret_1d_pct
VALIDATION,ALIGNED,2249,2196,1073,1123,32,21,48.861566484517304,1063,47.265451311694086,1.6263688393213347,1.55488575146641,1.1424017003188192,1.137114677422075,112,161,ALL,directional_prior_ret_1d_pct
VALIDATION,FLAT,3,3,1,2,0,0,33.333333333333336,2,66.66666666666667,0.4016555542171723,0.9642195331981723,0.39682539682539847,1.114890400604693,3,3,ALL,directional_prior_ret_1d_pct
VALIDATION,OPPOSING,1933,1889,940,949,37,7,49.76177871889889,911,47.128815312985,1.7253581819331156,1.5492160209708632,1.2224282693794704,1.0978743284279442,112,161,ALL,directional_prior_ret_1d_pct
DISCOVERY,ALIGNED,1067,1047,512,535,4,16,48.90162368672397,469,43.95501405810684,1.3024108012060993,1.2820721442060625,0.9095363508299219,0.9782391694948989,112,154,BEAR,directional_prior_ret_1d_pct
DISCOVERY,FLAT,4,4,3,1,0,0,75.0,3,75.0,1.6615921379978171,0.3933936691657548,1.607208044033437,0.2638799299613561,4,4,BEAR,directional_prior_ret_1d_pct
DISCOVERY,OPPOSING,1071,1042,531,511,7,22,50.95969289827255,510,47.61904761904762,1.3328549318624292,1.2449614485975269,0.9631240589823935,0.8619442343153806,112,159,BEAR,directional_prior_ret_1d_pct
DISCOVERY,UNKNOWN,30,30,7,23,0,0,23.333333333333332,9,30.0,0.4476378883965973,1.785404085465017,0.2624971837340436,1.5405404630292483,28,2,BEAR,directional_prior_ret_1d_pct
DISCOVERY,ALIGNED,1155,1129,574,555,1,25,50.841452612931796,536,46.40692640692641,1.2464721461197215,1.2233690682394,0.8872282783149041,0.8795542756980159,112,156,BULL,directional_prior_ret_1d_pct
DISCOVERY,FLAT,4,3,2,1,0,1,66.66666666666667,3,75.0,0.7816817755024073,1.6094340499189856,0.6252633492647653,1.13022274875147,3,4,BULL,directional_prior_ret_1d_pct
DISCOVERY,OPPOSING,918,900,488,412,2,16,54.22222222222222,441,48.03921568627451,1.3233859331854665,1.2174165087350723,0.9320542215982457,0.8151335778559019,112,151,BULL,directional_prior_ret_1d_pct
DISCOVERY,UNKNOWN,23,22,17,5,0,1,77.27272727272727,14,60.869565217391305,1.3509989250739063,0.5049046102475663,1.1950294790640286,0.2676087242726147,23,2,BULL,directional_prior_ret_1d_pct
VALIDATION,ALIGNED,1078,1058,537,521,10,10,50.75614366729678,517,47.95918367346939,1.6267635189418623,1.5900048986790616,1.1661073237236046,1.1812031407615893,112,156,BEAR,directional_prior_ret_1d_pct
VALIDATION,FLAT,1,1,1,0,0,0,100.0,1,100.0,0.5944517833553385,0.5824426564188777,0.5944517833553385,0.5824426564188777,1,1,BEAR,directional_prior_ret_1d_pct
VALIDATION,OPPOSING,953,931,461,470,16,6,49.516648764769066,455,47.74396642182581,1.6460480712737204,1.4967529294564343,1.1774193548387186,1.025251566356558,112,158,BEAR,directional_prior_ret_1d_pct
VALIDATION,ALIGNED,1171,1138,536,602,22,11,47.10017574692443,546,46.6268146883006,1.6260055048798923,1.5225557423329872,1.1238482855944951,1.095139752418129,112,160,BULL,directional_prior_ret_1d_pct
VALIDATION,FLAT,2,2,0,2,0,0,0.0,1,50.0,0.30525743964808927,1.1551079715878196,0.30525743964808927,1.1551079715878196,2,2,BULL,directional_prior_ret_1d_pct
VALIDATION,OPPOSING,980,958,479,479,21,1,50.0,456,46.53061224489796,1.80248321811516,1.600233700780303,1.266274923346955,1.147209968440877,112,159,BULL,directional_prior_ret_1d_pct
DISCOVERY,ALIGNED,2152,2107,1057,1050,6,39,50.16611295681063,962,44.70260223048327,1.3108540456290654,1.2709420915851146,0.9346611089246297,0.9161814010620883,112,157,ALL,directional_prior_ret_3d_pct
DISCOVERY,FLAT,2,2,2,0,0,0,100.0,0,0.0,0.9649126304258759,0.21012645619194986,0.9649126304258759,0.21012645619194986,2,2,ALL,directional_prior_ret_3d_pct
DISCOVERY,OPPOSING,2028,1980,1023,957,8,40,51.666666666666664,974,48.027613412228796,1.2858063039724512,1.2214877964570812,0.9086570155503129,0.8472248491372395,112,157,ALL,directional_prior_ret_3d_pct
DISCOVERY,UNKNOWN,90,88,52,36,0,2,59.09090909090909,49,54.44444444444444,1.0608429335108103,1.026951915651061,0.8345660782442099,0.6929182391751447,67,4,ALL,directional_prior_ret_3d_pct
VALIDATION,ALIGNED,2134,2089,1027,1062,31,14,49.16227860220201,990,46.391752577319586,1.7100304745172459,1.5337477232943384,1.1882288527901248,1.129603576902153,112,161,ALL,directional_prior_ret_3d_pct
VALIDATION,FLAT,3,3,1,2,0,0,33.333333333333336,0,0.0,1.2312776707809878,1.3711847197314162,1.2265978050355035,1.115241635687737,3,3,ALL,directional_prior_ret_3d_pct
VALIDATION,OPPOSING,2048,1996,986,1010,38,14,49.39879759519038,986,48.14453125,1.6314096612992675,1.570963909431112,1.1579629852248987,1.1144017123575956,112,161,ALL,directional_prior_ret_3d_pct
DISCOVERY,ALIGNED,975,960,468,492,5,10,48.75,424,43.48717948717949,1.3598265749182321,1.3069489512643016,0.9851982294988442,0.9875032771126413,112,156,BEAR,directional_prior_ret_3d_pct
DISCOVERY,FLAT,1,1,1,0,0,0,100.0,0,0.0,1.3645147683464016,0.14616297662373423,1.3645147683464016,0.14616297662373423,1,1,BEAR,directional_prior_ret_3d_pct
DISCOVERY,OPPOSING,1137,1103,554,549,6,28,50.22665457842248,536,47.14160070360598,1.2781381761738864,1.2409454686505506,0.8932431282444044,0.8625029130738773,112,154,BEAR,directional_prior_ret_3d_pct
DISCOVERY,UNKNOWN,59,59,30,29,0,0,50.847457627118644,31,52.54237288135593,0.9626598388496109,1.2048135295159246,0.6804841306945106,0.9921562516232906,49,4,BEAR,directional_prior_ret_3d_pct
DISCOVERY,ALIGNED,1177,1147,589,558,1,29,51.351351351351354,538,45.709430756159726,1.2702863174583454,1.2411148288941996,0.8955696202531594,0.8707382879568338,112,157,BULL,directional_prior_ret_3d_pct
DISCOVERY,FLAT,1,1,1,0,0,0,100.0,0,0.0,0.5653104925053504,0.2740899357601655,0.5653104925053504,0.2740899357601655,1,1,BULL,directional_prior_ret_3d_pct
DISCOVERY,OPPOSING,891,877,469,408,2,12,53.47776510832383,438,49.158249158249156,1.2955915579645585,1.1966579723448758,0.9162903331369892,0.8328803392568388,112,149,BULL,directional_prior_ret_3d_pct
DISCOVERY,UNKNOWN,31,29,22,7,0,2,75.86206896551724,18,58.064516129032256,1.2477075330272862,0.6884411021663213,1.1947839147948385,0.3881091156954614,28,4,BULL,directional_prior_ret_3d_pct
VALIDATION,ALIGNED,999,982,491,491,10,7,50.0,468,46.846846846846844,1.706167013201056,1.5222499154486453,1.2310446069846497,1.1328333385633906,112,159,BEAR,directional_prior_ret_3d_pct
VALIDATION,FLAT,1,1,0,1,0,0,0.0,0,0.0,1.9516728624535302,1.115241635687737,1.9516728624535302,1.115241635687737,1,1,BEAR,directional_prior_ret_3d_pct
