feature,research_period,n,winner_mean,loser_mean,outcome_difference,confirmed_mean,not_confirmed_mean,confirmation_difference
directional_prior_ret_1d_pct,DISCOVERY,4272,0.09636560435591573,0.12914029637886693,-0.03277469202295119,0.136094115616249,0.09020546946220372,0.045888646154045296
directional_prior_ret_1d_pct,VALIDATION,4185,0.32624540220635423,0.17320925584289126,0.15303614636346297,0.3155575868412999,0.1841101413891913,0.13144744545210862
directional_prior_ret_3d_pct,DISCOVERY,4272,0.023687952368636897,0.2185277606553565,-0.1948398082867196,0.03118954098259045,0.19063163739945535,-0.1594420964168649
directional_prior_ret_3d_pct,VALIDATION,4185,0.008838943645959387,0.16817498119609212,-0.15933603755013273,0.014777804626934109,0.14796854692169206,-0.13319074229475794
directional_prior_ret_5d_pct,DISCOVERY,4272,0.04841218191564623,0.21620715335572283,-0.1677949714400766,0.05752410354554866,0.1652834326086779,-0.10775932906312924
directional_prior_ret_5d_pct,VALIDATION,4185,-0.3424968649874994,0.07809425992882256,-0.420591124916322,-0.2564353321852833,0.007194027393815628,-0.26362935957909894
directional_prior_ret_10d_pct,DISCOVERY,4272,-0.1585055966616087,0.35482296011712394,-0.5133285567787327,-0.032997643387021436,0.19135441189284907,-0.2243520552798705
directional_prior_ret_10d_pct,VALIDATION,4185,-0.06142807481328145,0.2895775702137375,-0.3510056450270189,-0.09968976732279101,0.2936637269258875,-0.3933534942486785
directional_prior_ret_20d_pct,DISCOVERY,4272,-0.04517275996771695,0.438252101532168,-0.48342486149988495,0.2994349973839102,0.08046394979068576,0.21897104759322444
directional_prior_ret_20d_pct,VALIDATION,4185,0.06115976574809112,0.30905342785768886,-0.24789366210959773,-0.15547802737181907,0.3019813198683459,-0.457459347240165
directional_prior_close_vs_ema9_pct,DISCOVERY,4272,0.011196272150698426,0.16014283986922911,-0.14894656771853068,0.04618256666957832,0.10602685983997227,-0.059844293170393956
directional_prior_close_vs_ema9_pct,VALIDATION,4185,0.0007357682605403777,0.10509258250922834,-0.10435681424868797,-0.001697609003496962,0.09067426725558476,-0.09237187625908172
directional_prior_close_vs_ema20_pct,DISCOVERY,4272,-0.0660385486484856,0.24840516174992563,-0.31444371039841124,0.058430951808365675,0.09658051831653498,-0.03814956650816931
directional_prior_close_vs_ema20_pct,VALIDATION,4185,-0.019988731887949508,0.18699842613506554,-0.20698715802301504,-0.05745963975437565,0.1635250400131951,-0.22098467976757075
directional_prior_ema9_vs_ema20_pct,DISCOVERY,4272,-0.04321385500654399,0.08051302310604194,-0.12372687811258593,0.020607912849343216,0.007716354815498513,0.012891558033844702
directional_prior_ema9_vs_ema20_pct,VALIDATION,4185,-0.020375135066001547,0.06780334807599799,-0.08817848314199953,-0.06555364725565807,0.067615251383215,-0.13316889863887307
directional_prior_ema9_slope_1d_pct,DISCOVERY,4272,0.0026251302452777753,0.04135294710791245,-0.03872781686263468,0.01234577454085751,0.026834512959644778,-0.014488738418787268
directional_prior_ema9_slope_1d_pct,VALIDATION,4185,4.2509464675035364e-05,0.028510556804738203,-0.02846804734006317,0.0005977096337847566,0.0240231139223926,-0.023425404288607843
directional_prior_ema20_slope_1d_pct,DISCOVERY,4272,-0.006744481663136872,0.02635118934164445,-0.03309567100478132,0.006950737235795495,0.009869301881772673,-0.0029185646459771774
directional_prior_ema20_slope_1d_pct,VALIDATION,4185,-0.002155354389579018,0.02054707024267372,-0.022702424632252735,-0.005602796046618877,0.01766118185753116,-0.023263977904150038
directional_gap_from_prior_close_pct,DISCOVERY,4272,0.031818488303738963,0.011030001620005489,0.020788486683733474,-0.017260063584550782,0.05419393864689106,-0.07145400223144184
directional_gap_from_prior_close_pct,VALIDATION,4185,0.09710688722993521,-0.015402118049497766,0.11250900527943297,0.07765581298977431,0.03995692858141619,0.03769888440835812
