research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,UNKNOWN,67,64,31,33,2,1,48.4375,49.25373134328358,1.3941035069853425,1.1019197807279464,51,5,BEAR,market_3idx_prior_1d_state
VALIDATION,ALL_3_ALIGNED,847,821,398,423,16,10,48.47746650426309,47.22550177095631,1.6510381958085039,1.46334381077556,112,60,BULL,market_3idx_prior_1d_state
VALIDATION,ALL_3_OPPOSING,610,594,291,303,16,0,48.98989898989899,46.885245901639344,1.9083808034626861,1.4902340835640402,111,50,BULL,market_3idx_prior_1d_state
VALIDATION,MAJORITY_ALIGNED,337,331,137,194,6,0,41.389728096676734,40.652818991097924,1.300196206034784,1.8204028239228287,109,23,BULL,market_3idx_prior_1d_state
VALIDATION,MAJORITY_OPPOSING,276,269,150,119,5,2,55.762081784386616,51.44927536231884,1.9140576911952216,1.6868352260796333,101,23,BULL,market_3idx_prior_1d_state
VALIDATION,UNKNOWN,83,83,39,44,0,0,46.98795180722892,45.78313253012048,1.7121545624200263,1.5170451110706553,56,5,BULL,market_3idx_prior_1d_state
DISCOVERY,ALL_3_ALIGNED,1700,1663,838,825,2,35,50.39085989176188,44.64705882352941,1.316303352519661,1.2015147042084455,112,127,ALL,market_3idx_prior_5d_state
DISCOVERY,ALL_3_OPPOSING,1688,1646,849,797,9,33,51.57958687727825,48.34123222748815,1.2512900236535764,1.2511113596075578,112,127,ALL,market_3idx_prior_5d_state
DISCOVERY,MAJORITY_ALIGNED,350,344,173,171,0,6,50.2906976744186,43.142857142857146,1.2969204431455092,1.2821759331653848,108,28,ALL,market_3idx_prior_5d_state
DISCOVERY,MAJORITY_OPPOSING,391,383,183,200,3,5,47.78067885117493,43.989769820971865,1.396910777313359,1.4155225347647085,107,28,ALL,market_3idx_prior_5d_state
DISCOVERY,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,83,6,ALL,market_3idx_prior_5d_state
VALIDATION,ALL_3_ALIGNED,1456,1418,636,782,26,12,44.851904090267986,44.43681318681319,1.5434733380066545,1.6156942024879137,112,108,ALL,market_3idx_prior_5d_state
VALIDATION,ALL_3_OPPOSING,1350,1315,697,618,22,13,53.00380228136882,49.48148148148148,1.7423124411380755,1.5325024476271594,112,108,ALL,market_3idx_prior_5d_state
