research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,lookback_days
DISCOVERY,FLAT,2,2,2,0,0,0,100.0,0,0.0,0.9649126304258759,0.21012645619194986,0.9649126304258759,0.21012645619194986,2,2,ALL,3
DISCOVERY,MODERATE_ALIGNED,1280,1245,654,591,3,32,52.53012048192771,588,45.9375,1.189109149024799,1.104552669880573,0.8662435392304582,0.8042107651029754,112,154,ALL,3
DISCOVERY,MODERATE_OPPOSING,1167,1125,599,526,4,38,53.24444444444445,574,49.18594687232219,1.1002153798850995,1.130791598054899,0.7629898152943202,0.801255845897258,112,154,ALL,3
DISCOVERY,STRONG_ALIGNED,817,807,377,430,3,7,46.71623296158612,343,41.98286413708691,1.4975063122352692,1.5312620573180185,1.0697604339309834,1.1498298721107472,110,151,ALL,3
DISCOVERY,STRONG_OPPOSING,817,811,396,415,4,2,48.82860665844636,377,46.14443084455324,1.5349512385965318,1.3579520150847828,1.089551325212708,0.9272401433691667,110,150,ALL,3
DISCOVERY,UNKNOWN,90,88,52,36,0,2,59.09090909090909,49,54.44444444444444,1.0608429335108103,1.026951915651061,0.8345660782442099,0.6929182391751447,67,4,ALL,3
VALIDATION,FLAT,2,2,0,2,0,0,0.0,0,0.0,1.5891353337445169,1.7035213988638827,1.5891353337445169,1.7035213988638827,2,2,ALL,3
VALIDATION,MODERATE_ALIGNED,1068,1049,536,513,6,13,51.09628217349857,517,48.40823970037453,1.3888665253242023,1.4013467953284586,1.035490602337048,1.0245152352296194,112,159,ALL,3
VALIDATION,MODERATE_OPPOSING,980,957,481,476,13,10,50.26123301985371,479,48.87755102040816,1.4111481176914833,1.3492223262172918,0.9842462077170273,0.9667143382645916,112,156,ALL,3
VALIDATION,STRONG_ALIGNED,1046,1021,477,544,24,1,46.718903036238984,472,45.124282982791584,2.0344218392612037,1.6681355322628209,1.437040484998938,1.2465586930618624,112,158,ALL,3
VALIDATION,STRONG_OPPOSING,1038,1011,504,507,24,3,49.85163204747774,491,47.30250481695568,1.8363566300079,1.7782893726243287,1.329141200393804,1.23420911307888,112,158,ALL,3
DISCOVERY,FLAT,1,1,1,0,0,0,100.0,0,0.0,1.3645147683464016,0.14616297662373423,1.3645147683464016,0.14616297662373423,1,1,BEAR,3
DISCOVERY,MODERATE_ALIGNED,591,579,296,283,3,9,51.122625215889464,260,43.99323181049069,1.2199337708806641,1.1506625016057357,0.8875739644970446,0.866256189654566,110,146,BEAR,3
DISCOVERY,MODERATE_OPPOSING,616,587,307,280,3,26,52.299829642248724,296,48.05194805194805,1.0432625637937418,1.1306510085694326,0.7479585330405574,0.7936164624273492,112,147,BEAR,3
