sensitivity,research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,DISCOVERY,ALIGNED,2029,1989,984,1005,4,36,49.47209653092006,884,43.56826022671267,1.3117677583233835,1.2463648812830597,0.9159881569207946,0.8914813999559787,112,152
BASE,DISCOVERY,OPPOSING,1999,1946,1004,942,10,43,51.59301130524152,960,48.024012006003,1.271641349923443,1.253325015167441,0.9077155824508321,0.8784313725490208,112,152
BASE,VALIDATION,ALIGNED,2065,2015,966,1049,35,15,47.940446650124066,940,45.520581113801455,1.6608371498425638,1.5649171452440405,1.1496058926789126,1.1347087378640803,112,159
BASE,VALIDATION,OPPOSING,2069,2025,1032,993,32,12,50.96296296296296,1019,49.250845819236346,1.6790370161633232,1.5376817450476012,1.205913934087723,1.0978743284279442,112,159
EXCLUDE_LEVERAGED_ETF,DISCOVERY,ALIGNED,2007,1967,971,996,4,36,49.36451448906965,871,43.398106626806175,1.3071528936330143,1.2344663998348056,0.9133751021519929,0.8876080691642606,111,152
EXCLUDE_LEVERAGED_ETF,DISCOVERY,OPPOSING,1981,1928,991,937,10,43,51.40041493775934,951,48.00605754669359,1.2647278209905664,1.2565251940184503,0.9007053716766139,0.879657007687757,111,152
EXCLUDE_LEVERAGED_ETF,VALIDATION,ALIGNED,2037,1987,952,1035,35,15,47.91142425767489,926,45.459008345606286,1.6529141813332426,1.55787120065977,1.1481683980317081,1.133440214757101,111,159
EXCLUDE_LEVERAGED_ETF,VALIDATION,OPPOSING,2035,1991,1013,978,32,12,50.8789552988448,1003,49.287469287469285,1.67016754790368,1.5248546277235464,1.2036642522368932,1.085423437787442,111,159
EXCLUDE_SPY_QQQ,DISCOVERY,ALIGNED,1989,1960,970,990,4,25,49.48979591836735,867,43.58974358974359,1.328745869335331,1.2587727062731833,0.9344583076061804,0.9045086699811257,110,152
EXCLUDE_SPY_QQQ,DISCOVERY,OPPOSING,1950,1912,983,929,10,28,51.41213389121339,930,47.69230769230769,1.2902635511028542,1.2742277243475941,0.9248854662765222,0.8983300224996574,110,152
EXCLUDE_SPY_QQQ,VALIDATION,ALIGNED,2003,1959,945,1014,35,9,48.23889739663093,907,45.28207688467299,1.6948411504159255,1.595277988219067,1.1695654050321433,1.1634426689094453,110,159
EXCLUDE_SPY_QQQ,VALIDATION,OPPOSING,2004,1970,1003,967,32,2,50.91370558375635,984,49.10179640718563,1.7117135647186736,1.5674866715633555,1.2287389674341807,1.1300982937123552,110,159
INDIVIDUAL_STOCKS_CORE,DISCOVERY,ALIGNED,1967,1938,957,981,4,25,49.38080495356037,854,43.41637010676157,1.3242270513427996,1.2467710386997906,0.9322022246359838,0.9040914607312446,109,152
INDIVIDUAL_STOCKS_CORE,DISCOVERY,OPPOSING,1932,1894,970,924,10,28,51.21436114044351,921,47.67080745341615,1.2833481778136204,1.2777038128926725,0.919981968837779,0.9050584248122957,109,152
INDIVIDUAL_STOCKS_CORE,VALIDATION,ALIGNED,1975,1931,931,1000,35,9,48.21336095287416,893,45.21518987341772,1.6871515429033013,1.5884412866925568,1.1643844617124612,1.1603878556668321,109,159
INDIVIDUAL_STOCKS_CORE,VALIDATION,OPPOSING,1970,1936,984,952,32,2,50.82644628099174,968,49.13705583756345,1.703115409765632,1.5547507242268495,1.2235761594565098,1.1171662525482846,109,159
EXCLUDE_FIRST_20_SYMBOL_DAYS,DISCOVERY,ALIGNED,1008,986,534,452,0,22,54.15821501014199,488,48.41269841269841,1.4732081906745953,1.2534017887562348,1.0770146955442623,0.8731281315093249,101,111
EXCLUDE_FIRST_20_SYMBOL_DAYS,DISCOVERY,OPPOSING,945,915,510,405,7,23,55.73770491803279,469,49.629629629629626,1.4373916088730083,1.3128933779474126,1.0425833577784265,0.8365281398558567,103,109
EXCLUDE_FIRST_20_SYMBOL_DAYS,VALIDATION,ALIGNED,2049,2000,958,1042,34,15,47.9,933,45.534407027818446,1.6600427334937586,1.5650388467366003,1.1494252873563149,1.1341977745872165,112,159
EXCLUDE_FIRST_20_SYMBOL_DAYS,VALIDATION,OPPOSING,2064,2020,1031,989,32,12,51.039603960396036,1018,49.32170542635659,1.680626562523329,1.5370083709856268,1.207316992945008,1.0975471763466969,112,159
