quarter,opening_participation_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q2,BOTH_ABOVE_BASELINE,192,191,94,97,0,1,49.21465968586387,43.75,1.3518740120730623,1.1616706685572813,0.886872557440614,0.9335273050619446,92,15
2025Q2,BOTH_BELOW_BASELINE,102,101,47,54,0,1,46.53465346534654,41.1764705882353,1.0580440220030927,1.3488504276212,0.8196457687849292,0.9376928807334395,64,14
2025Q2,MIXED,145,143,71,72,0,2,49.65034965034965,47.58620689655172,1.0951318904169087,1.089747849041373,0.8954347506972709,0.8121862638506483,81,15
2025Q2,UNKNOWN,250,243,146,97,0,7,60.08230452674897,62.0,1.1542563339256235,1.1466857624234583,0.8411237546242518,0.9015394607522056,99,13
2025Q3,BOTH_ABOVE_BASELINE,609,594,272,322,8,7,45.79124579124579,40.558292282430216,1.2277679870445681,1.4295859811039042,0.9142284631882025,1.0675721146492771,111,64
2025Q3,BOTH_BELOW_BASELINE,482,473,230,243,0,9,48.625792811839325,42.738589211618255,1.089913493802813,1.1785630984719258,0.7955574242517794,0.8083533231954827,106,62
2025Q3,MIXED,532,521,240,281,1,10,46.06525911708253,43.421052631578945,1.125842464601449,1.0954197433404331,0.8026200014414857,0.8414384457174441,111,64
2025Q3,UNKNOWN,2,2,1,1,0,0,50.0,50.0,0.9115295874358653,0.5812708797445778,0.9115295874358653,0.5812708797445778,1,2
2025Q4,BOTH_ABOVE_BASELINE,586,578,291,287,4,4,50.346020761245676,45.73378839590443,1.5697555775252214,1.5183430404569334,1.098460231885435,1.1270879505974873,110,63
2025Q4,BOTH_BELOW_BASELINE,566,535,280,255,0,31,52.33644859813084,49.11660777385159,1.1936918758298953,1.1297176696695508,0.8229464640990605,0.7245639934177401,109,62
2025Q4,MIXED,549,539,297,242,1,9,55.10204081632653,48.08743169398907,1.3969126491144281,1.2019838109947714,1.0184804928131375,0.7650323275861984,111,64
2025Q4,UNKNOWN,1,1,0,1,0,0,0.0,100.0,1.5565135695200614,1.1187441280925354,1.5565135695200614,1.1187441280925354,1,1
2026Q1,BOTH_ABOVE_BASELINE,641,629,325,304,11,1,51.669316375198726,47.737909516380654,1.859946550189053,1.5362390999944366,1.3821610798940684,1.114890400604693,112,61
2026Q1,BOTH_BELOW_BASELINE,428,419,199,220,6,3,47.49403341288783,48.13084112149533,1.4550099553085685,1.429759378093897,1.0399247107690028,1.1059012012870126,107,59
2026Q1,MIXED,500,493,286,207,7,0,58.012170385395535,46.0,1.565030087849113,1.3545922140445676,1.2109924516408817,0.9872869482126765,111,61
2026Q2,BOTH_ABOVE_BASELINE,624,612,315,297,10,2,51.470588235294116,49.51923076923077,1.901576992234663,1.7021869484244085,1.315544765239523,1.1809350952181443,112,62
2026Q2,BOTH_BELOW_BASELINE,480,466,229,237,6,8,49.141630901287556,47.5,1.6436661456038721,1.5760238757704068,1.1694086174676837,1.0678231773735336,109,60
2026Q2,MIXED,523,515,255,260,6,2,49.51456310679612,46.08030592734226,1.7044032211891416,1.4357096796826416,1.1833006693044368,1.0188846824116071,110,62
2026Q3,BOTH_ABOVE_BASELINE,379,363,168,195,12,4,46.28099173553719,46.17414248021108,1.8455121852254992,1.681274679988223,1.2496207001186257,1.210038693670196,110,46
2026Q3,BOTH_BELOW_BASELINE,398,391,178,213,3,4,45.52429667519181,47.23618090452261,1.3968273621650376,1.495214245438146,0.9510923586985573,1.0767673258231107,104,46
2026Q3,MIXED,468,456,224,232,8,4,49.12280701754386,49.572649572649574,1.5973500163688066,1.5078337881054358,1.1646622151490678,1.0912621039747976,110,46
