research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,BELOW_BASELINE,899,875,418,457,15,9,47.77142857142857,45.16129032258065,1.5599142305129698,1.486645899797466,1.086244940159712,1.0925714285714223,112,159,BULL,c2_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,2112,2080,1044,1036,12,20,50.19230769230769,44.74431818181818,1.4046919945715566,1.3304858903780423,0.9997515401194134,0.9927988841456097,112,151,ALL,opening_2m_rvol_20d_state
DISCOVERY,BELOW_BASELINE,1906,1850,942,908,2,54,50.91891891891892,46.27492130115425,1.1893036902518581,1.156855742881257,0.8356464608688338,0.7843730766404862,112,151,ALL,opening_2m_rvol_20d_state
DISCOVERY,UNKNOWN,254,247,148,99,0,7,59.91902834008097,62.20472440944882,1.1514033613052566,1.1422728788071097,0.8411237546242518,0.9203012373912729,100,16,ALL,opening_2m_rvol_20d_state
VALIDATION,ABOVE_BASELINE,2162,2108,1055,1053,46,8,50.04743833017078,46.9472710453284,1.7813843565800072,1.6151106436526756,1.2732534259797874,1.1627364314706816,112,161,ALL,opening_2m_rvol_20d_state
VALIDATION,BELOW_BASELINE,2023,1980,959,1021,23,20,48.43434343434343,47.503707365299064,1.5534715141112558,1.484229397235366,1.0996766543340843,1.0752322297458123,112,160,ALL,opening_2m_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1060,1039,508,531,10,11,48.893166506256016,43.20754716981132,1.4291455332489738,1.3829845710809847,1.0356077659936394,1.0423135626095004,112,149,BEAR,opening_2m_rvol_20d_state
DISCOVERY,BELOW_BASELINE,961,936,461,475,1,24,49.25213675213675,45.681581685744014,1.214318698793371,1.1580437533778516,0.8532110091743181,0.801255845897258,112,147,BEAR,opening_2m_rvol_20d_state
DISCOVERY,UNKNOWN,151,148,84,64,0,3,56.75675675675676,62.25165562913907,1.0290127637822317,1.1762694981090995,0.711703569814726,0.9726443768996944,86,14,BEAR,opening_2m_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1052,1041,536,505,2,9,51.48895292987512,46.29277566539924,1.38005249742511,1.2775879801640508,0.977862024582383,0.9253065448684663,112,148,BULL,opening_2m_rvol_20d_state
