quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature,feature_label
2026Q1,LOW,221,216,111,105,2,3,51.388888888888886,99,44.796380090497735,1.112184862512426,1.3275602945079719,0.8882334785143439,1.000722170638604,86,56,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q1,MODERATE,859,855,458,397,3,1,53.567251461988306,406,47.26426076833528,1.4368093214278819,1.2963906974866406,1.1175898931000934,0.9703875839589543,112,61,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,EXTREME,574,558,277,281,16,0,49.6415770609319,262,45.64459930313589,2.225915134784857,2.103413150748792,1.6833998618522568,1.5284664861845876,102,62,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,LOW,204,193,95,98,1,10,49.22279792746114,103,50.490196078431374,1.1870040241488184,1.130200297420722,0.8182229632345959,0.7851209346013883,77,59,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q2,MODERATE,849,842,427,415,5,2,50.712589073634206,413,48.6454652532391,1.5867168073419813,1.3328766424699812,1.0961727643228572,0.973487986743991,112,62,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,EXTREME,403,386,179,207,17,0,46.373056994818654,196,48.635235732009924,2.0045863726435957,2.048267112117517,1.4479839607930498,1.5011178537208674,99,41,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,LOW,148,141,64,77,1,6,45.39007092198582,77,52.027027027027025,1.099586987912912,1.0706073311917814,0.5684907930554239,0.7180711319158151,69,39,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2026Q3,MODERATE,544,536,257,279,3,5,47.94776119402985,251,46.13970588235294,1.4647890992047619,1.3866170689446378,1.0634622388478752,1.0825319415508052,110,41,ALL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,EXTREME,70,70,41,29,0,0,58.57142857142857,46,65.71428571428571,1.5815606016406814,1.615979839640242,1.0960910586872934,1.210236762240028,43,21,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,LOW,73,68,30,38,0,5,44.11764705882353,39,53.42465753424658,0.739087777407162,0.9892625205890957,0.5407283545788202,0.9535838332807195,53,24,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,MODERATE,232,230,115,115,0,2,50.0,113,48.706896551724135,1.0101766913634869,1.2194362694719365,0.7306859352503607,0.9696078893641595,96,25,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,EXTREME,68,68,35,33,0,0,51.470588235294116,29,42.64705882352941,1.5708561929916474,1.4855017688118595,1.314685695151122,1.0637411544834205,43,20,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,LOW,65,63,38,25,0,2,60.317460317460316,32,49.23076923076923,0.9049674645639041,0.8393094024356618,0.6813958290315885,0.5824455339698397,45,24,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q2,MODERATE,181,179,99,80,0,2,55.3072625698324,91,50.27624309392265,1.3821754672498114,1.0027358672065716,1.0503984269895483,0.6779437899032457,86,23,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q3,EXTREME,194,188,77,111,6,0,40.95744680851064,69,35.56701030927835,1.4042277459222179,2.025283741643629,0.9497362939239422,1.5434588258754673,73,54,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q3,LOW,167,154,66,88,1,12,42.857142857142854,70,41.91616766467066,0.778734929747787,0.9604525367177396,0.6037827525348191,0.7724132017634704,73,60,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q3,MODERATE,494,491,222,269,1,2,45.21384928716904,194,39.27125506072875,1.0882892119152272,1.1215832930890306,0.8596275739524066,0.8389697665381721,108,64,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q3,EXTREME,159,158,75,83,1,0,47.46835443037975,70,44.0251572327044,1.636209921270512,1.5503397784641653,1.149846534426689,1.1465336134453743,72,59,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q3,LOW,146,140,68,72,0,6,48.57142857142857,77,52.73972602739726,0.8711665755533914,1.0400540238028528,0.6983390090422068,0.7960428903489234,80,56,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q3,MODERATE,465,459,235,224,0,6,51.19825708061002,205,44.086021505376344,1.1750296221295073,1.11160525295617,0.8859891853468945,0.8274319253343712,107,64,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q4,EXTREME,140,137,67,70,3,0,48.90510948905109,62,44.285714285714285,2.1199379114569616,1.7902333743141792,1.6301427398084125,1.3789630114890121,71,47,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q4,LOW,175,163,88,75,0,12,53.987730061349694,78,44.57142857142857,1.159619772134452,0.9416643426973809,0.7786885245901547,0.6058409151588501,77,58,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q4,MODERATE,499,494,265,229,0,5,53.64372469635627,244,48.897795591182366,1.5423376409463043,1.246091633279524,1.1288611643260866,0.8826145460350645,108,64,BEAR,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
2025Q4,EXTREME,157,154,70,84,2,1,45.45454545454545,66,42.038216560509554,1.678008296653864,1.9054882267369595,1.1386470194239764,1.4356899019931813,72,55,BULL,c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE
