research_period,exhaustion_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
DISCOVERY,MULTIPLE,865,850,413,437,13,2,48.588235294117645,384,44.39306358381503,1.6783639985847223,1.6742247599320905,1.1700035596118246,1.2473758726748905,108,156,ALL
DISCOVERY,NONE,2585,2517,1320,1197,1,67,52.44338498212157,1240,47.969052224371374,1.1903238999608516,1.1322106731728776,0.8644317942230733,0.7981825996193354,112,158,ALL
DISCOVERY,ONE,723,711,347,364,0,12,48.80450070323488,307,42.46196403872752,1.1786478937890366,1.1228575758756878,0.8186584777808774,0.8423586040914595,111,156,ALL
VALIDATION,MULTIPLE,1371,1323,642,681,48,0,48.52607709750567,648,47.264770240700216,2.0904024425766226,1.9484795887450763,1.54392021480629,1.4208979757661677,109,159,ALL
VALIDATION,NONE,2095,2063,1037,1026,11,21,50.26660203587009,1026,48.97374701670645,1.421302937137912,1.324762822370028,1.017504622504684,0.9875163033351987,112,159,ALL
VALIDATION,ONE,668,654,319,335,8,6,48.776758409785934,285,42.66467065868263,1.5868037407040931,1.4465176742480874,1.1347971589371668,1.0590881284623057,111,157,ALL
DISCOVERY,MULTIPLE,442,432,212,220,10,0,49.074074074074076,200,45.248868778280546,1.7187899321030422,1.7480666967012288,1.234449363540949,1.3401984239337896,101,129,BEAR
DISCOVERY,NONE,1300,1268,638,630,1,31,50.31545741324921,601,46.23076923076923,1.1962731881903927,1.1533414219605602,0.8603014009209491,0.8289743747390781,110,158,BEAR
DISCOVERY,ONE,379,372,177,195,0,7,47.58064516129032,164,43.27176781002638,1.2022298550197354,1.1064306310728913,0.815252396989262,0.9032976551382836,109,142,BEAR
DISCOVERY,MULTIPLE,423,418,201,217,3,2,48.08612440191388,184,43.498817966903076,1.6361222429934759,1.5970660458612649,1.1395187413234606,1.150283168507268,101,139,BULL
DISCOVERY,NONE,1285,1249,682,567,0,36,54.60368294635708,639,49.72762645914397,1.1843051647869967,1.1108332619479844,0.8713720758764069,0.750828500414259,112,158,BULL
DISCOVERY,ONE,344,339,170,169,0,5,50.147492625368734,143,41.56976744186046,1.15266660510754,1.1409558668066755,0.8282020292676623,0.7805434202991428,106,127,BULL
VALIDATION,MULTIPLE,655,638,315,323,17,0,49.373040752351095,310,47.32824427480916,2.005197313426219,1.9735958524435087,1.4671288844868173,1.4411845373678907,107,152,BEAR
VALIDATION,NONE,1045,1027,527,500,6,12,51.314508276533594,521,49.856459330143544,1.4225014102653781,1.2955270104091754,1.064187296964269,0.9814867274333016,112,158,BEAR
VALIDATION,ONE,316,312,152,160,1,3,48.717948717948715,135,42.721518987341774,1.570684305578958,1.5373021504959068,1.0143591194324064,1.130346031207352,104,136,BEAR
VALIDATION,MULTIPLE,716,685,327,358,31,0,47.737226277372265,338,47.20670391061452,2.1683484755284588,1.9255031184622926,1.6146680580894668,1.3989534151994218,107,157,BULL
VALIDATION,NONE,1050,1036,510,526,5,9,49.22779922779923,505,48.095238095238095,1.4201101710253388,1.3538594161786863,0.97288705202606,0.9894121820834398,112,159,BULL
VALIDATION,ONE,352,342,167,175,7,3,48.83040935672515,150,42.61363636363637,1.6012745972368847,1.365017973980159,1.1973161164802992,0.9547863537139795,110,140,BULL
