feature,feature_label,discovery_q20,discovery_q80,discovery_n
c2_favorable_vwap_distance_pct,C2_VWAP_DISTANCE,0.08901697097122076,0.41001184733928886,4173
c2_favorable_body_return_pct,C2_BODY_RETURN,0.06700333904211099,0.4245561715088967,4173
c1_to_c2_close_progress_pct,C1_TO_C2_PROGRESS,0.03956836811495561,0.4056649239275694,4173
c2_favorable_clv_pct,C2_FAVORABLE_CLV,61.34004914005313,96.87322190611462,4173
