research_period,level_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,level_feature,context_feature
VALIDATION,NONE_CLEARED,CONSENSUS_ALIGNED,592,573,258,315,11,8,45.026178010471206,46.62162162162162,1.5267007192020696,1.601165537969738,1.0092473647721003,1.1227945224419429,110,134,session_level_clear_state,market_prior_5d_consensus
VALIDATION,NONE_CLEARED,CONSENSUS_OPPOSING,629,616,318,298,4,9,51.62337662337662,47.85373608903021,1.74077658565919,1.5247471691578962,1.3110161272942837,1.095374609558856,110,130,session_level_clear_state,market_prior_5d_consensus
VALIDATION,NONE_CLEARED,MIXED,97,96,51,45,1,0,53.125,54.63917525773196,1.9132618169996314,1.2655022996401255,1.2998049326921146,0.9882023824945954,61,13,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ONE_OF_3_CLEARED,CONSENSUS_ALIGNED,327,320,154,166,4,3,48.125,43.730886850152906,1.4598745360510812,1.5240128720811057,1.0833545755799063,1.0645315378841314,104,126,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ONE_OF_3_CLEARED,CONSENSUS_OPPOSING,341,331,158,173,8,2,47.73413897280967,46.9208211143695,1.8025524733799232,1.6509935681527839,1.2180899208761344,1.141360501718048,106,125,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ONE_OF_3_CLEARED,MIXED,58,58,23,35,0,0,39.6551724137931,53.44827586206897,1.3272504121535666,1.440837117183789,1.1807524967747611,1.0906707217154308,49,13,session_level_clear_state,market_prior_5d_consensus
VALIDATION,TWO_OF_3_CLEARED,CONSENSUS_ALIGNED,542,532,240,292,9,1,45.11278195488722,46.309963099631,1.632561758203992,1.490835407579957,1.0879482284279103,1.1398276918135195,111,139,session_level_clear_state,market_prior_5d_consensus
VALIDATION,TWO_OF_3_CLEARED,CONSENSUS_OPPOSING,451,438,243,195,11,2,55.47945205479452,51.6629711751663,1.8221944470919373,1.4473305598432626,1.2974199595481206,1.045348253659783,112,132,session_level_clear_state,market_prior_5d_consensus
VALIDATION,TWO_OF_3_CLEARED,MIXED,96,94,45,49,2,0,47.87234042553192,45.833333333333336,1.2415579543157216,1.7895478409634336,0.7491400026743709,1.4142618838646561,66,13,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,OTHER,771,757,411,346,3,11,54.29326287978864,44.617380025940335,1.4033181038808757,1.28400384596639,1.0328638497652591,0.9436509628366356,111,149,session_level_clear_state,positive_candidate_state
DISCOVERY,ALL_3_CLEARED,POSITIVE_CANDIDATE,135,129,75,54,6,0,58.13953488372093,48.148148148148145,1.4560869904154174,1.6038484473702053,1.1779617539659466,0.9955041746949183,71,76,session_level_clear_state,positive_candidate_state
DISCOVERY,INCOMPLETE,OTHER,109,106,44,62,0,3,41.509433962264154,34.862385321100916,0.8339321107418429,1.2104116336235706,0.4873006497341971,0.963232477977781,55,60,session_level_clear_state,positive_candidate_state
DISCOVERY,INCOMPLETE,POSITIVE_CANDIDATE,14,14,6,8,0,0,42.857142857142854,42.857142857142854,1.0248195587728846,1.1404124511404603,0.7357340480518935,0.8400367651832232,12,13,session_level_clear_state,positive_candidate_state
DISCOVERY,NONE_CLEARED,OTHER,900,870,428,442,1,29,49.195402298850574,47.0,1.224247039732953,1.1862626569799881,0.8644153575446605,0.8140906341657139,111,156,session_level_clear_state,positive_candidate_state
DISCOVERY,NONE_CLEARED,POSITIVE_CANDIDATE,254,252,126,126,0,2,50.0,51.181102362204726,1.3470068643919062,1.29020757207924,0.9369004836108441,0.9012455391596377,87,110,session_level_clear_state,positive_candidate_state
DISCOVERY,ONE_OF_3_CLEARED,OTHER,658,638,336,302,1,19,52.66457680250784,47.11246200607903,1.2973400468603897,1.170702310161219,0.8749810224330712,0.7956020690849412,109,156,session_level_clear_state,positive_candidate_state
DISCOVERY,ONE_OF_3_CLEARED,POSITIVE_CANDIDATE,193,192,96,96,0,1,50.0,49.740932642487046,1.2915297248124828,1.4441323123454435,0.9217245339694379,1.0164424514200279,90,102,session_level_clear_state,positive_candidate_state
DISCOVERY,TWO_OF_3_CLEARED,OTHER,890,878,439,439,1,11,50.0,45.95505617977528,1.2230972785441647,1.200026343148494,0.8942474308807369,0.877769558223286,111,154,session_level_clear_state,positive_candidate_state
DISCOVERY,TWO_OF_3_CLEARED,POSITIVE_CANDIDATE,249,242,119,123,2,5,49.17355371900826,44.17670682730924,1.452710227910394,1.2851231745953398,0.9533678756476701,0.8651999467569393,91,112,session_level_clear_state,positive_candidate_state
VALIDATION,ALL_3_CLEARED,OTHER,868,852,429,423,14,2,50.352112676056336,45.6221198156682,1.6695559060954692,1.608379284548691,1.233838274483999,1.1597955743708432,111,157,session_level_clear_state,positive_candidate_state
VALIDATION,ALL_3_CLEARED,POSITIVE_CANDIDATE,112,109,70,39,3,0,64.22018348623853,56.25,2.225944765202115,1.6158013523410628,1.7638843651391107,0.9918104379544697,66,61,session_level_clear_state,positive_candidate_state
VALIDATION,INCOMPLETE,OTHER,19,19,9,10,0,0,47.36842105263158,42.10526315789474,1.2668910092563568,1.2812060060211572,1.093249617441522,0.9939083039435659,8,19,session_level_clear_state,positive_candidate_state
VALIDATION,INCOMPLETE,POSITIVE_CANDIDATE,2,2,0,2,0,0,0.0,0.0,0.8928571428571428,2.218412543327051,0.8928571428571428,2.218412543327051,1,2,session_level_clear_state,positive_candidate_state
VALIDATION,NONE_CLEARED,OTHER,1049,1017,477,540,15,17,46.902654867256636,46.61582459485224,1.5486820274402338,1.4768259247327622,1.05348234441627,1.058249746940283,111,158,session_level_clear_state,positive_candidate_state
VALIDATION,NONE_CLEARED,POSITIVE_CANDIDATE,269,268,150,118,1,0,55.97014925373134,52.41635687732342,2.0809451584067467,1.7863170851257477,1.598730778618504,1.3359667592092404,83,101,session_level_clear_state,positive_candidate_state
VALIDATION,ONE_OF_3_CLEARED,OTHER,582,572,264,308,6,4,46.15384615384615,45.18900343642612,1.5010008461096844,1.5306109744530991,1.0848800159885283,1.0709404763197057,112,155,session_level_clear_state,positive_candidate_state
VALIDATION,ONE_OF_3_CLEARED,POSITIVE_CANDIDATE,144,137,71,66,6,1,51.824817518248175,49.30555555555556,2.051718042918944,1.764541538719283,1.43334487627852,1.2250454455873374,77,79,session_level_clear_state,positive_candidate_state
VALIDATION,TWO_OF_3_CLEARED,OTHER,899,883,432,451,14,2,48.924122310305776,48.60956618464961,1.6111188947420891,1.509032485255197,1.0780885780885776,1.1308547840267262,112,157,session_level_clear_state,positive_candidate_state
VALIDATION,TWO_OF_3_CLEARED,POSITIVE_CANDIDATE,190,181,96,85,8,1,53.03867403314917,47.89473684210526,1.9865886622431501,1.4523961151879767,1.4626938396363023,1.1366118584811868,83,90,session_level_clear_state,positive_candidate_state
DISCOVERY,ALL_3_CLEARED,NEGATIVE_CANDIDATE,57,57,34,23,0,0,59.64912280701754,45.6140350877193,1.2011089361482374,1.1719209974761533,0.9761191029627436,0.9204784639868611,45,35,session_level_clear_state,negative_candidate_state
DISCOVERY,ALL_3_CLEARED,OTHER,849,829,452,377,9,11,54.523522316043426,45.111896348645466,1.4252847967465097,1.3423875250635142,1.062387876264962,0.9633911368015551,111,151,session_level_clear_state,negative_candidate_state
