research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,ALL_3_CLEARED,906,886,486,400,9,11,54.853273137697514,45.143487858719645,1.411181017437347,1.331662809751727,1.0611220359940883,0.957632706409191,111,151,session_level_clear_state
DISCOVERY,INCOMPLETE,123,120,50,70,0,3,41.666666666666664,35.77235772357724,0.855659137347002,1.202444246999477,0.5316578057032196,0.9388455437210584,57,69,session_level_clear_state
DISCOVERY,NONE_CLEARED,1154,1122,554,568,1,31,49.376114081996434,47.92027729636049,1.2512669664776446,1.2091413471318166,0.8802733120215591,0.8306686032865963,111,156,session_level_clear_state
DISCOVERY,ONE_OF_3_CLEARED,851,830,432,398,1,20,52.04819277108434,47.708578143360754,1.2960223122478798,1.2327140497870186,0.8901734104046197,0.8391406911206097,110,157,session_level_clear_state
DISCOVERY,TWO_OF_3_CLEARED,1139,1120,558,562,3,16,49.82142857142857,45.56628621597893,1.2732936125144818,1.218629601296224,0.9181799632728073,0.8758821087588149,112,157,session_level_clear_state
VALIDATION,ALL_3_CLEARED,980,961,499,462,17,2,51.925078043704474,46.83673469387755,1.733143204279086,1.6092275208678193,1.274266283581927,1.1576157469991242,111,158,session_level_clear_state
VALIDATION,INCOMPLETE,21,21,9,12,0,0,42.857142857142854,38.095238095238095,1.2312687362659556,1.3704637714788614,1.093249617441522,1.4666746404329674,8,20,session_level_clear_state
VALIDATION,NONE_CLEARED,1318,1285,627,658,16,17,48.793774319066145,47.79969650986343,1.657315397872701,1.5399921782575823,1.154548959733483,1.0983212656492651,112,159,session_level_clear_state
VALIDATION,ONE_OF_3_CLEARED,726,709,335,374,12,5,47.249647390691116,46.00550964187328,1.6102340091131742,1.5770104252166397,1.153171277003991,1.0975471763466969,112,158,session_level_clear_state
VALIDATION,TWO_OF_3_CLEARED,1089,1064,528,536,22,3,49.62406015037594,48.484848484848484,1.6766278532592624,1.4991510249128903,1.1318879855465176,1.1310822741583455,112,158,session_level_clear_state
DISCOVERY,MODERATE_CLUSTER,2484,2431,1253,1178,6,47,51.54257507198684,46.94041867954911,1.2380618782472481,1.1855951189459983,0.8994794644282027,0.8569305767237202,112,157,relevant_level_cluster_state
DISCOVERY,TIGHT_CLUSTER,829,794,421,373,1,34,53.022670025188916,45.71773220747889,0.997771814838914,0.9560358471254713,0.7625054283569238,0.6548629638612721,107,155,relevant_level_cluster_state
DISCOVERY,UNKNOWN,31,31,11,20,0,0,35.483870967741936,32.25806451612903,0.7866794512160007,1.3234698102829332,0.32563536325186376,1.1661461833418938,31,2,relevant_level_cluster_state
DISCOVERY,WIDE_CLUSTER,829,822,395,427,7,0,48.05352798053528,45.35585042219542,1.7539794503362363,1.6986676453602196,1.2481089258699012,1.2532411408815831,108,152,relevant_level_cluster_state
VALIDATION,MODERATE_CLUSTER,2274,2245,1090,1155,15,14,48.55233853006681,46.921723834652596,1.4278246521097537,1.3820851518822623,1.0455335093022229,1.0114127828476964,112,159,relevant_level_cluster_state
VALIDATION,TIGHT_CLUSTER,567,553,278,275,1,13,50.27124773960217,46.91358024691358,1.1824625397517035,1.1490225675456442,0.9017187121762339,0.852018827828647,107,151,relevant_level_cluster_state
VALIDATION,WIDE_CLUSTER,1293,1242,630,612,51,0,50.72463768115942,48.414539829853055,2.309533474037134,2.0252590906835164,1.6959109797924719,1.5295396882928696,111,159,relevant_level_cluster_state
DISCOVERY,AH,735,716,360,356,2,17,50.279329608938546,48.70748299319728,1.2416705353708397,1.2650764687019735,0.8864426419466982,0.8449648920425614,112,152,nearest_ahead_level
DISCOVERY,NONE_AHEAD,931,911,495,416,9,11,54.33589462129528,44.46831364124597,1.3922721778237737,1.3348147647911632,1.023641238118454,0.9620596205961975,111,153,nearest_ahead_level
DISCOVERY,PD,1082,1059,520,539,1,22,49.10292728989613,45.74861367837338,1.2223657799244554,1.1934233574928532,0.8376862383228507,0.872735506382497,112,157,nearest_ahead_level
