research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,level_family
DISCOVERY,CLEARED,2135,2093,1087,1006,10,32,51.93502150023889,45.667447306791566,1.315841090425737,1.2575043370067887,0.9499208399300062,0.9140331913270171,112,158,PM
DISCOVERY,FAR_AHEAD,392,386,197,189,4,2,51.03626943005181,52.295918367346935,1.802521905440587,1.6850560947159914,1.3146113171326197,1.1515920997441924,95,136,PM
DISCOVERY,MID_AHEAD,1176,1146,571,575,0,30,49.825479930191975,45.66326530612245,1.1749142119947718,1.154467033893714,0.8537089503049191,0.824573016554547,111,158,PM
DISCOVERY,NEAR_AHEAD,392,376,192,184,0,16,51.06382978723404,47.19387755102041,1.0528839669790782,1.0017568085785644,0.7095723685482798,0.6961806177529526,107,142,PM
DISCOVERY,UNKNOWN,78,77,33,44,0,1,42.857142857142854,37.17948717948718,0.905072102958348,1.1684536588628365,0.6243656332940486,0.9304641647573231,24,65,PM
VALIDATION,CLEARED,2002,1966,981,985,31,5,49.89827060020346,46.25374625374625,1.6842224288963523,1.5666418932402406,1.1912985864563488,1.1342239889194423,112,159,PM
VALIDATION,FAR_AHEAD,754,724,339,385,26,4,46.8232044198895,47.87798408488064,2.056418065116296,1.9250106243535945,1.4382853596167289,1.4810716768803984,105,155,PM
VALIDATION,MID_AHEAD,1072,1054,522,532,8,10,49.52561669829222,48.134328358208954,1.469335155527422,1.3807140794947241,1.047506171924321,1.001183416955719,112,159,PM
VALIDATION,NEAR_AHEAD,285,275,147,128,2,8,53.45454545454545,51.92982456140351,1.3341047260759415,1.1096039367840667,1.0136246955834871,0.8172214470799357,96,128,PM
VALIDATION,UNKNOWN,21,21,9,12,0,0,42.857142857142854,38.095238095238095,1.2312687362659556,1.3704637714788614,1.093249617441522,1.4666746404329674,8,20,PM
DISCOVERY,CLEARED,2555,2502,1297,1205,12,41,51.838529176658675,45.44031311154599,1.3050735816786243,1.2522548360317762,0.9434889434889373,0.9045086699811257,112,157,AH
DISCOVERY,FAR_AHEAD,315,312,154,158,1,2,49.35897435897436,51.42857142857143,1.830025529425141,1.7034315062665084,1.2727324963369457,1.068941115125332,84,116,AH
DISCOVERY,MID_AHEAD,942,912,454,458,1,29,49.780701754385966,45.11677282377919,1.1754409623299493,1.1415233449959776,0.8344998670822379,0.7897901671206293,111,155,AH
DISCOVERY,NEAR_AHEAD,315,308,158,150,0,7,51.298701298701296,53.333333333333336,1.0380327261529145,1.0050931509434347,0.7741251325556776,0.7650323275861984,101,133,AH
DISCOVERY,UNKNOWN,46,44,17,27,0,2,38.63636363636363,32.608695652173914,0.7775615037668473,1.2779058865812576,0.3574736029350609,1.1117020747011002,43,5,AH
VALIDATION,CLEARED,2495,2442,1231,1211,44,9,50.40950040950041,47.69539078156313,1.6674039548087758,1.548175699453582,1.1922334506642411,1.1308094278369807,112,159,AH
VALIDATION,FAR_AHEAD,570,554,275,279,16,0,49.63898916967509,47.19298245614035,2.3252141896132206,1.9078809752259702,1.751440338202074,1.438131882737152,101,144,AH
VALIDATION,MID_AHEAD,828,807,383,424,7,14,47.459727385377946,48.18840579710145,1.348736710536949,1.394649503786098,0.9471547372301992,0.9930098011587098,112,157,AH
VALIDATION,NEAR_AHEAD,241,237,109,128,0,4,45.9915611814346,41.90871369294606,1.2500304946671552,1.278245312373662,0.8682275401453434,0.9458451126081154,98,123,AH
DISCOVERY,CLEARED,1244,1217,655,562,12,15,53.82087099424815,45.01607717041801,1.4136792239159766,1.3438669154307252,1.0585624590950897,0.9450540264296649,112,156,PD
DISCOVERY,FAR_AHEAD,580,578,283,295,1,1,48.96193771626297,47.93103448275862,1.6904594205945396,1.5987931447981372,1.20616857442704,1.1473175278563938,102,144,PD
DISCOVERY,MID_AHEAD,1739,1691,847,844,1,47,50.08870490833826,45.77343300747556,1.1798109617061316,1.1091453184510593,0.8336398185607539,0.7930828861061494,112,157,PD
DISCOVERY,NEAR_AHEAD,580,562,284,278,0,18,50.5338078291815,49.48275862068966,0.9773969013852375,1.068820187862874,0.7027250165826499,0.7656502371085897,110,150,PD
DISCOVERY,UNKNOWN,30,30,11,19,0,0,36.666666666666664,33.333333333333336,0.775656122578373,1.3001716775222494,0.31786590528605135,1.1117020747011002,30,1,PD
VALIDATION,CLEARED,1365,1330,682,648,32,3,51.278195488721806,48.205128205128204,1.7577927529707291,1.5904517526539097,1.2496207001186257,1.1529717440727523,112,159,PD
VALIDATION,FAR_AHEAD,900,879,427,452,21,0,48.57792946530148,47.111111111111114,2.135126310891221,1.9382372416439504,1.6001132959835056,1.4348287208795183,111,157,PD
VALIDATION,MID_AHEAD,1436,1410,694,716,10,16,49.219858156028366,47.63231197771588,1.3967795430281233,1.3611970010556376,1.0118978813869999,0.9911395647944331,112,158,PD
VALIDATION,NEAR_AHEAD,433,421,195,226,4,8,46.318289786223275,44.57274826789838,1.332055633882867,1.253945455114072,0.9036532029843074,0.9367681498829118,103,144,PD
