feature,available_n,coverage_pct
pmh,8208,98.80823401950163
pml,8208,98.80823401950163
ahh,8261,99.4462501504755
ahl,8261,99.4462501504755
pdh,8277,99.63885879378837
pdl,8277,99.63885879378837
pm_directional_level,8208,98.80823401950163
ah_directional_level,8261,99.4462501504755
pd_directional_level,8277,99.63885879378837
pm_directional_distance_pct,8208,98.80823401950163
ah_directional_distance_pct,8261,99.4462501504755
pd_directional_distance_pct,8277,99.63885879378837
relevant_level_cluster_span_pct,8276,99.62682075358131
nearest_ahead_level_distance_pct,6390,76.92307692307692
