research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,OTHER,3328,3249,1658,1591,6,73,51.0310864881502,45.79326923076923,1.2670930056073066,1.2103016196139686,0.88995209754488,0.874339425891099,112,158,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,845,829,422,407,8,8,50.90470446320869,48.16568047337278,1.3775728339916486,1.3714925973680252,0.9631240589823935,0.9194302721088381,108,145,positive_candidate_state
VALIDATION,OTHER,3417,3343,1611,1732,49,25,48.19024827998803,46.6198419666374,1.5861256310390743,1.5267902603229324,1.1160483620956891,1.1018609950626583,112,159,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,717,697,387,310,18,2,55.52367288378766,51.04602510460251,2.069407279785624,1.668026660960909,1.5724843029393805,1.2179585180655284,107,143,positive_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,229,222,123,99,0,7,55.4054054054054,44.10480349344978,1.2549186666634582,1.0843862768368164,0.947700947700928,0.7253232418795309,92,98,negative_candidate_state
DISCOVERY,OTHER,3944,3856,1957,1899,14,74,50.75207468879668,46.39959432048681,1.2914701299995255,1.252147712336622,0.9094316190139848,0.8897808873518727,112,158,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,227,224,85,139,1,2,37.94642857142857,36.563876651982376,1.146739209943934,1.4413455951868563,0.8288488897136164,1.1372053505293946,87,83,negative_candidate_state
VALIDATION,OTHER,3907,3816,1913,1903,66,25,50.13102725366876,48.01638085487586,1.7003446378831681,1.5576739148515524,1.2017619458010242,1.1164219031500793,112,159,negative_candidate_state
DISCOVERY,NEGATIVE_ONLY,229,222,123,99,0,7,55.4054054054054,44.10480349344978,1.2549186666634582,1.0843862768368164,0.947700947700928,0.7253232418795309,92,98,combined_candidate_state
DISCOVERY,NEITHER,3099,3027,1535,1492,6,66,50.710274198876775,45.918038076798965,1.267992626006836,1.2196061092867558,0.8872282783149041,0.879657007687757,112,158,combined_candidate_state
DISCOVERY,POSITIVE_ONLY,845,829,422,407,8,8,50.90470446320869,48.16568047337278,1.3775728339916486,1.3714925973680252,0.9631240589823935,0.9194302721088381,108,145,combined_candidate_state
VALIDATION,NEGATIVE_ONLY,227,224,85,139,1,2,37.94642857142857,36.563876651982376,1.146739209943934,1.4413455951868563,0.8288488897136164,1.1372053505293946,87,83,combined_candidate_state
VALIDATION,NEITHER,3190,3119,1526,1593,48,23,48.92593780057711,47.33542319749216,1.6173923136687287,1.5328704919799512,1.1411449707067636,1.0977611128953724,112,159,combined_candidate_state
VALIDATION,POSITIVE_ONLY,717,697,387,310,18,2,55.52367288378766,51.04602510460251,2.069407279785624,1.668026660960909,1.5724843029393805,1.2179585180655284,107,143,combined_candidate_state
