research_period,candidate_state,aligned_exhaustion_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,OTHER,MULTIPLE,884,872,414,458,1,11,47.477064220183486,43.665158371040725,1.5377585643757943,1.449919876874892,1.0781609535965226,1.071619317392389,107,150,positive_candidate_state
DISCOVERY,OTHER,NONE,1842,1780,955,825,4,58,53.651685393258425,47.50271444082519,1.1228763770573136,1.047335459611725,0.8304350418061472,0.7696524883223765,112,158,positive_candidate_state
DISCOVERY,OTHER,ONE,602,597,289,308,1,4,48.40871021775544,43.68770764119601,1.3109114040088747,1.3570809008523013,0.8994794644282027,0.9737592517041267,109,153,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,MULTIPLE,17,17,7,10,0,0,41.1764705882353,47.05882352941177,1.867882104624692,1.9208591687054262,1.4456791455388969,1.3164687661331884,12,16,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,NONE,752,738,381,357,6,8,51.6260162601626,48.537234042553195,1.3852875914407996,1.312346584666946,0.9489187532983346,0.8817007620877775,108,145,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,ONE,76,74,34,40,2,0,45.945945945945944,44.73684210526316,1.1915628971163437,1.8338422005058643,0.8917278806297071,1.284889506150066,38,52,positive_candidate_state
VALIDATION,OTHER,MULTIPLE,1163,1137,537,600,25,1,47.229551451187334,45.485812553740324,1.9474203458814294,1.7615918090398213,1.353965183752411,1.2608875985068404,112,157,positive_candidate_state
VALIDATION,OTHER,NONE,1584,1547,749,798,15,22,48.41628959276018,47.85353535353536,1.3009124839823871,1.3476209032318933,0.9445374814061015,0.9837747579750555,112,159,positive_candidate_state
VALIDATION,OTHER,ONE,670,659,325,334,9,2,49.317147192716234,45.67164179104478,1.633277678167633,1.5428052759564599,1.1877670599843388,1.179164669607824,112,154,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,MULTIPLE,31,29,16,13,2,0,55.172413793103445,54.83870967741935,3.2371811554464203,2.104023200839577,2.598770011246982,1.6377236629650342,23,21,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,NONE,595,579,320,259,14,2,55.26770293609672,49.91596638655462,1.9232485913815334,1.6300614172300532,1.4643265136566586,1.1911325392323653,106,141,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,ONE,91,89,51,38,2,0,57.30337078651685,57.142857142857146,2.6272471639059445,1.7677346530886051,2.324383017097005,1.435873015873021,47,62,positive_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,MULTIPLE,29,28,13,15,0,1,46.42857142857143,51.724137931034484,1.5402893209726851,1.0043253452521064,1.2296552398969434,0.8760498117578905,27,23,negative_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,NONE,153,147,87,60,0,6,59.183673469387756,43.790849673202615,1.18482953171406,0.971767571478129,0.9220974056862606,0.6189875070735321,72,76,negative_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,ONE,47,47,23,24,0,0,48.93617021276596,40.42553191489362,1.3070014043717622,1.5003954031311952,0.8874397504961711,1.1732862524200067,36,37,negative_candidate_state
DISCOVERY,OTHER,MULTIPLE,872,861,408,453,1,10,47.386759581881535,43.46330275229358,1.544110294012172,1.4739201169874836,1.0898913905698207,1.079555585049329,107,150,negative_candidate_state
DISCOVERY,OTHER,NONE,2441,2371,1249,1122,10,60,52.67819485449178,48.0540761982794,1.1998343453301115,1.1337140966153982,0.8655172413793072,0.8156703977137439,112,158,negative_candidate_state
DISCOVERY,OTHER,ONE,631,624,300,324,3,4,48.07692307692308,44.05705229793978,1.2968278595700664,1.4038290421622268,0.9004147978282069,0.994837918553832,110,152,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,MULTIPLE,47,47,20,27,0,0,42.5531914893617,40.42553191489362,1.0685418035922412,1.577234355100781,0.8704443208815548,1.1774967291757505,37,26,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,NONE,117,114,44,70,1,2,38.59649122807018,36.75213675213675,1.1586885763252117,1.3021075095520398,0.7538635506973268,1.0309278350515556,60,65,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,ONE,63,63,21,42,0,0,33.333333333333336,33.333333333333336,1.1828852771172678,1.5985532825411286,1.0211358921161935,1.3420787083753767,48,44,negative_candidate_state
VALIDATION,OTHER,MULTIPLE,1147,1119,533,586,27,1,47.63181411974978,45.945945945945944,2.018292077864085,1.7784010274190083,1.4109186485845215,1.270417422867519,112,157,negative_candidate_state
VALIDATION,OTHER,NONE,2062,2012,1025,987,28,22,50.94433399602386,49.078564500484966,1.488560486454929,1.4317029463402577,1.0854889493621385,1.0343358856734328,112,159,negative_candidate_state
VALIDATION,OTHER,ONE,698,685,355,330,11,2,51.824817518248175,48.28080229226361,1.8035154209589788,1.5670981826959887,1.3066728225974213,1.1974842376725086,112,155,negative_candidate_state
