symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
AAPL,13,12,5,7,0,1,41.666666666666664,38.46153846153846,1.0505367493072788,1.0580569849707613,0.5468045509487582,0.7262709742048504,1,13,positive_candidate_state,POSITIVE_CANDIDATE
ABBV,8,8,4,4,0,0,50.0,50.0,0.6277683037707216,1.1138102630882771,0.6420201956142891,1.417177695684758,1,8,positive_candidate_state,POSITIVE_CANDIDATE
ABNB,9,9,4,5,0,0,44.44444444444444,22.22222222222222,1.5108712838124985,1.0311866811931283,1.3145003265839317,0.8313447771534017,1,9,positive_candidate_state,POSITIVE_CANDIDATE
ADBE,14,13,7,6,1,0,53.84615384615385,71.42857142857143,1.6704645977580845,1.4806818057112365,1.7658146782844484,1.6310752397067507,1,14,positive_candidate_state,POSITIVE_CANDIDATE
AMAT,21,20,9,11,1,0,45.0,52.38095238095238,2.073692507304889,2.173280049175251,1.5092922016219885,1.7455780141329387,1,21,positive_candidate_state,POSITIVE_CANDIDATE
AMD,27,27,13,14,0,0,48.148148148148145,59.25925925925926,2.5566496981024094,2.3432116193732853,1.812635057836531,1.5108225108225146,1,27,positive_candidate_state,POSITIVE_CANDIDATE
AMGN,5,5,2,3,0,0,40.0,20.0,1.192739781434218,0.9186538401512356,0.34451051308771474,0.8952214367271585,1,5,positive_candidate_state,POSITIVE_CANDIDATE
AMZN,21,21,12,9,0,0,57.142857142857146,47.61904761904762,0.9784939588501167,0.949949879517493,0.783210731285159,0.6109201985490732,1,21,positive_candidate_state,POSITIVE_CANDIDATE
ANET,22,21,10,11,1,0,47.61904761904762,45.45454545454545,2.4230649897054617,1.5981514734472042,2.4669798797269995,1.2662719821363053,1,22,positive_candidate_state,POSITIVE_CANDIDATE
APP,30,25,16,9,5,0,64.0,56.666666666666664,3.1083444117359815,1.8592660689893745,3.1076157144958745,1.0174542102286397,1,30,positive_candidate_state,POSITIVE_CANDIDATE
ARM,20,19,11,8,1,0,57.89473684210526,50.0,2.6060691222563737,2.192349512316266,1.6095650592975161,1.433242362498981,1,20,positive_candidate_state,POSITIVE_CANDIDATE
ASML,28,28,14,14,0,0,50.0,60.714285714285715,1.6256150391845445,0.9912503716135489,1.381951749962824,0.9807438905327639,1,28,positive_candidate_state,POSITIVE_CANDIDATE
AVGO,26,26,9,17,0,0,34.61538461538461,34.61538461538461,1.9342930822053839,1.234959327068467,1.5065472606502428,1.145821835112658,1,26,positive_candidate_state,POSITIVE_CANDIDATE
AXON,8,7,5,2,1,0,71.42857142857143,62.5,0.9774870442473618,4.146823540135661,1.204351255921574,4.006017574550197,1,8,positive_candidate_state,POSITIVE_CANDIDATE
AXP,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.5360459735405553,0.603684127531784,0.4107467510605247,0.5487509258635851,1,3,positive_candidate_state,POSITIVE_CANDIDATE
BA,21,21,14,7,0,0,66.66666666666667,42.857142857142854,2.043227420260815,0.701608610828009,1.9048009494012232,0.557637809671816,1,21,positive_candidate_state,POSITIVE_CANDIDATE
BAC,10,10,4,6,0,0,40.0,50.0,0.6977957119820746,1.0858369198626616,0.5991323920966727,0.9673697775027281,1,10,positive_candidate_state,POSITIVE_CANDIDATE
BKNG,8,7,3,4,1,0,42.857142857142854,50.0,1.153169374251044,1.2874216136322907,0.8122496054489745,0.9329110685931197,1,8,positive_candidate_state,POSITIVE_CANDIDATE
BLK,4,4,3,1,0,0,75.0,25.0,1.3338315478549898,0.5254079882269698,1.1644461566562943,0.35390029406485585,1,4,positive_candidate_state,POSITIVE_CANDIDATE
BMY,13,13,7,6,0,0,53.84615384615385,46.15384615384615,1.0785281305148493,1.5223384293282591,1.0082493125572818,1.7131251841311912,1,13,positive_candidate_state,POSITIVE_CANDIDATE
C,21,20,13,7,0,1,65.0,38.095238095238095,1.175656394251326,1.0544222217766108,1.1846927469530388,0.923811500934192,1,21,positive_candidate_state,POSITIVE_CANDIDATE
CAT,9,9,6,3,0,0,66.66666666666667,66.66666666666667,1.8715953451307352,0.6632758133140942,1.2431322909581228,0.7893779602147174,1,9,positive_candidate_state,POSITIVE_CANDIDATE
CEG,15,14,10,4,1,0,71.42857142857143,53.333333333333336,2.394354885052111,1.3644423129747343,1.7490957113130237,0.9153934172444058,1,15,positive_candidate_state,POSITIVE_CANDIDATE
CMCSA,9,9,5,4,0,0,55.55555555555556,44.44444444444444,0.8886850497162233,1.1124973530014348,0.9110593618499054,0.8686210640607978,1,9,positive_candidate_state,POSITIVE_CANDIDATE
CME,2,2,1,1,0,0,50.0,0.0,0.3887553691492167,1.6170925531522022,0.3887553691492167,1.6170925531522022,1,2,positive_candidate_state,POSITIVE_CANDIDATE
CMG,12,12,5,7,0,0,41.666666666666664,58.333333333333336,2.325362927180734,0.8920506925741284,2.285840946565891,0.9332027874334022,1,12,positive_candidate_state,POSITIVE_CANDIDATE
COIN,24,24,8,16,0,0,33.333333333333336,50.0,2.072454330595279,2.953803022868159,1.3530709438424529,2.5211214307443375,1,24,positive_candidate_state,POSITIVE_CANDIDATE
COP,5,5,3,2,0,0,60.0,40.0,0.982943123146778,1.7193705178584426,0.5222210380475273,1.596135671532076,1,5,positive_candidate_state,POSITIVE_CANDIDATE
COST,8,8,6,2,0,0,75.0,75.0,1.2304092960496829,0.677697682196884,0.9318768142208069,0.33821835139374656,1,8,positive_candidate_state,POSITIVE_CANDIDATE
CRM,12,11,7,4,0,1,63.63636363636363,58.333333333333336,1.3917380512034312,1.2387825614357657,1.069166273928953,0.6900492315913098,1,12,positive_candidate_state,POSITIVE_CANDIDATE
CRWD,15,15,9,6,0,0,60.0,46.666666666666664,1.7887419510601588,2.1258754163722933,1.4643265136566586,1.2273681035848016,1,15,positive_candidate_state,POSITIVE_CANDIDATE
CSCO,17,17,7,10,0,0,41.1764705882353,47.05882352941177,1.2799029376376831,0.7811588096505208,0.899760365329841,0.630868544600949,1,17,positive_candidate_state,POSITIVE_CANDIDATE
CVS,8,8,4,4,0,0,50.0,37.5,0.8697892557048139,1.3296022127191376,0.813494713387263,1.0465740700745854,1,8,positive_candidate_state,POSITIVE_CANDIDATE
CVX,12,12,5,7,0,0,41.666666666666664,41.666666666666664,0.752482302138724,0.9638051939734137,0.5566977746833718,0.7257284168477716,1,12,positive_candidate_state,POSITIVE_CANDIDATE
DASH,22,22,12,10,0,0,54.54545454545455,40.90909090909091,1.4776178523110284,2.3306656285051672,0.9763457040475763,1.7988018662935126,1,22,positive_candidate_state,POSITIVE_CANDIDATE
DDOG,23,22,15,7,1,0,68.18181818181819,60.869565217391305,2.155437833708393,2.2209591328630607,1.421234921772361,2.1182885906040276,1,23,positive_candidate_state,POSITIVE_CANDIDATE
DE,2,2,1,1,0,0,50.0,0.0,1.8903320952456855,0.8010734061344784,1.8903320952456855,0.8010734061344784,1,2,positive_candidate_state,POSITIVE_CANDIDATE
DELL,26,26,13,13,0,0,50.0,57.69230769230769,2.4604756685208784,1.4640260999250112,1.4783821095953154,1.3092699645228167,1,26,positive_candidate_state,POSITIVE_CANDIDATE
DIS,8,8,6,2,0,0,75.0,62.5,1.054006097553155,0.6460511828718684,0.9383960828072945,0.4031985963864955,1,8,positive_candidate_state,POSITIVE_CANDIDATE
EOG,1,1,1,0,0,0,100.0,100.0,2.2304098121288742,0.4964469969823859,2.2304098121288742,0.4964469969823859,1,1,positive_candidate_state,POSITIVE_CANDIDATE
ETN,8,8,3,5,0,0,37.5,37.5,1.228604180451635,1.0474248037245824,0.8483293815355959,0.9130447323677627,1,8,positive_candidate_state,POSITIVE_CANDIDATE
FDX,4,4,2,2,0,0,50.0,100.0,1.1716307694517583,1.9418077977417676,1.1756762379740522,1.7560881057514592,1,4,positive_candidate_state,POSITIVE_CANDIDATE
GE,14,14,6,8,0,0,42.857142857142854,42.857142857142854,1.1819886792826828,1.3319925804162944,0.8273651137918588,1.0566714433069144,1,14,positive_candidate_state,POSITIVE_CANDIDATE
GILD,11,11,7,4,0,0,63.63636363636363,54.54545454545455,0.971513818382481,0.9599019271649774,0.7554296506137896,0.9611493322541367,1,11,positive_candidate_state,POSITIVE_CANDIDATE
GOOG,17,17,9,8,0,0,52.94117647058823,47.05882352941177,1.5447664371346652,0.74439992268214,1.1614493209585253,0.7733728829697039,1,17,positive_candidate_state,POSITIVE_CANDIDATE
GS,18,18,10,8,0,0,55.55555555555556,44.44444444444444,1.5116343074118699,0.9707079396375567,0.7340265593514459,0.5381056475887839,1,18,positive_candidate_state,POSITIVE_CANDIDATE
