research_period,trend_5d_binary_state,market_prior_5d_consensus,relative_consensus_5d,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_ALIGNED,906,896,430,466,1,9,47.99107142857143,42.05298013245033,1.411572004594953,1.3145441631221109,0.9318469940231269,0.9333042905784799,110,144
DISCOVERY,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,229,222,123,99,0,7,55.4054054054054,44.10480349344978,1.2549186666634582,1.0843862768368164,0.947700947700928,0.7253232418795309,92,98
DISCOVERY,ALIGNED,CONSENSUS_ALIGNED,MIXED,143,130,67,63,0,13,51.53846153846154,43.35664335664335,1.0132409164174416,0.8789712380334839,0.6752789195537195,0.5944984089767142,61,81
DISCOVERY,ALIGNED,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,686,676,336,340,3,7,49.70414201183432,44.75218658892128,1.2483950582489498,1.245047857956196,0.9109478820906498,0.9115359475832985,109,142
DISCOVERY,ALIGNED,MIXED,BOTH_RELATIVE_ALIGNED,60,60,26,34,0,0,43.333333333333336,50.0,1.4561117932981127,1.639246785555829,0.977895899918851,1.2356922922768603,49,6
DISCOVERY,ALIGNED,MIXED,MIXED,5,5,2,3,0,0,40.0,60.0,1.33140044096519,2.2844700417952852,0.9777153086759839,2.2920989776488288,5,3
DISCOVERY,FLAT,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,2,2,1,1,0,0,50.0,0.0,0.6877377816798345,2.0576438269592314,0.6877377816798345,2.0576438269592314,2,2
DISCOVERY,OPPOSING,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,669,656,340,316,1,12,51.829268292682926,47.08520179372197,1.2281889760021418,1.1705095849935558,0.8954347506972709,0.8369601606963508,107,141
DISCOVERY,OPPOSING,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,231,224,120,104,1,6,53.57142857142857,49.78354978354978,1.103465575556099,1.2549750416570131,0.763131813676918,0.9094277480444535,95,97
DISCOVERY,OPPOSING,CONSENSUS_OPPOSING,BOTH_RELATIVE_OPPOSING,845,829,422,407,8,8,50.90470446320869,48.16568047337278,1.3775728339916486,1.3714925973680252,0.9631240589823935,0.9194302721088381,108,145
DISCOVERY,OPPOSING,CONSENSUS_OPPOSING,MIXED,185,170,91,79,0,15,53.529411764705884,49.729729729729726,1.0246859508215147,0.9864870798266987,0.7151409196863846,0.6691318894171554,73,86
DISCOVERY,OPPOSING,MIXED,BOTH_RELATIVE_OPPOSING,64,63,31,32,0,1,49.20634920634921,45.3125,1.73175952697587,1.330300576727472,1.3965650788604234,1.0292291003431222,57,6
DISCOVERY,OPPOSING,MIXED,MIXED,5,4,0,4,0,1,0.0,40.0,0.20070604933835448,1.175193376355477,0.22639409118943324,1.4643265136566646,4,5
DISCOVERY,UNKNOWN,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6
VALIDATION,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_ALIGNED,761,736,344,392,23,2,46.73913043478261,46.517739816031536,1.9026361000646768,1.7972701328109506,1.2633884452042037,1.3220907862960949,110,143
VALIDATION,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,227,224,85,139,1,2,37.94642857142857,36.563876651982376,1.146739209943934,1.4413455951868563,0.8288488897136164,1.1372053505293946,87,83
VALIDATION,ALIGNED,CONSENSUS_ALIGNED,MIXED,200,191,91,100,1,8,47.64397905759162,45.0,1.0836188526504484,1.2486248048310475,0.7528878573182514,0.8288435865209237,77,99
VALIDATION,ALIGNED,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,722,711,365,346,8,3,51.33614627285513,45.70637119113574,1.7485098957846512,1.454696376598484,1.2593961703186558,1.0128607306413386,109,144
VALIDATION,ALIGNED,MIXED,BOTH_RELATIVE_ALIGNED,135,133,71,62,2,0,53.38345864661654,54.074074074074076,1.604826545401571,1.5663812122902894,1.1575595208006977,1.1491875923190507,78,13
