research_period,level_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,level_feature,context_feature
DISCOVERY,ALL_3_CLEARED,CONSENSUS_ALIGNED,488,482,259,223,1,5,53.7344398340249,45.28688524590164,1.4445406024810867,1.2443443264945764,1.0811562289460768,0.9271653256900174,106,128,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,CONSENSUS_OPPOSING,389,377,211,166,8,4,55.96816976127321,45.501285347043705,1.4272523459628563,1.4164815803705433,1.0651629072681632,0.9856649576226926,108,120,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,MIXED,33,32,16,16,0,1,50.0,36.36363636363637,1.1261279816889667,1.5663001956441607,0.8758402530644537,1.251642646330167,28,6,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,UNKNOWN,16,15,11,4,0,1,73.33333333333333,68.75,1.6766231731951904,0.9749232724951618,1.1291214009917945,0.7004595484271795,15,4,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,CONSENSUS_ALIGNED,47,46,22,24,0,1,47.82608695652174,29.78723404255319,0.9592705506297563,1.111723232408016,0.665637661585952,0.8760498117578905,22,37,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,CONSENSUS_OPPOSING,38,36,12,24,0,2,33.333333333333336,42.10526315789474,0.8238149648274118,1.266765920183922,0.48565369187046675,0.9208271931861944,19,35,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,MIXED,2,2,1,1,0,0,50.0,50.0,1.1150720806550811,0.7366558860200574,1.1150720806550811,0.7366558860200574,2,2,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,INCOMPLETE,UNKNOWN,36,36,15,21,0,0,41.666666666666664,36.111111111111114,0.7395901441480803,1.2788676032980482,0.3574736029350609,1.151482117663515,35,5,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,NONE_CLEARED,CONSENSUS_ALIGNED,510,494,231,263,0,16,46.76113360323887,46.27450980392157,1.2779520262208424,1.2213334861850174,0.8802174498298311,0.8126579446369463,108,133,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,NONE_CLEARED,CONSENSUS_OPPOSING,597,581,293,288,1,15,50.4302925989673,48.57621440536013,1.2057421482161774,1.2205306979009651,0.8668908157848056,0.8473545509831759,110,137,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,NONE_CLEARED,MIXED,39,39,19,20,0,0,48.717948717948715,48.717948717948715,1.7816555460045556,1.4378898973962344,1.3945287591194484,1.0166716925860446,32,6,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,NONE_CLEARED,UNKNOWN,38,38,26,12,0,0,68.42105263157895,57.89473684210526,1.1269831480471046,0.819270903552362,0.9081542769292497,0.49918322146572447,33,5,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ONE_OF_3_CLEARED,CONSENSUS_ALIGNED,399,387,208,179,0,12,53.746770025839794,44.3609022556391,1.3497725495028179,1.123898417497411,0.8864426419466982,0.7632605304212117,107,137,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ONE_OF_3_CLEARED,CONSENSUS_OPPOSING,429,422,213,209,1,6,50.4739336492891,49.417249417249415,1.2502843086849948,1.3251486580909027,0.8809717525615894,0.8784313725490208,104,140,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ONE_OF_3_CLEARED,MIXED,20,19,7,12,0,1,36.8421052631579,40.0,0.9470218881064303,1.552818363720974,0.878050721261473,1.3330798638457741,20,6,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ONE_OF_3_CLEARED,UNKNOWN,30,29,21,8,0,1,72.41379310344827,80.0,1.483585977800204,1.0140341056001354,1.0766631737239467,0.4146819589224116,29,5,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,TWO_OF_3_CLEARED,CONSENSUS_ALIGNED,553,545,269,276,1,7,49.357798165137616,43.21880650994575,1.2154897142631893,1.2197751543146567,0.8787265366212719,0.857537004585942,109,135,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,TWO_OF_3_CLEARED,CONSENSUS_OPPOSING,545,534,266,268,2,9,49.81273408239701,46.23853211009175,1.2641089794663711,1.2004646383757314,0.9029834071637429,0.8911767961917489,110,143,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,TWO_OF_3_CLEARED,MIXED,40,40,16,24,0,0,40.0,60.0,1.9510619540626961,1.5124267408372933,1.7312676226049828,1.1143192761061824,35,6,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,TWO_OF_3_CLEARED,UNKNOWN,23,23,18,5,0,0,78.26086956521739,73.91304347826087,1.5298737724061682,1.0964075727243725,1.2916907653749654,0.40375741595253367,21,5,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ALL_3_CLEARED,CONSENSUS_ALIGNED,517,505,235,270,12,0,46.53465346534654,41.97292069632495,1.6403919563746898,1.6670227284461268,1.1903637222484564,1.1953255425709461,110,131,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ALL_3_CLEARED,CONSENSUS_OPPOSING,411,404,230,174,5,2,56.93069306930693,51.338199513381994,1.9001183789868896,1.4931208871061246,1.4228405028087245,0.9978081939825124,110,119,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ALL_3_CLEARED,MIXED,74,74,44,30,0,0,59.45945945945946,56.75675675675676,1.3783658442194118,1.8099832487162344,1.1068074768514053,1.1929921025410426,55,13,session_level_clear_state,market_prior_5d_consensus
VALIDATION,INCOMPLETE,CONSENSUS_ALIGNED,10,10,6,4,0,0,60.0,50.0,1.1733329807699904,1.452108870502675,0.9455135276890095,1.500972388045645,6,10,session_level_clear_state,market_prior_5d_consensus
VALIDATION,INCOMPLETE,CONSENSUS_OPPOSING,9,9,3,6,0,0,33.333333333333336,33.333333333333336,1.5663250766952543,0.9288426104071122,1.749751260850181,0.7061582670773061,4,9,session_level_clear_state,market_prior_5d_consensus
VALIDATION,INCOMPLETE,MIXED,2,2,0,2,0,0,0.0,0.0,0.013193981813937331,2.949533501182665,0.013193981813937331,2.949533501182665,2,2,session_level_clear_state,market_prior_5d_consensus
VALIDATION,NONE_CLEARED,CONSENSUS_ALIGNED,598,578,256,322,12,8,44.29065743944636,45.819397993311036,1.4985832367434244,1.6026112523314195,1.0037273027421612,1.1227945224419429,111,136,session_level_clear_state,market_prior_5d_consensus
VALIDATION,NONE_CLEARED,CONSENSUS_OPPOSING,624,611,318,293,4,9,52.04582651391162,48.3974358974359,1.7455218013298766,1.5283407539839236,1.2935044963587425,1.0933464815027547,110,132,session_level_clear_state,market_prior_5d_consensus
VALIDATION,NONE_CLEARED,MIXED,97,96,51,45,1,0,53.125,54.63917525773196,1.9132618169996314,1.2655022996401255,1.2998049326921146,0.9882023824945954,61,13,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ONE_OF_3_CLEARED,CONSENSUS_ALIGNED,317,310,147,163,4,3,47.41935483870968,43.217665615141954,1.472379288865931,1.5500755682781897,1.0835150918173446,1.073695261424913,104,127,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ONE_OF_3_CLEARED,CONSENSUS_OPPOSING,343,333,158,175,8,2,47.447447447447445,46.35568513119534,1.7766926803488658,1.639257375854614,1.2036642522368932,1.141360501718048,108,127,session_level_clear_state,market_prior_5d_consensus
VALIDATION,ONE_OF_3_CLEARED,MIXED,58,58,23,35,0,0,39.6551724137931,53.44827586206897,1.3272504121535666,1.440837117183789,1.1807524967747611,1.0906707217154308,49,13,session_level_clear_state,market_prior_5d_consensus
VALIDATION,TWO_OF_3_CLEARED,CONSENSUS_ALIGNED,556,546,246,300,9,1,45.05494505494506,45.32374100719424,1.64153492184876,1.503504919932972,1.0752696155083536,1.1619152622881388,112,141,session_level_clear_state,market_prior_5d_consensus
VALIDATION,TWO_OF_3_CLEARED,CONSENSUS_OPPOSING,473,458,252,206,12,3,55.02183406113537,52.00845665961945,1.8629613889666696,1.4301698707218973,1.3156059690390889,1.018090029448892,111,134,session_level_clear_state,market_prior_5d_consensus
VALIDATION,TWO_OF_3_CLEARED,MIXED,96,94,45,49,2,0,47.87234042553192,45.833333333333336,1.2415579543157216,1.7895478409634336,0.7491400026743709,1.4142618838646561,66,13,session_level_clear_state,market_prior_5d_consensus
DISCOVERY,ALL_3_CLEARED,OTHER,788,774,421,353,3,11,54.39276485788114,44.923857868020306,1.4262956416656452,1.2753360453229141,1.0521561036547173,0.9400813802263913,112,152,session_level_clear_state,positive_candidate_state
DISCOVERY,ALL_3_CLEARED,POSITIVE_CANDIDATE,138,132,76,56,6,0,57.57575757575758,48.55072463768116,1.4507551095989286,1.5983568202552036,1.1740393828335576,0.999101452158657,73,77,session_level_clear_state,positive_candidate_state
DISCOVERY,INCOMPLETE,OTHER,109,106,44,62,0,3,41.509433962264154,34.862385321100916,0.8339321107418429,1.2104116336235706,0.4873006497341971,0.963232477977781,55,60,session_level_clear_state,positive_candidate_state
