sensitivity,period_type,period,feature,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,281,275,142,133,2,4,51.63636363636363,48.04270462633452,1.3386405922044564,1.2892178417728375,0.9187082405345177,0.9482129832239253,62,134
BASE,research_period,DISCOVERY,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,3991,3902,1992,1910,12,77,51.05074320861097,46.354297168629415,1.290358500004323,1.2384916923299774,0.9159881569207946,0.8790892059374635,112,161
BASE,research_period,DISCOVERY,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,381,371,194,177,0,10,52.2911051212938,46.981627296587924,1.1932234066549865,1.1548964308901328,0.9176316364430731,0.715287607772496,105,121
BASE,research_period,DISCOVERY,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,355,347,170,177,7,1,48.99135446685879,47.04225352112676,1.4132440729462556,1.536464860205597,0.9830056647784129,1.1416434355502336,102,118
BASE,research_period,DISCOVERY,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,251,246,125,121,0,5,50.8130081300813,48.60557768924303,1.311882000474153,1.3324554057751343,0.9181799632728073,0.8572021236635979,88,111
BASE,research_period,DISCOVERY,positive_candidate_participation_state,POSITIVE_MIXED,237,234,125,109,1,2,53.41880341880342,48.52320675105485,1.4023074382219598,1.1585676283837065,1.0051762252400116,0.8452975673327576,93,107
BASE,research_period,VALIDATION,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,343,329,182,147,13,1,55.319148936170215,47.23032069970846,1.783959895677868,1.5795843581149631,1.3068783068783063,1.1917960088691788,66,144
BASE,research_period,VALIDATION,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,3842,3759,1832,1927,56,27,48.736366054801806,47.21499219156689,1.6611472170108115,1.5493669566243617,1.1642758930503934,1.1119612062552362,112,161
BASE,research_period,VALIDATION,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,368,361,212,149,3,4,58.72576177285318,55.43478260869565,1.57261601931857,1.3633033759596462,1.2248427110337303,1.0025311044224436,106,129
BASE,research_period,VALIDATION,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,263,251,124,127,11,1,49.40239043824701,50.19011406844106,2.2768319398620878,1.9010522146235962,1.7857142857142856,1.3707192927624205,87,113
BASE,research_period,VALIDATION,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,249,245,141,104,3,1,57.55102040816327,55.82329317269076,1.8155749537171926,1.6365434520213746,1.3244452241031535,1.2253018040421302,89,105
BASE,research_period,VALIDATION,positive_candidate_participation_state,POSITIVE_MIXED,232,227,133,94,5,0,58.590308370044056,48.706896551724135,2.1232322312726386,1.3966126757028945,1.6448017548460823,1.0409824937117398,88,106
BASE,validation_subperiod,VALIDATION_OLDER,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING,184,179,102,77,5,0,56.98324022346369,46.73913043478261,1.6387275809181623,1.5317018146129584,1.3421392236659755,1.2243862931449876,47,74
BASE,validation_subperiod,VALIDATION_OLDER,c2_vs_c1_volume_state,C2_VOLUME_DECELERATING,1837,1799,872,927,30,8,48.47137298499166,45.12792596624932,1.5910788292025053,1.4736063083639588,1.1424017003188192,1.1097020933977408,112,80
BASE,validation_subperiod,VALIDATION_OLDER,low_c2_rvol_market_opposition_state,LOW_C2_RVOL_MARKET_OPPOSING,180,176,101,75,2,2,57.38636363636363,55.0,1.4586758330393494,1.3403777752346322,1.1799504857814511,0.997159119320323,84,63
BASE,validation_subperiod,VALIDATION_OLDER,positive_candidate_participation_state,POSITIVE_BOTH_ABOVE,140,133,68,65,7,0,51.12781954887218,52.857142857142854,2.2836499357526874,1.628224872248411,1.8073963920038982,1.3533950367327998,65,59
BASE,validation_subperiod,VALIDATION_OLDER,positive_candidate_participation_state,POSITIVE_BOTH_BELOW,124,122,67,55,1,1,54.91803278688525,54.83870967741935,1.7021312496990555,1.5486852335287644,1.2531130178139933,1.214836301679644,75,55
BASE,validation_subperiod,VALIDATION_OLDER,positive_candidate_participation_state,POSITIVE_MIXED,102,98,61,37,4,0,62.244897959183675,46.07843137254902,1.924668676145409,1.2738264917669273,1.5930082479459,0.9865150107531082,62,50
