symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
ABBV,10,10,3,7,0,0,30.0,10.0,0.9925680774789679,1.143668351469038,0.8158647528941602,0.9532289464956679,1,10,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
ABNB,4,4,1,3,0,0,25.0,25.0,1.48186123966588,1.1565194657821016,1.3896790060380646,1.0727629189784378,1,4,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
ADBE,2,2,2,0,0,0,100.0,100.0,1.3976479208381272,0.3177565151871281,1.3976479208381272,0.3177565151871281,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
AMD,2,2,1,1,0,0,50.0,50.0,0.8390249922825654,3.264161156774211,0.8390249922825654,3.264161156774211,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
AMGN,2,2,2,0,0,0,100.0,50.0,2.521263924251365,0.8276882990740945,2.521263924251365,0.8276882990740945,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
ANET,5,5,5,0,0,0,100.0,80.0,2.2005607367432565,1.2659902543033998,1.9999999999999942,1.5295396882928696,1,5,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
APP,2,2,1,1,0,0,50.0,0.0,1.1318946186618324,2.3111865498173496,1.1318946186618324,2.3111865498173496,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
AXP,1,1,0,1,0,0,0.0,0.0,2.2061678172948787,1.2271491990614896,2.2061678172948787,1.2271491990614896,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
BA,1,1,1,0,0,0,100.0,0.0,0.9195510704517535,0.3064698670187694,0.9195510704517535,0.3064698670187694,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
BAC,2,2,1,1,0,0,50.0,100.0,0.5946341059215889,1.810650358427012,0.5946341059215889,1.810650358427012,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
BKNG,1,1,0,1,0,0,0.0,100.0,0.7464762809729963,2.1722288566157757,0.7464762809729963,2.1722288566157757,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
BMY,2,2,0,2,0,0,0.0,0.0,2.9519728744977423,0.6077219925312543,2.9519728744977423,0.6077219925312543,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
C,46,45,27,18,0,1,60.0,36.95652173913044,1.0676155651797457,1.5586280566284814,0.8078429125854549,1.1606968609730863,1,46,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CAT,2,2,1,1,0,0,50.0,0.0,2.496626277118695,1.3229857165084091,2.496626277118695,1.3229857165084091,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CEG,1,1,0,1,0,0,0.0,0.0,0.5221954952984861,2.2341278518842467,0.5221954952984861,2.2341278518842467,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CMG,33,33,20,13,0,0,60.60606060606061,54.54545454545455,1.8767325237582304,1.0347454311575972,1.5376315079579181,0.94492440604752,1,33,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
COIN,3,3,1,2,0,0,33.333333333333336,0.0,0.9041070273950149,3.458528409681543,0.4436266478461399,2.5502053856686437,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
COP,1,1,1,0,0,0,100.0,100.0,2.413782607372241,1.3171225937183366,2.413782607372241,1.3171225937183366,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
COST,2,2,0,2,0,0,0.0,0.0,0.5315689990980443,1.6792428352349853,0.5315689990980443,1.6792428352349853,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CRM,3,3,2,1,0,0,66.66666666666667,66.66666666666667,4.773011538464185,0.7296431474450807,3.9190897597977234,1.0128147721699823,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CRWD,1,1,1,0,0,0,100.0,100.0,0.8646288209606942,1.8580786026200853,0.8646288209606942,1.8580786026200853,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CSCO,1,1,1,0,0,0,100.0,100.0,0.9230530561588455,0.29475643810116653,0.9230530561588455,0.29475643810116653,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CVS,1,0,0,0,1,0,,100.0,5.531066330814437,0.6297229219143518,5.531066330814437,0.6297229219143518,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
CVX,25,24,15,9,0,1,62.5,44.0,1.1367284200358378,0.7501180607824817,0.8850660683121516,0.6749857444071704,1,25,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
DASH,2,1,0,1,1,0,0.0,100.0,4.954116241232136,0.7985632564983034,4.954116241232136,0.7985632564983034,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
DDOG,3,3,3,0,0,0,100.0,66.66666666666667,1.4381742472550936,1.6822523739835082,1.6078996810416424,1.2999754721609156,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
DELL,38,35,19,16,3,0,54.285714285714285,57.89473684210526,3.0417361133574112,2.070638981542531,1.8618450315808177,1.6504577663995357,1,38,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
DIS,21,20,15,5,1,0,75.0,66.66666666666667,1.0815885201353983,0.84065270091444,0.831275064403905,0.8739855524837152,1,21,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
EOG,2,2,0,2,0,0,0.0,50.0,0.12756583928305715,2.147748586334524,0.12756583928305715,2.147748586334524,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
ETN,2,2,0,2,0,0,0.0,50.0,2.448208459152613,1.4143993848567245,2.448208459152613,1.4143993848567245,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
FDX,1,1,1,0,0,0,100.0,0.0,1.5416666666666698,0.2777777777777778,1.5416666666666698,0.2777777777777778,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
GE,3,3,3,0,0,0,100.0,66.66666666666667,1.9719510434806358,0.9914661235815435,0.8395677472984132,0.38058991436726564,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
GILD,1,1,0,1,0,0,0.0,0.0,2.1270679827610137,0.852018827828647,2.1270679827610137,0.852018827828647,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
GOOG,1,1,0,1,0,0,0.0,0.0,0.5230721425242068,1.2274069086954293,0.5230721425242068,1.2274069086954293,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
GS,2,2,0,2,0,0,0.0,0.0,1.163901222925014,2.3836274852031547,1.163901222925014,2.3836274852031547,1,2,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
HAL,3,2,0,2,1,0,0.0,0.0,0.24938520879563966,2.7661566490630705,0.14448968869039724,2.869461790068401,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
HD,3,3,2,1,0,0,66.66666666666667,33.333333333333336,1.5044593917305125,0.8956048995709618,2.113217398871588,0.9617869139559653,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
HON,1,1,1,0,0,0,100.0,0.0,0.9383465164156428,1.0163614692816119,0.9383465164156428,1.0163614692816119,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
HOOD,3,3,3,0,0,0,100.0,66.66666666666667,1.6370789878390115,3.2645385491435612,0.6606606606606508,3.552783552783552,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
INTC,3,3,2,1,0,0,66.66666666666667,66.66666666666667,2.010470092940503,1.372851762829627,1.920739119863844,1.3864818024263446,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
IWM,1,0,0,0,0,1,,100.0,0.46235248952612734,0.2587170970272495,0.46235248952612734,0.2587170970272495,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
JPM,1,1,1,0,0,0,100.0,0.0,1.1338881207662732,1.494795606918326,1.1338881207662732,1.494795606918326,1,1,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
LLY,8,7,3,4,1,0,42.857142857142854,37.5,1.2417979151542309,1.7266095454785453,0.7919477728830402,1.8243376812234051,1,8,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
LMT,8,8,5,3,0,0,62.5,37.5,2.03479479364522,1.1199508380715235,2.0479966593390335,0.7364824965137502,1,8,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
LOW,3,3,2,1,0,0,66.66666666666667,0.0,0.9010689312198489,0.9469622363582476,0.661399963255541,0.951681058239953,1,3,c2_vs_c1_volume_state,C2_VOLUME_ACCELERATING
