architecture,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,avg_minutes_to_favorable,avg_minutes_to_adverse,symbol_n,trade_date_n
AE0_CLEAN,5245,5150,2524,2626,47,48,49.00970873786408,1.3475293896262623,1.344275842737513,0.972850678733031,0.9728054042174142,16.066122131466354,14.66704077815189,112,317
AE2_RECLAIM,8307,8118,4078,4040,81,108,50.23404779502341,1.4788119499519523,1.3963900891156495,1.0398273494212305,0.9950898453823659,14.840586679490261,13.852705653967483,112,317
AE3_COLOR_RELAXED,1909,1891,916,975,6,12,48.439978847170806,1.286870528055708,1.3145916315317565,0.947483533821398,1.0104411125963404,16.27006507592191,13.393476044852191,112,316
AE4_RECLAIM_C3,3890,3812,2048,1764,24,54,53.72507869884575,1.4907060187288703,1.3777712209482678,1.0611206830361084,0.9815778739289691,16.30550193050193,15.832774049217003,112,317
AE5_COLOR_C3,918,907,432,475,7,4,47.62954796030871,1.2847138871389878,1.2694584276679846,0.9387919228723783,0.9622992955694047,14.76765375854214,15.056016597510373,112,298
NC_VWAP_CLOSE_FAIL,10403,10180,5214,4966,90,133,51.218074656188605,1.404439614484732,1.3673839042181348,1.0086110668155004,0.9662333583602032,14.125377073906487,15.196993670886076,112,317
