sensitivity,period_type,period,feature,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,769,747,367,380,0,22,49.129852744310575,43.5630689206762,1.0908036508057304,1.0513797756041605,0.7759248938997737,0.7417967966853135,111,139
BASE,research_period,DISCOVERY,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,407,395,189,206,0,12,47.848101265822784,39.55773955773956,1.1517837716741912,1.010891156185238,0.8281155322157214,0.7335002740550371,107,119
BASE,research_period,DISCOVERY,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,769,755,376,379,9,5,49.80132450331126,42.52275682704811,1.462753613536879,1.5113329927749448,0.9941129160572838,1.1416434355502336,110,145
BASE,research_period,VALIDATION,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,635,630,294,336,0,5,46.666666666666664,45.669291338582674,1.4391081480507644,1.4484070098451993,1.033980245657058,1.0522390047683712,109,141
BASE,research_period,VALIDATION,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,346,343,147,196,0,3,42.857142857142854,39.30635838150289,1.3140321042945955,1.4204362640339345,0.9807693941169977,1.0975188682238528,106,113
BASE,research_period,VALIDATION,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,782,747,384,363,32,3,51.40562248995984,49.36061381074169,1.8631424035135398,1.6795893312548495,1.4204281336901783,1.1993710815626286,109,152
BASE,validation_subperiod,VALIDATION_OLDER,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,298,295,131,164,0,3,44.40677966101695,43.288590604026844,1.3234333576676893,1.3557072807646062,1.0083632260159456,1.0470399388449465,104,66
BASE,validation_subperiod,VALIDATION_OLDER,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,161,160,64,96,0,1,40.0,36.024844720496894,1.2717914339913035,1.4074521594709488,0.993561460273871,1.1060668592653646,89,51
BASE,validation_subperiod,VALIDATION_OLDER,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,458,441,223,218,17,0,50.56689342403628,49.34497816593886,1.8269965761800475,1.644926627172045,1.4147930599740244,1.2620553485153418,106,75
BASE,validation_subperiod,VALIDATION_NEWER,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,337,335,163,172,0,2,48.656716417910445,47.774480712166174,1.5413962416239286,1.530378877103409,1.1143210895583968,1.0522390047683712,103,75
BASE,validation_subperiod,VALIDATION_NEWER,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,185,183,83,100,0,2,45.3551912568306,42.16216216216216,1.3507929038558388,1.4317359442211814,0.9241181830014236,1.01272396780058,90,62
BASE,validation_subperiod,VALIDATION_NEWER,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,324,306,161,145,15,3,52.61437908496732,49.382716049382715,1.9142374310405135,1.7285878450509122,1.470470859571381,1.100317404234971,101,77
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,759,740,364,376,0,19,49.189189189189186,43.08300395256917,1.098781288524427,1.057648741975938,0.7840342124019916,0.7592998858658069,108,139
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,405,394,189,205,0,11,47.96954314720812,39.25925925925926,1.1566532172268778,1.01238233128531,0.8345668125846485,0.7335002740550371,105,118
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,766,752,373,379,9,5,49.601063829787236,42.55874673629243,1.4639166303711981,1.4998928240060374,0.9945770113367384,1.1301750386938512,108,145
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,629,627,292,335,0,2,46.57097288676236,45.62798092209857,1.4492079411631775,1.4594844379555707,1.0447951945811174,1.0591295083508274,107,141
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,342,341,146,195,0,1,42.81524926686217,39.1812865497076,1.3256003664687455,1.4334533362158368,0.9846566634499281,1.1053928030934221,104,113
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,779,744,384,360,32,3,51.61290322580645,49.42233632862644,1.8678139367398758,1.6832420767659029,1.432447884132849,1.2312760847487967,108,152
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,296,295,131,164,0,1,44.40677966101695,43.58108108108108,1.3311260116828048,1.3622934295387603,1.0242236714402082,1.0572717116773398,103,66
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,160,160,64,96,0,0,40.0,36.25,1.2793641878464315,1.4133420572598432,1.0073486761950323,1.1169432040687726,88,51
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,455,438,223,215,17,0,50.91324200913242,49.45054945054945,1.83475632761151,1.650951903305808,1.4201732673267426,1.2653707052441292,105,75
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,low_premarket_rvol_candidate,LOW_PREMARKET_RVOL,333,332,161,171,0,1,48.493975903614455,47.447447447447445,1.5541696562568423,1.5458764454371796,1.1314321140731618,1.0591295083508274,101,75
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,low_premarket_rvol_market_aligned_candidate,LOW_PREMARKET_RVOL_MARKET_ALIGNED,182,181,82,99,0,1,45.30386740331492,41.75824175824176,1.3662475564663845,1.4511335814518753,0.9365405821004475,1.0576392008299258,88,62
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_NEWER,high_premarket_rvol_candidate,HIGH_PREMARKET_RVOL,324,306,161,145,15,3,52.61437908496732,49.382716049382715,1.9142374310405135,1.7285878450509122,1.470470859571381,1.100317404234971,101,77
