research_period,direction,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,BEAR,LOW_PREMARKET_RVOL,381,371,169,202,0,10,45.55256064690027,44.356955380577425,1.0682542513395281,1.110680665765717,0.7143722000242201,0.8619442343153806,105,118,low_premarket_rvol_candidate
DISCOVERY,BEAR,OTHER,1740,1701,858,843,11,28,50.44091710758377,45.747126436781606,1.358333643637457,1.303538622994574,0.967149608103646,0.9337359657027295,112,158,low_premarket_rvol_candidate
DISCOVERY,BULL,LOW_PREMARKET_RVOL,388,376,198,178,0,12,52.659574468085104,42.78350515463917,1.1129462312093983,0.9931487468630444,0.8484668849731583,0.6204378882363512,106,120,low_premarket_rvol_candidate
DISCOVERY,BULL,OTHER,1664,1630,855,775,3,31,52.45398773006135,48.07692307692308,1.3092584254719222,1.2681050381016286,0.9230052245822628,0.9035573810135087,112,158,low_premarket_rvol_candidate
VALIDATION,BEAR,LOW_PREMARKET_RVOL,325,322,150,172,0,3,46.58385093167702,45.84615384615385,1.389499897355547,1.4183278996388538,1.0211358921161935,0.9962976829319067,100,116,low_premarket_rvol_candidate
VALIDATION,BEAR,OTHER,1691,1655,844,811,24,12,50.996978851963746,48.31460674157304,1.6822394961229399,1.579752762508673,1.2029240307208267,1.1378848728246314,112,159,low_premarket_rvol_candidate
VALIDATION,BULL,LOW_PREMARKET_RVOL,310,308,144,164,0,2,46.753246753246756,45.483870967741936,1.4911167979731694,1.4799415608679811,1.0718941396616548,1.068271972033478,104,117,low_premarket_rvol_candidate
VALIDATION,BULL,OTHER,1808,1755,860,895,43,10,49.002849002849004,47.123893805309734,1.739521924176263,1.5607948356076127,1.2037451242970199,1.1284140224227075,112,159,low_premarket_rvol_candidate
DISCOVERY,BEAR,LOW_PREMARKET_RVOL_MARKET_ALIGNED,107,107,39,68,0,0,36.44859813084112,36.44859813084112,1.1854542644025594,1.271417395419288,0.7057863316957883,1.162540365984928,69,34,low_premarket_rvol_market_aligned_candidate
DISCOVERY,BEAR,OTHER,2014,1965,988,977,11,38,50.279898218829516,45.97815292949355,1.3126424048651746,1.2687611104058756,0.936214120953454,0.9051273465523559,112,158,low_premarket_rvol_market_aligned_candidate
DISCOVERY,BULL,LOW_PREMARKET_RVOL_MARKET_ALIGNED,300,288,150,138,0,12,52.083333333333336,40.666666666666664,1.1397746292677402,0.9179701308584267,0.8616156895475409,0.5900309157280182,101,85,low_premarket_rvol_market_aligned_candidate
DISCOVERY,BULL,OTHER,1752,1718,903,815,3,31,52.56111757857975,48.17351598173516,1.2948040918460062,1.2671674988164632,0.9169609847900311,0.9003882228936331,112,158,low_premarket_rvol_market_aligned_candidate
VALIDATION,BEAR,LOW_PREMARKET_RVOL_MARKET_ALIGNED,174,173,74,99,0,1,42.774566473988436,39.6551724137931,1.3006548075541131,1.3651760986313182,0.9878122090508501,1.0395430910261325,85,51,low_premarket_rvol_market_aligned_candidate
VALIDATION,BEAR,OTHER,1842,1804,920,884,24,14,50.99778270509978,48.697068403908794,1.6666343746308516,1.5715406338886773,1.1932673770447604,1.1281318644459608,112,159,low_premarket_rvol_market_aligned_candidate
VALIDATION,BULL,LOW_PREMARKET_RVOL_MARKET_ALIGNED,172,170,73,97,0,2,42.94117647058823,38.95348837209303,1.3275649509971768,1.4763389894993717,0.9665995127699012,1.1303369052057326,88,62,low_premarket_rvol_market_aligned_candidate
VALIDATION,BULL,OTHER,1946,1893,931,962,43,10,49.18119387216059,47.58478931140802,1.7363621144454529,1.5553795685784924,1.2089938481129443,1.121258979167611,112,159,low_premarket_rvol_market_aligned_candidate
DISCOVERY,BEAR,HIGH_PREMARKET_RVOL,398,390,195,195,8,0,50.0,40.95477386934673,1.4701902545217074,1.5857271143886347,1.0050998772379915,1.1721208666695906,106,124,high_premarket_rvol_candidate
DISCOVERY,BEAR,OTHER,1723,1682,832,850,3,38,49.464922711058264,46.54672083575159,1.268351531276782,1.1957093129080794,0.9029454369869649,0.8656124570820739,112,158,high_premarket_rvol_candidate
DISCOVERY,BULL,HIGH_PREMARKET_RVOL,371,365,181,184,1,5,49.58904109589041,44.20485175202156,1.4547757614830745,1.43152474371228,0.9810008692412666,1.056979710849234,106,127,high_premarket_rvol_candidate
DISCOVERY,BULL,OTHER,1681,1641,872,769,2,38,53.13833028641073,47.70969660916121,1.231830666379717,1.168573954352597,0.8897307846851403,0.8022199798183527,112,157,high_premarket_rvol_candidate
VALIDATION,BEAR,HIGH_PREMARKET_RVOL,365,351,185,166,11,3,52.706552706552706,50.136986301369866,1.8459684404829748,1.636690747646084,1.4493483218469596,1.1976852330267707,107,127,high_premarket_rvol_candidate
VALIDATION,BEAR,OTHER,1651,1626,809,817,13,12,49.7539975399754,47.42580254391278,1.588416701276898,1.5353884711653378,1.1350801136811888,1.115241635687737,112,159,high_premarket_rvol_candidate
VALIDATION,BULL,HIGH_PREMARKET_RVOL,417,396,199,197,21,0,50.25252525252525,48.6810551558753,1.8781747692357365,1.7171384512001717,1.3995640702076497,1.2010569300984866,105,131,high_premarket_rvol_candidate
VALIDATION,BULL,OTHER,1701,1667,805,862,22,12,48.290341931613675,46.44326866549089,1.660260415938309,1.5077320473234372,1.150790026486442,1.1035122982829073,112,159,high_premarket_rvol_candidate
