artifact,rows,columns,family,matched_columns
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,RELATIVE_STRENGTH,stock_vs_market_avg_1d_pct | directional_stock_vs_market_avg_1d_pct | directional_stock_vs_market_avg_1d_pct__state | stock_vs_market_avg_5d_pct | directional_stock_vs_market_avg_5d_pct | directional_stock_vs_market_avg_5d_pct__state | stock_vs_market_avg_10d_pct | directional_stock_vs_market_avg_10d_pct | directional_stock_vs_market_avg_10d_pct__state | stock_vs_market_avg_1w_pct | directional_stock_vs_market_avg_1w_pct | directional_stock_vs_market_avg_1w_pct__state | stock_vs_market_avg_4w_pct | directional_stock_vs_market_avg_4w_pct | directional_stock_vs_market_avg_4w_pct__state | relative_consensus_1d | relative_consensus_5d | relative_consensus_10d | relative_consensus_1w | relative_consensus_4w | relative_multi_horizon_score | relative_multi_horizon_state
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,VOLUME_PARTICIPATION,c1_volume | c2_volume | c3_volume | c2_to_c1_volume_ratio | c2_to_c1_volume_ratio__bucket | volume | weekly_week_volume | hist_c1_volume | hist_c2_volume | opening_2m_volume | c2_vs_c1_volume_ratio | hist_c1_volume_median_20d_prior | hist_c1_volume_median_60d_prior | hist_c2_volume_median_20d_prior | hist_c2_volume_median_60d_prior | opening_2m_volume_median_20d_prior | opening_2m_volume_median_60d_prior | c1_rvol_20d | c2_rvol_20d | opening_2m_rvol_20d | c1_rvol_60d | c2_rvol_60d | opening_2m_rvol_60d | c1_rvol_20d_state | c2_rvol_20d_state | opening_2m_rvol_20d_state | c2_vs_c1_volume_state | c1_rvol_20d_discovery_state | c2_rvol_20d_discovery_state | opening_2m_rvol_20d_discovery_state | c2_vs_c1_volume_ratio_discovery_state | opening_participation_state | low_c2_rvol_market_opposition_state | positive_candidate_participation_state | c2_vs_c1_volume_ratio_winsor | pre_volume | pre_volume_median_20d_prior | premarket_rvol_20d | premarket_rvol_20d_discovery_state | low_premarket_rvol_candidate | low_premarket_rvol_market_aligned_candidate | high_premarket_rvol_candidate
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,PREMARKET_GAP,gap_from_prior_close_pct | directional_gap_from_prior_close_pct | directional_gap_from_prior_close_pct__state | pre_last_close | pre_bar_n_x | pre_open | pre_high | pre_low | pre_close | pre_volume | pre_bar_n_y | premarket_return_pct | premarket_range_pct | premarket_gap_from_prior_close_pct | premarket_close_vs_prior_close_pct | premarket_close_location_pct | pre_volume_median_20d_prior | premarket_rvol_20d | rth_open_gap_pct | directional_rth_open_gap_pct | directional_rth_open_gap_pct_state | directional_premarket_gap_from_prior_close_pct | directional_premarket_gap_from_prior_close_pct_state | directional_premarket_return_pct | directional_premarket_return_pct_state | directional_premarket_close_vs_prior_close_pct | directional_premarket_close_vs_prior_close_pct_state | directional_premarket_close_location_pct | gap_premarket_structure_state | abs_rth_open_gap_pct | abs_premarket_return_pct | premarket_range_pct_discovery_state | premarket_rvol_20d_discovery_state | directional_premarket_close_location_pct_discovery_state | abs_rth_open_gap_pct_discovery_state | abs_premarket_return_pct_discovery_state | low_premarket_rvol_candidate | low_premarket_rvol_market_aligned_candidate | high_premarket_rvol_candidate | directional_rth_open_gap_pct_winsor | directional_premarket_gap_from_prior_close_pct_winsor | directional_premarket_return_pct_winsor | directional_premarket_close_vs_prior_close_pct_winsor
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,SESSION_LEVELS,pmh | pml | pdh | pdl | ahh | ahl | session_level_clear_state
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,CALENDAR_TIME,trade_date | weekly_actual_last_trade_date | weekday_number | weekday | month_number | month_name | month_year
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,EXHAUSTION,aligned_exhaustion_state
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,POST_SIGNAL_PATH,c3_open | c3_high | c3_low | c3_close | c3_volume | c3_vwap | c3_directional_confirmation | c3_confirmed
data\second1m_alt_entry_research_v1\ae2_calendar_v1\ae2_calendar_features_v1.parquet,8307,532,GEOMETRY_TIMING,c2_vwap_penetration_pct | c2_vwap_penetration_pct__bucket | relevant_levels_cleared_n | relevant_level_cluster_span_pct | relevant_level_cluster_state
data\second1m_alt_entry_research_v1\ae2_candidate_models_v1\ae2_candidate_model_events_v1.parquet,8307,25,MARKET_REGIME,market_prior_5d_consensus | market_3idx_prior_5d_state | negative_family_n1_market_relative_conflict
data\second1m_alt_entry_research_v1\ae2_candidate_models_v1\ae2_candidate_model_events_v1.parquet,8307,25,RELATIVE_STRENGTH,relative_multi_horizon_state | negative_family_n1_market_relative_conflict | n2_h2a_none_cleared_relative_aligned
