research_period,candidate_triage_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,AVOID,1076,1049,495,554,1,26,47.18779790276454,1.2484261988781806,1.256209871957008,0.8620021657765643,0.8841154524607829,112,152
DISCOVERY,NEUTRAL,2721,2665,1381,1284,5,51,51.81988742964353,1.2885005190512802,1.2111803720290126,0.9188823484410438,0.8651999467569393,112,158
DISCOVERY,PREFERRED,376,364,204,160,8,4,56.043956043956044,1.4138778325867125,1.4348176072728294,1.0585624590950897,0.9889100053457252,107,117
VALIDATION,AVOID,978,949,413,536,14,15,43.51949420442571,1.5213849087533367,1.6261706012992294,1.1186762476230463,1.172528894598916,112,153
VALIDATION,NEUTRAL,2760,2702,1360,1342,48,10,50.33308660251665,1.686533969946928,1.5352573839501231,1.1577679865615602,1.1117064379798554,112,159
VALIDATION,PREFERRED,396,389,225,164,5,2,57.840616966580974,1.9212325834659734,1.4780611304531448,1.4895075291353246,0.9667865674333105,110,117
