model_id,quarter,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
M0_BASELINE,2025Q2,689,678,358,320,0,11,52.8023598820059,1.182639344200582,1.1688075336679593,0.8757531639140966,0.9144548031159192,111,25
M0_BASELINE,2025Q3,1625,1590,743,847,9,26,46.729559748427675,1.1531201590559634,1.2446837668752897,0.8507621410847205,0.9005278956629796,112,64
M0_BASELINE,2025Q4,1702,1653,868,785,5,44,52.51058681185723,1.388935327898262,1.2868255458901003,0.9809310566301994,0.8738207332311109,112,64
M0_BASELINE,2026Q1,1569,1541,810,731,24,4,52.563270603504215,1.6555035331216106,1.4493068093963708,1.2050461306721854,1.085823126225193,112,61
M0_BASELINE,2026Q2,1627,1593,799,794,22,12,50.15693659761456,1.762106132591401,1.579306870719513,1.209195814733092,1.1101138756567732,112,62
M0_BASELINE,2026Q3,1095,1063,500,563,21,11,47.03668861712136,1.614093563793489,1.5874166362608455,1.1469889403600002,1.1372705506783771,112,41
M1_AVOIDANCE_FILTER,2025Q2,515,507,269,238,0,8,53.057199211045365,1.2014282305161457,1.1825573731917947,0.8841732979663982,0.9209888511875972,111,25
M1_AVOIDANCE_FILTER,2025Q3,1232,1207,590,617,8,17,48.88152444076222,1.2026579844110374,1.2092626246805638,0.876782188963465,0.8901996259520902,112,64
M1_AVOIDANCE_FILTER,2025Q4,1231,1196,637,559,5,30,53.26086956521739,1.3582212299340652,1.3090666408527851,0.9789156626506038,0.8790892059374635,112,64
M1_AVOIDANCE_FILTER,2026Q1,1238,1216,655,561,18,4,53.86513157894737,1.7405924882467059,1.4227563538887673,1.273379315299426,1.061389933413086,112,61
M1_AVOIDANCE_FILTER,2026Q2,1238,1213,636,577,19,6,52.431986809563064,1.8021531887485842,1.5231688391029023,1.2196923353745586,1.0656311780266017,112,62
M1_AVOIDANCE_FILTER,2026Q3,799,781,383,398,16,2,49.039692701664535,1.6207386480825625,1.6275228728080324,1.1469889403600002,1.1427343399611318,112,41
M2_POSITIVE_ONLY,2025Q2,41,40,27,13,0,1,67.5,1.7101188818212283,1.1396983909149538,1.291822761917065,0.8251221661459595,35,15
M2_POSITIVE_ONLY,2025Q3,159,152,67,85,6,1,44.078947368421055,1.1396157383821361,1.4609253482793731,0.8540634344680269,1.167810242195662,83,53
M2_POSITIVE_ONLY,2025Q4,141,137,85,52,2,2,62.043795620437955,1.445051960596305,1.5056271938378551,1.0905467559423188,0.9344733087547196,79,44
M2_POSITIVE_ONLY,2026Q1,178,175,107,68,1,2,61.142857142857146,2.0559238932779893,1.24520793591981,1.5847597751886076,0.8845456564107865,87,43
M2_POSITIVE_ONLY,2026Q2,164,160,90,70,4,0,56.25,1.8485867694856253,1.3690501426946637,1.5501119062269844,1.0163030956366093,78,47
M2_POSITIVE_ONLY,2026Q3,89,89,53,36,0,0,59.550561797752806,1.8903076618482666,2.104766216441653,1.3590679913347568,1.298408674834534,64,32
M3_TRIAGE_PREFERRED,2025Q2,41,40,27,13,0,1,67.5,1.7101188818212283,1.1396983909149538,1.291822761917065,0.8251221661459595,35,15
M3_TRIAGE_PREFERRED,2025Q3,159,152,67,85,6,1,44.078947368421055,1.1396157383821361,1.4609253482793731,0.8540634344680269,1.167810242195662,83,53
M3_TRIAGE_PREFERRED,2025Q4,141,137,85,52,2,2,62.043795620437955,1.445051960596305,1.5056271938378551,1.0905467559423188,0.9344733087547196,79,44
M3_TRIAGE_PREFERRED,2026Q1,178,175,107,68,1,2,61.142857142857146,2.0559238932779893,1.24520793591981,1.5847597751886076,0.8845456564107865,87,43
M3_TRIAGE_PREFERRED,2026Q2,164,160,90,70,4,0,56.25,1.8485867694856253,1.3690501426946637,1.5501119062269844,1.0163030956366093,78,47
M3_TRIAGE_PREFERRED,2026Q3,89,89,53,36,0,0,59.550561797752806,1.8903076618482666,2.104766216441653,1.3590679913347568,1.298408674834534,64,32
M4_TRIAGE_STANDARD_PLUS,2025Q2,515,507,269,238,0,8,53.057199211045365,1.2014282305161457,1.1825573731917947,0.8841732979663982,0.9209888511875972,111,25
M4_TRIAGE_STANDARD_PLUS,2025Q3,1232,1207,590,617,8,17,48.88152444076222,1.2026579844110374,1.2092626246805638,0.876782188963465,0.8901996259520902,112,64
M4_TRIAGE_STANDARD_PLUS,2025Q4,1231,1196,637,559,5,30,53.26086956521739,1.3582212299340652,1.3090666408527851,0.9789156626506038,0.8790892059374635,112,64
M4_TRIAGE_STANDARD_PLUS,2026Q1,1238,1216,655,561,18,4,53.86513157894737,1.7405924882467059,1.4227563538887673,1.273379315299426,1.061389933413086,112,61
M4_TRIAGE_STANDARD_PLUS,2026Q2,1238,1213,636,577,19,6,52.431986809563064,1.8021531887485842,1.5231688391029023,1.2196923353745586,1.0656311780266017,112,62
M4_TRIAGE_STANDARD_PLUS,2026Q3,799,781,383,398,16,2,49.039692701664535,1.6207386480825625,1.6275228728080324,1.1469889403600002,1.1427343399611318,112,41
