flag,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
P1_H1A,772,753,429,324,13,6,56.97211155378486,1.6741271607579395,1.456999518126981,1.2461256553211726,0.9847686162617109,112,234
P1_H1B,602,587,335,252,10,5,57.06984667802385,1.6189347903618982,1.4878371627742288,1.1714768695580888,0.9898291650906996,112,185
P1_FAMILY,772,753,429,324,13,6,56.97211155378486,1.6741271607579395,1.456999518126981,1.2461256553211726,0.9847686162617109,112,234
N1_MARKET_RELATIVE_CONFLICT,1054,1022,453,569,9,23,44.324853228962816,1.3815431364743769,1.4420193581189358,0.9459534781423071,1.0600203643047132,112,223
N2_H4A,401,392,177,215,4,5,45.1530612244898,1.3733034810723954,1.2546687289780165,0.9479166666666631,0.9885764499121328,108,228
N2_H2A,789,768,354,414,6,15,46.09375,1.3931395166035676,1.470859185528156,0.9677017860476737,1.024751694781658,111,268
N2_FAMILY,1052,1025,476,549,7,20,46.4390243902439,1.3803764197578496,1.4182440449594103,0.9656424778036212,1.014542718541096,112,294
ANY_NEGATIVE,2054,1998,908,1090,15,41,45.44544544544544,1.378393880600626,1.4323644938151838,0.9658310610451347,1.0289792580163142,112,305
P1_H1A_AND_H1B,602,587,335,252,10,5,57.06984667802385,1.6189347903618982,1.4878371627742288,1.1714768695580888,0.9898291650906996,112,185
N2_H4A_AND_H2A,138,135,55,80,3,0,40.74074074074074,1.4327955139491841,1.243748713076811,0.9593617677057134,1.0267914786368153,78,115
P1_AND_ANY_NEGATIVE,0,0,0,0,0,0,,,,,,0,0
