model_id,total_n,symbol_n,top1_share_pct,top5_share_pct,top10_share_pct
M0_BASELINE,4134,112,1.5723270440251573,7.208514755684567,13.255926463473633
M1_AVOIDANCE_FILTER,3156,112,1.5525982256020279,7.319391634980988,13.624841571609632
M2_POSITIVE_ONLY,396,110,2.272727272727273,10.1010101010101,18.939393939393938
M3_TRIAGE_PREFERRED,396,110,2.272727272727273,10.1010101010101,18.939393939393938
M4_TRIAGE_STANDARD_PLUS,3156,112,1.5525982256020279,7.319391634980988,13.624841571609632
