model_id,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
M0_BASELINE,BEAR,2016,1977,994,983,24,15,50.278199291856346,1.6350468524724429,1.553729409119441,1.168795760749185,1.1207183844612678,112,159
M0_BASELINE,BULL,2118,2063,1004,1059,43,12,48.66698982064954,1.7031642333722214,1.5489607868969018,1.1709967535775125,1.124020754218889,112,159
M1_AVOIDANCE_FILTER,BEAR,1547,1523,788,735,21,3,51.739986868023635,1.6774890274207805,1.5654963739388397,1.1956849728424925,1.1308094278369807,112,159
M1_AVOIDANCE_FILTER,BULL,1609,1568,797,771,32,9,50.829081632653065,1.752993371464325,1.4921067103035424,1.1995386389849965,1.0705875910410232,112,159
M2_POSITIVE_ONLY,BEAR,224,220,122,98,4,0,55.45454545454545,2.007236774467883,1.6441483734450377,1.6381115172495981,1.1682818018507355,91,63
M2_POSITIVE_ONLY,BULL,172,169,103,66,1,2,60.946745562130175,1.809227125416974,1.2617614651613773,1.358887835012371,0.8076253198113987,86,54
M3_TRIAGE_PREFERRED,BEAR,224,220,122,98,4,0,55.45454545454545,2.007236774467883,1.6441483734450377,1.6381115172495981,1.1682818018507355,91,63
M3_TRIAGE_PREFERRED,BULL,172,169,103,66,1,2,60.946745562130175,1.809227125416974,1.2617614651613773,1.358887835012371,0.8076253198113987,86,54
M4_TRIAGE_STANDARD_PLUS,BEAR,1547,1523,788,735,21,3,51.739986868023635,1.6774890274207805,1.5654963739388397,1.1956849728424925,1.1308094278369807,112,159
M4_TRIAGE_STANDARD_PLUS,BULL,1609,1568,797,771,32,9,50.829081632653065,1.752993371464325,1.4921067103035424,1.1995386389849965,1.0705875910410232,112,159
